Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee,.pdf,Cost of Tender and EMD,1.0,DD - Demand Draft,Department of Water Resources||Chief Engineer - DoWR,DHEMAJI/SDRF/2018-19/SONARI/1,2019_DoWR_11384_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,"5,000","The Executive Engineer, Dhemaji W.R. Division",Dhemaji,No,"Immediate measures for restoration of Brahmaputra dyke from Dizmore to Sonarigaon at Ch. 7th km, 9th km and 12th km under SDRF for 2018-19 (Package 6)","Immediate measures for restoration of Brahmaputra dyke from Dizmore to Sonarigaon at Ch. 7th km, 9th km and 12th km under SDRF for 2018-19 (Package 6)",Please refer Tender documents. ,NA ,"1,65,90,198",Civil Works,NA ,Tender,180.0,60.0,Dhemaji,787057.0,NA ,NA ,NA ,Dibrugarh,No ,No,"3,31,804",Yes,percentage,2.0%,"The Executive Engineer, Dhemaji W.R. Division",Dhemaji,"Addl. Chief Engineer, UAZ, W.R. Deptt., Dibrugarh","O/o the Additional Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh - 05",25-Jan-2019 06:00 PM,06-Feb-2019 02:00 PM,25-Jan-2019 06:05 PM,05-Feb-2019 02:00 PM,NA ,NA ,30-Jan-2019 10:00 AM,05-Feb-2019 02:00 PM,05-Mar-2019 12:55 PM,AOC,1.0,54098.0,LAKHI DIHINGIA,INR,3703270.0,Finance,Updated CS may be prepared,Joy Sekhar Chakraborty,05-Mar-2019 01:09 PM,finance_18066.pdf,BOQ Comparative Chart,"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"Dy. Director, Design and Planning, Dibrugarh, AEE, Office of the Addl. Chief Engineer, UAZ, WRD, Dibrugarh, Accounts Officer, Dibrugarh WRD, DBR",Joy Sekhar Chakraborty,05-Mar-2019 12:54 PM,05-Mar-2019 12:55 PM,techsummary_18066.pdf (754.57 KB),1,54178,Arunmoni Phukan,05-Feb-2019 12:04 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,26-Sep-2019 11:05 AM,Technical,Financial Bid of the successful bidders may be opened.,Joy Sekhar Chakraborty,05-Mar-2019 12:53 PM,technical_18066.pdf,"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"Dy. Director, Design and Planning, Dibrugarh, AEE, Office of the Addl. Chief Engineer, UAZ, WRD, Dibrugarh, Accounts Officer, Dibrugarh WRD, DBR",Joy Sekhar Chakraborty,05-Mar-2019 01:13 PM,finsummary_18066.pdf (754.57 KB),Department of Water Resources||Chief Engineer - DoWR,2019_DoWR_11384_1,DHEMAJI/SDRF/2018-19/SONARI/1,"Immediate measures for restoration of Brahmaputra dyke from Dizmore to Sonarigaon at Ch. 7th km, 9th km and 12th km under SDRF for 2018-19 (Package 6)",26-Sep-2019,INR 16590198.04,60.0,Shamim Akhtar Laskar,26-Sep-2019 11:05 AM,Dizmore6.pdf (1236.00 KB),"Immediate measures for restoration of Brahmaputra dyke from Dizmore to Sonarigaon at Ch. 7th km, 9th km and 12th km under SDRF for 2018-19 (Package 6)",AOC
2.0,PreQual/Technical,.pdf,Technical Documents,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,54133.0,Yugant Infrastructure Private Limited,INR,3708292.0,,,,,,,,,,,,,,2,54279,BIPUL BORUAH,05-Feb-2019 01:11 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,26-Sep-2019 11:05 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,Finance,.xls,BOQ,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,54145.0,S.A. ENTERPRISE,INR,3683611.0,,,,,,,,,,,,,,3,54010,Kalendra Basumatary,03-Feb-2019 06:52 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,26-Sep-2019 11:05 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,54296.0,Navish Tulshyan,INR,3773266.0,,,,,,,,,,,,,,4,54135,Khagen Mili,04-Feb-2019 07:52 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,26-Sep-2019 11:05 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,5.0,DCR - Deposit at call receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,54098,LAKHI DIHINGIA,04-Feb-2019 04:26 PM,Accepted-AOC,PROPER,26-Sep-2019 11:05 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,54190,MANUJ PEGU,05-Feb-2019 01:36 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,05-Mar-2019 12:53 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,54184,Moina Chetia,05-Feb-2019 12:43 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,26-Sep-2019 11:05 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,53973,Mr. Uma Kanta Lahan,04-Feb-2019 10:12 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,26-Sep-2019 11:05 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,54008,M/S KALYAN & ASSOCIATES,03-Feb-2019 06:17 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,05-Mar-2019 12:53 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,54172,Muhi Borgohain,04-Feb-2019 11:42 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,26-Sep-2019 11:05 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
