Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"Addl. Chief Engineer, UAZ, W.R. Deptt., Dibrugarh","O/o the Additional Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh - 05","11,724",Yes,percentage,2.0%,"The Executive Engineer, Majuli W.R. Division",Garamur,"Immediate Measures for recoupment of flood damages from Ch. 12750 M to Ch. 21,000 M of B/Dyke from Tekeliphuta to Haldhibari including construction of Back Berm under SDRF for 2018-19 (Package 2)","Immediate Measures for recoupment of flood damages from Ch. 12750 M to Ch. 21,000 M of B/Dyke from Tekeliphuta to Haldhibari including construction of Back Berm under SDRF for 2018-19 (Package 2)",Please refer Tender documents. ,NA ,"5,86,184",Civil Works,NA ,Tender,180.0,60.0,Majuli,785110.0,NA ,NA ,NA ,"Addl. Chief Engineer, UAZ, W.R. Deptt., Dibrugarh",No ,No,03-Jun-2019 06:00 PM,14-Jun-2019 02:00 PM,03-Jun-2019 06:00 PM,13-Jun-2019 02:00 PM,NA ,NA ,08-Jun-2019 10:00 AM,13-Jun-2019 02:00 PM,27-Jun-2019 02:25 PM,1.0,DD - Demand Draft,Department of Water Resources||Chief Engineer - DoWR,MAJ/SDRF/2018-19/HALDHIBARI/1,2019_DoWR_11484_2,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,500.0,"The Executive Engineer, Majuli W.R. Division",Garamur,No,1.0,Rectification in EMD Amount,Fee,,1.0,Fee,.pdf,Cost of Tender and EMD,AOC,1,60337,AMRIT SAIKIA,13-Jun-2019 01:05 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,26-Sep-2019 03:37 PM,Department of Water Resources||Chief Engineer - DoWR,2019_DoWR_11484_2,MAJ/SDRF/2018-19/HALDHIBARI/1,"Immediate Measures for recoupment of flood damages from Ch. 12750 M to Ch. 21,000 M of B/Dyke from Tekeliphuta to Haldhibari including construction of Back Berm under SDRF for 2018-19 (Package 2)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,2.0,Change in name of Scheme,Other,,2.0,PreQual/Technical,.pdf,Technical Documents,AOC,2,60329,ananta bhuyan,12-Jun-2019 08:01 PM,Accepted-AOC,PROPER,26-Sep-2019 03:37 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,3.0,Changes in Clause 4.I.a of Bid Document,Technical Bid,,3.0,Finance,.xls,BOQ,AOC,3,60334,APURPA JYOTI BORUAH,13-Jun-2019 07:18 AM,Accepted-AOC,PROPER,26-Sep-2019 03:37 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,60318,BIKASH BORAH,12-Jun-2019 02:20 PM,Not Admitted-Fee,Fee not received,25-Jun-2019 10:15 AM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,DCR - Deposit at call receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,60312,DEBAJIT BARUAH,13-Jun-2019 05:47 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,26-Sep-2019 03:37 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,60311,DEBASIS GOSWAMI,11-Jun-2019 08:45 PM,Accepted-AOC,PROPER,26-Sep-2019 03:37 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,60321,KHAGEN DAS,12-Jun-2019 08:41 PM,Accepted-AOC,PROPER,26-Sep-2019 03:37 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,60281,NANDA DULAL DUTTA,10-Jun-2019 02:19 PM,Accepted-AOC,PROPER,26-Sep-2019 03:37 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,60314,PRADIP BHAGAWATI,12-Jun-2019 08:55 PM,Accepted-AOC,PROPER,26-Sep-2019 03:37 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,60211,SRI DIPJYOTI BORUAH,08-Jun-2019 06:21 PM,Accepted-AOC,PROPER,26-Sep-2019 03:37 PM,,,,,AOC
