Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
21-Sep-2019,INR 4929195.57,180.0,Joy Sekhar Chakraborty,21-Sep-2019 01:33 PM,karaiguripackage2.pdf (12134.00 KB),Anti-erosion measures to Extension of Tengakhat bund on the R/B of river Buridehing up to Jokai R.F. (Protection work at 10th km Koraiguri) (Package 2),"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"Dy. Director, Design and Planning, Dibrugarh, AEE, Office of the Addl. Chief Engineer, UAZ, WRD, Dibrugarh, Accounts Officer, Dibrugarh WRD, DBR",Joy Sekhar Chakraborty,07-Mar-2019 12:58 PM,finsummary_18283.pdf (754.57 KB),Finance,Updated CS may be prepared,Joy Sekhar Chakraborty,07-Mar-2019 12:56 PM,finance_18283.pdf,BOQ Comparative Chart,Department of Water Resources||Chief Engineer - DoWR,2019_DoWR_11550_1,DIB/RIDF/2018-19/KARAIGURI/1,Anti-erosion measures to Extension of Tengakhat bund on the R/B of river Buridehing up to Jokai R.F. (Protection work at 10th km Koraiguri) (Package 2),1.0,55800.0,Manjur Hussain Ansari,INR,591784.0,1,56019,AMRIT CHETIA,20-Feb-2019 05:21 PM,Accepted-AOC,Proper,21-Sep-2019 01:33 PM,Technical,Financial Bid of the successful bidders may be opened.,Joy Sekhar Chakraborty,07-Mar-2019 12:43 PM,technical_18283.pdf,"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"Dy. Director, Design and Planning, Dibrugarh, AEE, Office of the Addl. Chief Engineer, UAZ, WRD, Dibrugarh, Accounts Officer, Dibrugarh WRD, DBR",Joy Sekhar Chakraborty,07-Mar-2019 12:45 PM,07-Mar-2019 12:50 PM,techsummary_18283.pdf (754.57 KB),AOC,Anti-erosion measures to Extension of Tengakhat bund on the R/B of river Buridehing up to Jokai R.F. (Protection work at 10th km Koraiguri) (Package 2),Anti-erosion measures to Extension of Tengakhat bund on the R/B of river Buridehing up to Jokai R.F. (Protection work at 10th km Koraiguri) (Package 2),Please refer Tender documents. ,NA ,"49,29,196",Civil Works,NA ,Tender,180.0,180.0,Dibrugarh,786005.0,NA ,NA ,NA ,Dibrugarh,No ,No,"1,000","The Executive Engineer, Dibrugarh W.R. Division",Dibrugarh,No,Department of Water Resources||Chief Engineer - DoWR,DIB/RIDF/2018-19/KARAIGURI/1,2019_DoWR_11550_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,31-Jan-2019 06:00 PM,22-Feb-2019 02:00 PM,31-Jan-2019 06:05 PM,21-Feb-2019 02:00 PM,NA ,NA ,16-Feb-2019 10:00 AM,21-Feb-2019 02:00 PM,07-Mar-2019 12:50 PM,"Addl. Chief Engineer, UAZ, W.R. Deptt., Dibrugarh","O/o the Additional Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh - 05",1.0,Fee,.pdf,Cost of Tender and EMD,1.0,DD - Demand Draft,"98,584",Yes,percentage,2.0%,"The Executive Engineer, Dibrugarh W.R. Division",Dibrugarh,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,55874.0,ROBIN MORAN,INR,591643.0,2,55879,AURANGZEB KHAN,19-Feb-2019 04:16 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,07-Mar-2019 12:43 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Technical Documents,2.0,BC - Bankers Cheque,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,3.0,55922.0,SANJEEB DOWERAH,INR,591637.0,3,56034,DEV CONSTRUCTION,20-Feb-2019 07:42 PM,Accepted-AOC,Proper,21-Sep-2019 01:33 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,3.0,BG - Bank Guarantee Irrevocable,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,4.0,56012.0,SURESH KUMAR HARLALKA,INR,591784.0,4,55800,Manjur Hussain Ansari,18-Feb-2019 07:03 PM,Accepted-AOC,Proper,21-Sep-2019 01:33 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,5.0,56018.0,MOHAN SAIKIA,INR,441961.0,5,56018,MOHAN SAIKIA,20-Feb-2019 05:39 PM,Accepted-AOC,Proper,21-Sep-2019 01:33 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,DCR - Deposit at call receipt,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,6.0,56019.0,AMRIT CHETIA,INR,591643.0,6,56091,M/S BISWAJIT BORAH,21-Feb-2019 11:21 AM,Rejected-AOC,Not qualified for AOC,21-Sep-2019 01:33 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,7.0,56034.0,DEV CONSTRUCTION,INR,443935.0,7,56043,PRADIP DAS,20-Feb-2019 09:26 PM,Accepted-AOC,Proper,21-Sep-2019 01:33 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,8.0,56043.0,PRADIP DAS,INR,591643.0,8,55874,ROBIN MORAN,19-Feb-2019 06:23 PM,Accepted-AOC,Proper,21-Sep-2019 01:33 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,55922,SANJEEB DOWERAH,19-Feb-2019 10:08 PM,Accepted-AOC,Proper,21-Sep-2019 01:33 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,55889,SRI GONESH CHANDRA KARDONG,19-Feb-2019 06:58 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,07-Mar-2019 12:43 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
