Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Department of Water Resources||Chief Engineer - DoWR,2019_DoWR_12222_1,SIV/SDRF/2018-19/ROGHUBARI/1,Immediate measures to Dikhow bund left bank from Namdung outfall to Dikhowmukh to restore breach like damages at Roghubari for 2018-19,1,57056,ADITYA DOWARAH,01-Mar-2019 10:45 AM,Rejected-AOC,Not qualified for AOC,24-Sep-2019 01:51 PM,1.0,56651.0,Sailendra Kalita,INR,2703069.0,Finance,Updated CS may be prepared,Joy Sekhar Chakraborty,06-Mar-2019 10:03 AM,finance_19273.pdf,BOQ Comparative Chart,Technical,Financial Bid of the successful bidders may be opened.,Joy Sekhar Chakraborty,06-Mar-2019 09:31 AM,technical_19273.pdf,24-Sep-2019,INR 15024953.72,60.0,Shamim Akhtar Laskar,24-Sep-2019 01:51 PM,raghubari1.pdf (29837.00 KB),Immediate measures to Dikhow bund left bank from Namdung outfall to Dikhowmukh to restore breach like damages at Roghubari for 2018-19.,"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"Dy. Director, Design and Planning, Dibrugarh, EE, Sivasagar W. R. Division, AEE, Office of the Addl. Chief Engineer, UAZ, WRD, Dibrugarh, Accounts Officer, Dibrugarh WRD, DBR",Joy Sekhar Chakraborty,06-Mar-2019 10:06 AM,finsummary_19273.pdf (754.57 KB),"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"Dy. Director, Design and Planning, Dibrugarh, EE, Sivasagar W. R. Division, AEE, Office of the Addl. Chief Engineer, UAZ, WRD, Dibrugarh, Accounts Officer, Dibrugarh WRD, DBR",Joy Sekhar Chakraborty,06-Mar-2019 09:32 AM,06-Mar-2019 09:35 AM,techsummary_19273.pdf (754.57 KB),AOC,1.0,DD - Demand Draft,1.0,Fee,.pdf,Cost of Tender and EMD,23-Feb-2019 06:00 PM,02-Mar-2019 02:00 PM,23-Feb-2019 06:05 PM,01-Mar-2019 02:00 PM,NA ,NA ,24-Feb-2019 10:00 AM,01-Mar-2019 02:00 PM,06-Mar-2019 09:35 AM,"Addl. Chief Engineer, UAZ, W.R. Deptt., Dibrugarh","O/o the Additional Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh - 05",Department of Water Resources||Chief Engineer - DoWR,SIV/SDRF/2018-19/ROGHUBARI/1,2019_DoWR_12222_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,"5,000","The Executive Engineer, Sivasagar W.R. Division",Sivasagar,No,"3,00,499",Yes,percentage,2.0%,"The Executive Engineer, Sivasagar W.R. Division",Sivasagar,Immediate measures to Dikhow bund left bank from Namdung outfall to Dikhowmukh to restore breach like damages at Roghubari for 2018-19,Immediate measures to Dikhow bund left bank from Namdung outfall to Dikhowmukh to restore breach like damages at Roghubari for 2018-19,Please refer Tender documents. ,NA ,"1,50,24,954",Civil Works,NA ,Tender,180.0,60.0,Sivasagar,785640.0,NA ,NA ,NA ,Dibrugarh,No ,No,AOC
,,,,2,57075,DIBYA BORAH,01-Mar-2019 11:48 AM,Rejected-AOC,Not qualified for AOC,24-Sep-2019 01:51 PM,2.0,56857.0,Lalit Saikia,INR,2703391.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,BC - Bankers Cheque,2.0,PreQual/Technical,.pdf,Technical Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,3,56963,JAYANTA KUMAR DUTTA,01-Mar-2019 12:14 PM,Rejected-AOC,Not qualified for AOC,24-Sep-2019 01:51 PM,3.0,56862.0,Prasanta Gayan,INR,2702687.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,BG - Bank Guarantee Irrevocable,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,4,56857,Lalit Saikia,28-Feb-2019 10:02 PM,Accepted-AOC,Not qualified for AOC,24-Sep-2019 01:51 PM,4.0,56981.0,MOINUDDIN AHMED,INR,2706934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,5,56981,MOINUDDIN AHMED,01-Mar-2019 12:21 PM,Accepted-AOC,Proper,24-Sep-2019 01:51 PM,5.0,57014.0,M/S MOTLIB ALI,INR,2705627.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,DCR - Deposit at call receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,6,56831,M/S East India Construction,28-Feb-2019 08:45 PM,Rejected-AOC,Not qualified for AOC,24-Sep-2019 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,7,56813,M/s KALITA CONSTRUCTION,27-Feb-2019 06:52 PM,Rejected-AOC,Not qualified for AOC,24-Sep-2019 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,8,57014,M/S MOTLIB ALI,01-Mar-2019 12:08 PM,Accepted-AOC,Proper,24-Sep-2019 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,9,56862,Prasanta Gayan,28-Feb-2019 05:02 PM,Accepted-AOC,Not qualified for AOC,24-Sep-2019 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,10,56651,Sailendra Kalita,27-Feb-2019 11:13 AM,Accepted-AOC,Proper,24-Sep-2019 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
