Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
16-Oct-2019,"INR 1,193,970",60.0,Pradeep Kumar Bhardwaj,16-Oct-2019 02:42 PM,AOC30395_2.pdf (809.00 KB),AOC,ErPardeepKumarBhardwa,Internal,Sh AmarSinghVermaHDMShManojkumarsupdtGRthakurSrDAO,Pradeep Kumar Bhardwaj,16-Oct-2019 02:26 PM,finsummary_43788.pdf (581.73 KB),ErPardeepKumarBhardwaj,Internal,Sh AmarSinghVermaHDMShManojkumarsupdtGRthakurSrDAO,Pradeep Kumar Bhardwaj,16-Aug-2019 04:03 PM,17-Aug-2019 11:00 AM,techsummary_43788.pdf (552.22 KB),PWD,2019_PWD_30395_2,SD-I-CB-CTR-2019-20-6391dt 17-7-19,R/R damages on Shilon Bag Bhararia Dharbog road km 0/00 to 6/00 (SH C/O Retaining wall at RD. 1/249 to 1/265 and Breast wall at Rd. 1/380 to 1/396),1.0,127161.0,M/s Pardeep Sublaik,INR,"1,106,816",Finance,Bid opening summary,Pradeep Kumar Bhardwaj,20-Aug-2019 09:42 AM,finance_43788.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Pradeep Kumar Bhardwaj,09-Aug-2019 04:06 PM,technical_43788.pdf,1.0,127159.0,Arvind Kumar,08-Aug-2019 01:14 PM,Rejected-Finance,4th Lowest,16-Oct-2019 02:26 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),R/R damages on Shilon Bag Bhararia Dharbog road km 0/00 to 6/00 (SH C/O Retaining wall at RD. 1/249 to 1/265 and Breast wall at Rd. 1/380 to 1/396),R/R damages on Shilon Bag Bhararia Dharbog road km 0/00 to 6/00 (SH C/O Retaining wall at RD. 1/249 to 1/265 and Breast wall at Rd. 1/380 to 1/396),As per SBD ,NA ,"11,93,970",Civil Works,NA ,Tender,120.0,60.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-I HPPWD Shimla-3,No ,No,27-Jul-2019 06:00 PM,09-Aug-2019 11:00 AM,27-Jul-2019 06:00 PM,08-Aug-2019 04:00 PM,NA ,NA ,27-Jul-2019 06:00 PM,08-Aug-2019 04:00 PM,17-Aug-2019 11:00 AM,1.0,DD - Demand Draft,"24,000",No,fixed,,Executive Engineer Division No-I HPPWD Shimla-3,Executive Engineer Division No-I HPPWD Shimla-3,PWD,SD-I-CB-CTR-2019-20-6391dt 17-7-19,2019_PWD_30395_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer Division No-I HPPWD Shimla-3,Executive Engineer Division No-I HPPWD Shimla-3,500.0,Executive Engineer Division No-I HPPWD Shimla-3,Executive Engineer Division No-I HPPWD Shimla-3,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,126836.0,CHIRAG SHARMA,05-Aug-2019 04:06 PM,Rejected-Finance,2nd Lowest,16-Oct-2019 02:26 PM,AOC,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,127068.0,Devi Prakash Sharma,07-Aug-2019 03:44 PM,Rejected-Technical,no,16-Aug-2019 04:03 PM,AOC,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,126928.0,HARGOVIND RANA,08-Aug-2019 01:40 PM,Rejected-Finance,5th Lowest,16-Oct-2019 02:26 PM,AOC,,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,127168.0,MADAN SINGH,08-Aug-2019 02:58 PM,Rejected-Finance,6th Lowest,16-Oct-2019 02:26 PM,AOC,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,126692.0,Mast Ram Sharma,03-Aug-2019 06:20 PM,Rejected-Finance,8th Lowest,16-Oct-2019 02:26 PM,AOC,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,127161.0,M/s Pardeep Sublaik,08-Aug-2019 01:53 PM,Accepted-AOC,AOC,16-Oct-2019 02:42 PM,AOC,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,127056.0,Rajesh Sharma,07-Aug-2019 03:12 PM,Rejected-Technical,no,16-Aug-2019 04:03 PM,AOC,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,127181.0,RAKESH,08-Aug-2019 03:19 PM,Rejected-Finance,3rd Lowest,16-Oct-2019 02:26 PM,AOC,,,.pdf,Proof of registration under Employee Provident Funds and Miscellaneous provision Act. 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,127189.0,randeep chauhan,08-Aug-2019 03:52 PM,Rejected-Finance,7th Lowest,16-Oct-2019 02:26 PM,AOC,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
