Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Department of Water Resources||Chief Engineer - DoWR,MORIGAON/2018-19/RIDF/I,2019_DoWR_11416_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,1.0,Fee,.pdf,FEE,"2,000","The Executive Engineer, Morigaon W. R. Division",Morigaon,No,"Chief Engineer,W.R.Deptt",O/O Chief Engineer Water Resources Department Chandmari,25-Jan-2019 06:00 PM,16-Feb-2019 02:00 PM,25-Jan-2019 06:05 PM,15-Feb-2019 02:00 PM,NA ,NA ,09-Feb-2019 09:00 AM,15-Feb-2019 02:00 PM,11-Apr-2019 11:00 AM,1.0,DD - Demand Draft,"1,04,578",Yes,percentage,2.0%,"The Executive Engineer, Morigaon W. R. Division",Morigaon,Pro-siltation measures at Lehpoti PK 2,Pro-siltation measures at Lehpoti area for reclamation of agricultural land and to arrest erosion of river Brahmaputra (Ph-I),Please refer Tender documents. ,NA ,"52,28,905",Civil Works,NA ,Tender,180.0,180.0,MORIGAON,782105.0,NA ,NA ,NA ,GUWAHATI,No ,No,AOC,R. SARMA,Internal,"G.C. SARMA, L. CHOUDHURY",Jayanta Kumar Barman,26-Sep-2019 02:23 PM,finsummary_18109.pdf (54.63 KB),1.0,54933.0,Yugant Infrastructure Private Limited,INR,588388.63,1,55355,krishna kanta Biswas,15-Feb-2019 11:09 AM,Rejected-AOC,Not Qualified for AOC,26-Sep-2019 02:26 PM,26-Sep-2019,INR 5228905.0,180.0,Jayanta Kumar Barman,26-Sep-2019 02:26 PM,Pkg_2_4_.pdf (2178.00 KB),Name of Work Pro-siltation measures at Lehpoti area for reclamation of agricultural land and to arrest erosion of river Brahmaputra (Ph-I),Finance,Updated CS may be prepared,Jayanta Kumar Barman,12-Apr-2019 04:41 PM,,BOQ Comparative Chart,Technical,Financial bid of the successful bidder may be opened,Jayanta Kumar Barman,11-Apr-2019 10:51 AM,technical_18109.pdf,R. SARMA,Internal,"G.C. SARMA, P .BORAH",Jayanta Kumar Barman,11-Apr-2019 10:55 AM,11-Apr-2019 11:00 AM,techsummary_18109.pdf (54.63 KB),Department of Water Resources||Chief Engineer - DoWR,2019_DoWR_11416_1,MORIGAON/2018-19/RIDF/I,Pro-siltation measures at Lehpoti PK 2,AOC
,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,TECHNICAL DOCUMENTS,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,54937.0,Rabindra Chhawchharia,INR,588388.63,2,55320,MANTU KR SAHA,14-Feb-2019 09:48 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,11-Apr-2019 10:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3.0,55190.0,RAJIB KUMAR DEKA,INR,588388.63,3,55309,Mofidul Islam,14-Feb-2019 08:10 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,11-Apr-2019 10:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4.0,55338.0,SURESH TOSNIWAL SHREE CONSTRCTION JV,INR,588388.63,4,55321,M/S GLOBAL CONSTRUCTION GROUP,14-Feb-2019 10:01 PM,Not Admitted-Fee,Insufficient Fee amount,10-Apr-2019 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5.0,55339.0,R.J.ENTERPRISE,INR,587032.69,5,55386,Nipun Bora,15-Feb-2019 01:27 PM,Rejected-AOC,Not Qualified for AOC,26-Sep-2019 02:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6.0,55346.0,NORTH EAST ENTERPRISE,INR,588388.63,6,55346,NORTH EAST ENTERPRISE,15-Feb-2019 10:00 AM,Accepted-AOC,PROPER,26-Sep-2019 02:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7.0,55349.0,S. D. Enterprise,INR,588388.63,7,55366,PARVIZ AHMED,15-Feb-2019 12:10 PM,Accepted-AOC,PROPER,26-Sep-2019 02:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8.0,55366.0,PARVIZ AHMED,INR,588388.63,8,54937,Rabindra Chhawchharia,15-Feb-2019 03:12 AM,Accepted-AOC,PROPER,26-Sep-2019 02:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,55190,RAJIB KUMAR DEKA,14-Feb-2019 04:35 PM,Accepted-AOC,PROPER,26-Sep-2019 02:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,55360,Rakesh Kumar Pugalia,15-Feb-2019 11:35 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,11-Apr-2019 10:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
