Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
EE Janjehli,Executive Engineer Seraj Division HP PWD Janjehli,1.0,DD - Demand Draft,500.0,EE Seraj at janjehli,Seraj at janjehli,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form (General rule No. 26.1),Improvement of Black spot on Nauna Sudharani road km 0/000 to 14/000 (SH C/O W metal beam crash barrier at RD 1/540 to 1/600 2/000 to 2/075 and 7/540 to 8/040,Improvement of Black spot on Nauna Sudharani road km 0/000 to 14/000 (SH C/O W metal beam crash barrier at RD 1/540 to 1/600 2/000 to 2/075 and 7/540 to 8/040,Please refer Tender documents. ,NA ,"11,78,416",Civil Works,NA ,Tender,120.0,60.0,Janjehli,175047.0,NA ,NA ,NA ,EE Janjehli,No ,No,"23,600",Yes,fixed,,EE Seraj at janjehli,Seraj at janjehli,17-Jul-2019 11:00 AM,27-Jul-2019 11:00 AM,17-Jul-2019 11:30 AM,27-Jul-2019 09:00 AM,NA ,NA ,17-Jul-2019 11:30 AM,27-Jul-2019 09:00 AM,07-Aug-2019 06:10 PM,PWD,No.PW.SRJ/TA/Pub/2018- 2462-64 dated 15.06.2019,2019_PWD_30254_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,PWD,2019_PWD_30254_1,No.PW.SRJ/TA/Pub/2018- 2462-64 dated 15.06.2019,Improvement of Black spot on Nauna Sudharani road km 0/000 to 14/000 (SH C/O W metal beam crash barrier at RD 1/540 to 1/600 2/000 to 2/075 and 7/540 to 8/040,Er. K K Kaushal,Internal,Sh Megh Singh Sh Partap Singh DHD,Bishwjeet Singh,07-Aug-2019 06:02 PM,07-Aug-2019 06:10 PM,techsummary_43585.pdf (123.51 KB),Er. K K Kaushal,Internal,Sh. Meg Singh Supdt Sh. Partap Singh DHD,Bishwjeet Singh,14-Oct-2019 05:02 PM,finsummary_43585.pdf (93.49 KB),15-Oct-2019,"INR 1,765,357",60.0,Bishwjeet Singh,15-Oct-2019 10:21 AM,AOC30254.pdf (142.00 KB),Award letter,1,126058,Acute Engineers and Contractor OPC Pvt Ltd.,26-Jul-2019 05:26 PM,Rejected-AOC,L-3,15-Oct-2019 10:21 AM,Technical,Summary,Bishwjeet Singh,07-Aug-2019 04:48 PM,technical_43585.pdf,1.0,126026.0,Tek Chand,INR,"1,765,356",Finance,Summary,Bishwjeet Singh,14-Oct-2019 04:28 PM,finance_43585.pdf,BOQ Comparative Chart,AOC
,,2.0,BC - Bankers Cheque,,,,,,,.pdf,Earnest Money (General rule No. 26.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,125789,CRC Construction,23-Jul-2019 11:01 PM,Rejected-AOC,L-2,15-Oct-2019 10:21 AM,,,,,,,,,,,,,,,,,AOC
,,3.0,FDR - Fixed Deposit,,,,,,,.pdf,Contractor registration (General rule No. 26.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,126068,HARISH SHARMA,26-Jul-2019 06:18 PM,Rejected-AOC,L-10,15-Oct-2019 10:21 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,GST registration (General rule No. 26.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,126032,Hukam Chand Verma,26-Jul-2019 03:00 PM,Rejected-AOC,L-4,15-Oct-2019 10:21 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Work done and work in hand certificate(General rule 26.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,126052,PAWAN KUMAR,26-Jul-2019 04:47 PM,Rejected-AOC,L-6,15-Oct-2019 10:21 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,List of machinery tool plant (General rule 26.6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,126001,Pitamber Lal,25-Jul-2019 08:13 PM,Rejected-AOC,L-5,15-Oct-2019 10:21 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Employees Provident Fund and Miscellaneous Provision Act 1952 (General rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,126081,PRAKASH CHANDEL,26-Jul-2019 08:13 PM,Rejected-AOC,L-9,15-Oct-2019 10:21 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Form 8 duly signed by Govt. contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,126098,Rajender Thakur,27-Jul-2019 08:44 AM,Rejected-AOC,L-8,15-Oct-2019 10:21 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,126096,Sandeep Kumar,27-Jul-2019 07:59 AM,Rejected-AOC,L-11,15-Oct-2019 10:21 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,126026,Tek Chand,26-Jul-2019 02:01 PM,Accepted-AOC,L-1,15-Oct-2019 10:21 AM,,,,,,,,,,,,,,,,,AOC
