Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Dr Suresh Kumar Walia,Internal,Er JN Sharma AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,24-Sep-2019 12:59 PM,finsummary_45092.pdf (193.21 KB),28-Oct-2019,"INR 2,862,480",30.0,Suresh Kumar Walia,29-Oct-2019 02:59 PM,Award.pdf (453.00 KB),Award,PWD,2019_PWD_31308_2,PWD CIVIL-6971-7000-TANDA,"Construction of link road Baroi Mualkar via lower Jadrangal road Km 2/000 to 2/700 in Distt Kangra (HP) (SH Construction of Balance work of retaining wall, GSB and Metalling and Tarring etc)",Dr Suresh Kumar Walia,Internal,Er Jn Sharma AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,20-Sep-2019 04:24 PM,20-Sep-2019 04:25 PM,techsummary_45092.pdf (643.24 KB),Technical,Sum,Suresh Kumar Walia,20-Sep-2019 04:23 PM,technical_45092.pdf,1.0,130345.0,Navneet Thakur,10-Sep-2019 04:55 PM,Accepted-AOC,L1,29-Oct-2019 02:59 PM,Finance,Sum,Suresh Kumar Walia,24-Sep-2019 12:58 PM,finance_45092.pdf,BOQ Comparative Chart,1.0,130345.0,Navneet Thakur,INR,"2,997,493.62",AOC,06-Sep-2019 05:00 PM,20-Sep-2019 11:30 AM,06-Sep-2019 05:00 PM,19-Sep-2019 05:00 PM,NA ,NA ,06-Sep-2019 05:00 PM,19-Sep-2019 05:00 PM,20-Sep-2019 04:25 PM,PWD,PWD CIVIL-6971-7000-TANDA,2019_PWD_31308_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,EE HPPWD Division Tanda at Nagrota Bagwan,Kangra,No,1.0,DD - Demand Draft,"37,500",Yes,fixed,,EE HPPWD Division Tanda at Nagrota Bagwan,Tanda at Nagrota Bagwan,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD (Nationalized Bank),Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,"Construction of link road Baroi Mualkar via lower Jadrangal road Km 2/000 to 2/700 in Distt Kangra (HP) (SH Construction of Balance work of retaining wall, GSB and Metalling and Tarring etc)","Construction of link road Baroi Mualkar via lower Jadrangal road Km 2/000 to 2/700 in Distt Kangra (HP) (SH Construction of Balance work of retaining wall, GSB and Metalling and Tarring etc)",Please refer Tender documents. ,NA ,"19,96,197",Civil Works - Roads,NA ,Tender,120.0,30.0,TANDA,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,130247.0,Singh,10-Sep-2019 09:20 AM,Rejected-AOC,L2,29-Oct-2019 02:59 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,AOC
