Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Department of Water Resources||Chief Engineer - DoWR,MAJULI/RIDF/2018-19/BORPAMUA/1,2019_DoWR_11514_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,"Addl. Chief Engineer, UAZ, W.R. Deptt., Dibrugarh","O/o the Additional Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh - 05",Bank Protection at Borpamua and its adjoining area under Jengrai G.P. from the erosion of river Subansiri (Package 5),Bank Protection at Borpamua and its adjoining area under Jengrai G.P. from the erosion of river Subansiri (Package 5),Please refer Tender documents. ,NA ,"9,70,688",Civil Works,NA ,Tender,180.0,180.0,Majuli,785110.0,NA ,NA ,NA ,Dibrugarh,No ,No,"19,414",Yes,percentage,2.0%,"The Executive Engineer, Majuli W.R. Division",Garamur,500.0,"The Executive Engineer, Majuli W.R. Division",Garamur,No,29-Jan-2019 06:00 PM,20-Feb-2019 02:00 PM,29-Jan-2019 06:00 PM,19-Feb-2019 02:00 PM,NA ,NA ,14-Feb-2019 10:00 AM,19-Feb-2019 02:00 PM,09-May-2019 02:50 PM,1.0,DD - Demand Draft,1.0,Change in Name of the Scheme,Other,,1.0,Fee,.pdf,Cost of Tender and EMD,AOC,Department of Water Resources||Chief Engineer - DoWR,2019_DoWR_11514_1,MAJULI/RIDF/2018-19/BORPAMUA/1,Bank Protection at Borpamua and its adjoining area under Jengrai G.P. from the erosion of river Subansiri (Package 5),1,55813,Anjit Bora,18-Feb-2019 08:21 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,09-May-2019 02:44 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,2.0,PreQual/Technical,.pdf,Technical Documents,AOC,,,,,2,55809,DAMUDAR ENTERPRISE,18-Feb-2019 09:08 PM,Not Admitted-Fee,Fee not received,28-Mar-2019 02:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,3.0,Finance,.xls,BOQ,AOC,,,,,3,55669,DIGANTA PHUKAN,19-Feb-2019 08:09 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,09-May-2019 02:44 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,AOC,,,,,4,55789,HITENDRA PEGU,19-Feb-2019 11:01 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,09-May-2019 02:44 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,DCR - Deposit at call receipt,,,,,,,,,AOC,,,,,5,55806,JEMS PEGU,18-Feb-2019 07:33 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,09-May-2019 02:44 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,6,55390,KHAGEN DAS,15-Feb-2019 01:55 PM,Not Admitted-Fee,Fee not received,28-Mar-2019 02:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,7,55858,mrinal doley,19-Feb-2019 12:36 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,09-May-2019 02:44 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,8,55852,M/S SYNERGY DEVELOPERS,19-Feb-2019 11:45 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,09-May-2019 02:44 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,9,55843,NANDA DULAL DUTTA,19-Feb-2019 11:13 AM,Accepted-AOC,Proper,24-Sep-2019 12:20 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,10,55826,Nitul Boruah,18-Feb-2019 09:45 PM,Rejected-AOC,Not qualified for AOC,24-Sep-2019 12:20 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,11,55638,Prafulla Doley,19-Feb-2019 01:08 PM,Accepted-AOC,Proper,24-Sep-2019 12:20 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,12,55612,RITU BORPATRA GOHAIN,18-Feb-2019 09:03 PM,Accepted-AOC,Proper,24-Sep-2019 12:20 PM,AOC
