Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
06-Oct-2019,"INR 4,671,629",365.0,Vivek Sharma,06-Oct-2019 03:34 PM,Type-IIIMataniA.pdf (1650.00 KB),Awaed,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,27-May-2019 10:18 AM,finsummary_41190.pdf (748.73 KB),EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Dev Raj,06-Apr-2019 04:51 PM,06-Apr-2019 04:55 PM,techsummary_41190.pdf (905.83 KB),PWD,2019_PWD_28609_1,C/O Residentail Accommodation Type-III 2 Nos,C/O Residentail Accommodation Type-III 2 Nos for PWD Employees Matani at Hamirpur,1.0,120028.0,Yash Paul,INR,"4,748,957",Finance,Attached,Vivek Sharma,25-May-2019 03:43 PM,finance_41190.pdf,BOQ Comparative Chart,Technical,Attached,Vivek Sharma,06-Apr-2019 04:42 PM,None,1.0,120033.0,Parbhat Singh,28-Mar-2019 06:50 PM,Rejected-AOC,l2,06-Oct-2019 03:34 PM,AOC,"1,500",EE Hamirpur,EE Hamirpur,No,C/O Residentail Accommodation Type-III 2 Nos for PWD Employees Matani at Hamirpur,SH C/O building portion Water supply and sanitary installation and rain water harvesting storage tank,Please refer Tender documents. ,NA ,"36,79,551",Civil Works - Buildings,NA ,Tender,60.0,365.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,DD - Demand Draft,23-Mar-2019 06:00 PM,29-Mar-2019 03:00 PM,23-Mar-2019 06:00 PM,29-Mar-2019 10:00 AM,NA ,NA ,23-Mar-2019 06:30 PM,29-Mar-2019 10:00 AM,06-Apr-2019 04:55 PM,EE Hamirpur,Executive Engineer HPPWD Hamirpur,"62,700",No,fixed,,EE Hamirpur,EE Hamirpur,PWD,C/O Residentail Accommodation Type-III 2 Nos,2019_PWD_28609_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,120028.0,Yash Paul,28-Mar-2019 05:09 PM,Accepted-AOC,l1,06-Oct-2019 03:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD and similar work done 40 Percent,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
