Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
R. SARMA,Internal,"G.C. SARMA, P. BORA",Jayanta Kumar Barman,04-Mar-2019 12:40 PM,04-Mar-2019 12:45 PM,techsummary_17980.pdf (54.63 KB),1.0,53180.0,Akhil Kumar Jain,INR,4999976.4,13-Sep-2019,INR 22203583.54,60.0,Jayanta Kumar Barman,13-Sep-2019 01:39 PM,document_1133_1.PDF (639.00 KB),Immediate measures for closing channel mouth of river Brahmaputra at Boralimari to arrest bank migration at Khatobori-Kocharigaon area under SDRF for the year 2018-19,Technical,Financial bid of the successful bidder may be opened,Jayanta Kumar Barman,04-Mar-2019 12:37 PM,technical_17980.pdf,Finance,Updated CS may be prepared,Jayanta Kumar Barman,05-Mar-2019 11:50 AM,,BOQ Comparative Chart,Department of Water Resources||Chief Engineer - DoWR,2019_DoWR_11319_1,MORIGAON/2018-19/SDRF/I,IM at Boralimari PK 4,1,53180,Akhil Kumar Jain,01-Feb-2019 02:19 PM,Accepted-AOC,PROPER,13-Sep-2019 01:39 PM,R. SARMA,Internal,G.C. SARMA,Jayanta Kumar Barman,13-Sep-2019 01:34 PM,finsummary_17980.pdf (54.63 KB),AOC,1.0,DD - Demand Draft,Department of Water Resources||Chief Engineer - DoWR,MORIGAON/2018-19/SDRF/I,2019_DoWR_11319_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,"Chief Engineer,W.R.Deptt",O/O Chief Engineer Water Resources Department Chandmari,22-Jan-2019 06:00 PM,04-Feb-2019 02:00 PM,22-Jan-2019 06:05 PM,02-Feb-2019 02:00 PM,NA ,NA ,28-Jan-2019 09:00 AM,02-Feb-2019 02:00 PM,04-Mar-2019 12:45 PM,IM at Boralimari PK 4,Immediate measures for closing channel mouth of river Brahmaputra at Boralimari to arrest bank migration at Khatobori-Kocharigaon area under SDRF for the year 2018-19,Please refer Tender documents. ,NA ,"2,22,03,583",Civil Works,NA ,Tender,180.0,60.0,MORIGAON,782105.0,NA ,NA ,NA ,GUWAHATI,No ,No,"4,44,072",Yes,percentage,2.0%,"The Executive Engineer, Morigaon W. R. Division",Morigaon,1.0,Fee,.pdf,FEE,"5,000","The Executive Engineer, Morigaon W. R. Division",Morigaon,No,AOC
,,,,,,,2.0,53208.0,Ashok Kumar Jain,INR,4999976.4,,,,,,,,,,,,,,,,,,,,,,,2,53146,Ashok Kumar Agarwalla,01-Feb-2019 06:27 PM,Rejected-AOC,Not Qualified for AOC,13-Sep-2019 01:39 PM,,,,,,,AOC,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,TECHNICAL DOCUMENTS,,,,,AOC
,,,,,,,3.0,53468.0,DINESH BHUYAN,INR,4980918.13,,,,,,,,,,,,,,,,,,,,,,,3,53208,Ashok Kumar Jain,01-Feb-2019 03:30 PM,Accepted-AOC,PROPER,13-Sep-2019 01:39 PM,,,,,,,AOC,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,AOC
,,,,,,,4.0,53525.0,JOGESH KALITA,INR,4999976.4,,,,,,,,,,,,,,,,,,,,,,,4,53468,DINESH BHUYAN,30-Jan-2019 08:40 PM,Accepted-AOC,PROPER,13-Sep-2019 01:39 PM,,,,,,,AOC,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,53525,JOGESH KALITA,31-Jan-2019 12:13 PM,Accepted-AOC,PROPER,13-Sep-2019 01:39 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,53163,KAILASH CHAND BAGRA,01-Feb-2019 02:09 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,04-Mar-2019 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,53149,Pradip Kumar Agarwalla,01-Feb-2019 06:50 PM,Rejected-AOC,Not Qualified for AOC,13-Sep-2019 01:39 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,53471,S.A. ENTERPRISE,30-Jan-2019 09:57 PM,Rejected-AOC,Not Qualified for AOC,13-Sep-2019 01:39 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,53705,SOMESWAR DAS,01-Feb-2019 06:57 PM,Rejected-AOC,Not Qualified for AOC,13-Sep-2019 01:39 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,53869,SURESH TOSNIWAL SHREE CONSTRCTION JV,02-Feb-2019 12:43 PM,Rejected-AOC,Not Qualified for AOC,13-Sep-2019 01:39 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
