Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Attached,Vivek Sharma,02-Feb-2019 09:30 PM,technical_36577.pdf,1.0,109144.0,ANKITA DUBEY GOVT. CONTRACTOR,23-Jan-2019 08:08 PM,Rejected-AOC,l4,06-Oct-2019 01:25 PM,1.0,109146.0,Pankaj Thakur,INR,"1,232,993",Finance,Attached,Dev Raj,14-Apr-2019 06:30 AM,finance_36577.pdf,BOQ Comparative Chart,06-Oct-2019,"INR 1,227,653",180.0,Vivek Sharma,06-Oct-2019 01:25 PM,VetenaryAward.pdf (1443.00 KB),Award,EEHAmirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,14-Apr-2019 10:58 AM,finsummary_36577.pdf (297.89 KB),EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Dev Raj,03-Feb-2019 02:05 PM,05-Feb-2019 11:00 AM,techsummary_36577.pdf (1479.49 KB),PWD,2019_PWD_25995_1,C/O Vetenary Dispensary Building Bari Pharnol,Construction of Vetenary Dispensary Building Bari Pharnol,AOC,16-Jan-2019 06:00 PM,24-Jan-2019 11:30 AM,16-Jan-2019 06:00 PM,24-Jan-2019 10:00 AM,NA ,NA ,16-Jan-2019 06:00 PM,24-Jan-2019 10:00 AM,05-Feb-2019 11:00 AM,EE Hamirpur,Executive Engineer HPPWD Hamirpur,1.0,DD - Demand Draft,PWD,C/O Vetenary Dispensary Building Bari Pharnol,2019_PWD_25995_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"19,100",No,fixed,,EE Hamirpur,EE Hamirpur,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,Construction of Vetenary Dispensary Building Bari Pharnol,"Tehsil and Distt. Hamirpur SH C/O Civil work, water supply and sanitary installation and site development",Please refer Tender documents. ,NA ,"9,55,060",Civil Works - Buildings,NA ,Tender,60.0,180.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,350.0,EE Hamirpur,EE Hamirpur,No,AOC
,,,,,2.0,109149.0,Divender kumar,23-Jan-2019 09:19 PM,Rejected-AOC,l3,06-Oct-2019 01:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,109110.0,Mohit Chaudhary,23-Jan-2019 05:54 PM,Rejected-Technical,Rejected,03-Feb-2019 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,109146.0,Pankaj Thakur,23-Jan-2019 08:45 PM,Accepted-AOC,l1,06-Oct-2019 01:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,109007.0,Raj Gopal Sharma,22-Jan-2019 07:30 PM,Rejected-Technical,Rejected,03-Feb-2019 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST will be applicable as per Govt. rates,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,6.0,109091.0,SUBHASH CHAND GOVT CONTRACTOR,23-Jan-2019 05:20 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,02-Feb-2019 09:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,7.0,109126.0,VIKAS KHAJURIA GOVT CONT,23-Jan-2019 07:09 PM,Rejected-AOC,l2,06-Oct-2019 01:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
