Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
19-Oct-2019,"INR 2,032,324",180.0,Yogesh Sharma,19-Oct-2019 11:28 AM,39.pdf (566.00 KB),AOC,Er KS Pal,Internal,Suptt DAO DHD TA,Yogesh Sharma,19-Oct-2019 11:16 AM,finsummary_38922.pdf (168.05 KB),Er K S Pal,Internal,EE Suptt Accountant HDM Tender Clerk,Yogesh Sharma,09-Mar-2019 10:40 AM,09-Mar-2019 10:45 AM,techsummary_38922.pdf (320.08 KB),PWD,2019_PWD_27321_8,PW.CHD.CB-E-9/2018 13396-13489 DT 17.1.19,C/O First floor of Govt. Senior Secondary School Shilla,Finance,Bid Opening Summary,Yogesh Sharma,19-Oct-2019 11:11 AM,finance_38922.pdf,BOQ Comparative Chart,1.0,114286.0,HP PWD,INR,"2,032,324",Technical,Bid Opening Summary,Yogesh Sharma,09-Mar-2019 10:27 AM,technical_38922.pdf,1.0,114677.0,Anup Singh (D) Class Contractor,22-Feb-2019 04:52 PM,Rejected-Technical,Non Responsive,09-Mar-2019 10:40 AM,AOC,"12,000",No,fixed,,EE Chopal,Chopal,14-Feb-2019 03:00 PM,25-Feb-2019 11:30 AM,14-Feb-2019 03:00 PM,22-Feb-2019 05:00 PM,NA ,NA ,14-Feb-2019 03:00 PM,22-Feb-2019 05:00 PM,09-Mar-2019 10:45 AM,C/O First floor of Govt. Senior Secondary School Shilla,SH C/O First Floor of Govt Senior Secondary School Shilla (SH C/o First floo of Building),Please refer Tender documents. ,NA ,"5,83,691",Civil Works - Roads,NA ,Tender,120.0,180.0,Chopal,171211.0,NA ,NA ,NA ,Chopal,No ,No,PWD,PW.CHD.CB-E-9/2018 13396-13489 DT 17.1.19,2019_PWD_27321_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE Chopal,HPPWD CHOPAL,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),1.0,DD - Demand Draft,500.0,EE Chopal,Chopal,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,114286.0,HP PWD,21-Feb-2019 02:52 PM,Accepted-AOC,Accepted,19-Oct-2019 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),2.0,FDR - Fixed Deposit,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,114633.0,khyali ram,22-Feb-2019 02:45 PM,Rejected-AOC,Rejected,19-Oct-2019 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,114331.0,Narain Singh Chuahn,21-Feb-2019 03:57 PM,Rejected-Technical,Non Responsive,09-Mar-2019 10:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,114671.0,Ram Lal,22-Feb-2019 04:44 PM,Rejected-Technical,Non Responsive,09-Mar-2019 10:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,114558.0,Sandeep Kumar Govt Contractor,22-Feb-2019 12:19 PM,Rejected-Technical,Non Responsive,09-Mar-2019 10:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,AOC
