Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Instrument Type,Name,Address,Tender Stage
Finance,Updated CS may be prepared,Jayanta Kumar Barman,26-Feb-2019 12:09 PM,,BOQ Comparative Chart,R. SARMA,Internal,"G.C. SARMA, P. CHAUDHURY",Jayanta Kumar Barman,19-Sep-2019 06:23 PM,finsummary_18043.pdf (54.63 KB),A. Kalita,Internal,"G.C.SARMA, P. CHOUDHURY",Jayanta Kumar Barman,21-Feb-2019 03:59 PM,21-Feb-2019 04:00 PM,techsummary_18043.pdf (54.64 KB),Technical,Financial bid of the successful bidder may be opened,Jayanta Kumar Barman,21-Feb-2019 03:58 PM,technical_18043.pdf,Department of Water Resources||Chief Engineer - DoWR,2019_DoWR_11368_1,BARPETA/2018-19/RIDF/I,Pro siltation measures to protect Baghmara,1.0,54879.0,Ashit Roy,INR,2006877.08,20-Sep-2019,INR 24536816.64,180.0,Jayanta Kumar Barman,20-Sep-2019 10:27 AM,document_aoc.PDF (2380.00 KB),"Name of Work Pro-siltation measures to protect Baghmara, Nirala, Bhatnapati char, Dolgoma, Sutarpar and its adjoining areas from the erosion of river Brahmaputra (Ph. I).",1,55256,Akhil Kumar Jain,14-Feb-2019 10:08 AM,Accepted-AOC,PROPER,20-Sep-2019 10:28 AM,AOC,Department of Water Resources||Chief Engineer - DoWR,BARPETA/2018-19/RIDF/I,2019_DoWR_11368_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,Pro siltation measures to protect Baghmara,"Pro siltation measures to protect Baghmara, Nirala, Bhatnapati char, Dolgoma, Sutarpar and its adjoining areas from the erosion of river Brahmaputra (Ph.-I).",Please refer Tender documents. ,NA ,"2,45,36,816",Civil Works,NA ,Tender,180.0,180.0,BARPETA,781301.0,NA ,NA ,NA ,GUWAHATI,No ,No,24-Jan-2019 06:00 PM,15-Feb-2019 02:00 PM,24-Jan-2019 06:05 PM,14-Feb-2019 02:00 PM,NA ,NA ,09-Feb-2019 09:00 AM,14-Feb-2019 02:00 PM,21-Feb-2019 04:00 PM,1.0,Fee,.pdf,FEE,1.0,REVISED AOC,AOC,,"5,000","The Executive Engineer, Barpeta W. R. Division",Barpeta,No,"4,90,736",Yes,percentage,2.0%,"The Executive Engineer, Barpeta W.R. Division",Barpeta,1.0,DD - Demand Draft,"Chief Engineer,W.R.Deptt",O/O Chief Engineer Water Resources Department Chandmari,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,54934.0,Yugant Infrastructure Private Limited,INR,2006543.86,,,,,,,,2,54879,Ashit Roy,10-Feb-2019 09:47 PM,Accepted-AOC,PROPER,20-Sep-2019 10:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,TECHNICAL DOCUMENTS,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,54936.0,Rabindra Chhawchharia,INR,2006543.86,,,,,,,,3,55255,Ashok Kumar Jain,14-Feb-2019 09:51 AM,Accepted-AOC,PROPER,20-Sep-2019 10:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,55086.0,RAJIB KUMAR DEKA,INR,2006543.86,,,,,,,,4,55177,HEMEN KUMAR DUTTA,13-Feb-2019 04:21 PM,Accepted-AOC,PROPER,20-Sep-2019 10:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,55177.0,HEMEN KUMAR DUTTA,INR,2006877.08,,,,,,,,5,55266,JAYNAL ABDIN,14-Feb-2019 11:41 AM,Accepted-AOC,PROPER,20-Sep-2019 10:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,55216.0,S.A. ENTERPRISE,INR,2006877.08,,,,,,,,6,55232,KHANDAKAR JIYAUR RAHMAN,13-Feb-2019 10:58 PM,Accepted-AOC,PROPER,20-Sep-2019 10:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,55232.0,KHANDAKAR JIYAUR RAHMAN,INR,2006877.08,,,,,,,,7,55196,MRINAL JYOTI DAS AND ABDUR REZZAK JV,13-Feb-2019 06:41 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,21-Feb-2019 03:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,55244.0,SULTAN MAMUD,INR,2006877.08,,,,,,,,8,54936,Rabindra Chhawchharia,13-Feb-2019 10:56 PM,Accepted-AOC,PROPER,20-Sep-2019 10:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,55255.0,Ashok Kumar Jain,INR,2006877.08,,,,,,,,9,55086,RAJIB KUMAR DEKA,13-Feb-2019 05:23 PM,Accepted-AOC,PROPER,20-Sep-2019 10:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,55256.0,Akhil Kumar Jain,INR,2006877.08,,,,,,,,10,55216,S.A. ENTERPRISE,13-Feb-2019 08:45 PM,Accepted-AOC,PROPER,20-Sep-2019 10:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,55266.0,JAYNAL ABDIN,INR,2014137.1,,,,,,,,11,55248,Sri Nirendu Roy,14-Feb-2019 09:43 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,21-Feb-2019 03:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,55244,SULTAN MAMUD,13-Feb-2019 11:29 PM,Accepted-AOC,PROPER,20-Sep-2019 10:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,55250,Surajit Roy,14-Feb-2019 09:49 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,21-Feb-2019 03:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,54934,Yugant Infrastructure Private Limited,13-Feb-2019 11:03 PM,Accepted-AOC,PROPER,20-Sep-2019 10:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
