Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
11-Feb-2019 05:00 PM,18-Feb-2019 11:30 AM,11-Feb-2019 05:00 PM,16-Feb-2019 05:00 PM,NA ,NA ,11-Feb-2019 05:00 PM,16-Feb-2019 05:00 PM,02-Mar-2019 04:00 PM,"19,700",No,fixed,,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,350.0,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),Balance work on Baruhi to Khurwain road km. 0000 to 17/730SH CO C.C. Pavement in km. 15250 to 15407,Balance work on Baruhi to Khurwain road km. 0000 to 17/730SH CO C.C. Pavement in km. 15250 to 15407,Please refer Tender documents. ,NA ,"9,83,526",Civil Works - Roads,NA ,Tender,120.0,30.0,Bangana,174307.0,NA ,NA ,NA ,Executive Engineer HPWD Bangana,No ,No,PWD,PW/BGN/CB/T-I/2018-19-16450-62 dt 24.01.2019,2019_PWD_27115_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,AOC,PWD,2019_PWD_27115_1,PW/BGN/CB/T-I/2018-19-16450-62 dt 24.01.2019,Balance work on Baruhi to Khurwain road km. 0000 to 17/730SH CO C.C. Pavement in km. 15250 to 15407,EE,Internal,GASupdtHDMDAOAE,Ram Saroop Kalia,02-Mar-2019 02:10 PM,02-Mar-2019 04:00 PM,techsummary_38590.pdf (102.50 KB),EE,Internal,GASupdtHDMDAOAE,Ram Saroop Kalia,07-Oct-2019 12:27 PM,finsummary_38590.pdf (144.07 KB),07-Oct-2019,"INR 983,526",30.0,Ram Saroop Kalia,07-Oct-2019 12:28 PM,27115.pdf (144.00 KB),Award letter,Finance,Bid opening summary,Ram Saroop Kalia,07-Oct-2019 12:24 PM,None,BOQ Comparative Chart,1.0,113112.0,Rajinder Kumar,INR,"1,649,285",1.0,113149.0,Parvind Kumar,16-Feb-2019 12:37 PM,Rejected-Finance,Due to higher side from L-1,07-Oct-2019 12:27 PM,Technical,bidopeningsummary,Ram Saroop Kalia,02-Mar-2019 02:08 PM,technical_38590.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,113112.0,Rajinder Kumar,16-Feb-2019 07:31 AM,Accepted-AOC,Due to L-1,07-Oct-2019 12:28 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate on prescribed format given in Bidding Document without liquidated damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool Plant with proof of ownership or legal tie-up and list of laboratory equipmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and non Gazetted officer HPPWD employees related to him ( General Rule No.16 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no litigation with the department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
