S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,53449.0,SARJUG SAH,INR,3489724.0,"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"Dy. Director, Design and Planning, Dibrugarh, AEE, Office of the Addl. Chief Engineer, UAZ, WRD, Dibrugarh, Accounts Officer, Dibrugarh WRD, DBR",Joy Sekhar Chakraborty,08-Mar-2019 06:01 PM,finsummary_17997.pdf (754.57 KB),21-Sep-2019,INR 15506989.82,60.0,Joy Sekhar Chakraborty,21-Sep-2019 02:45 PM,uttammatigaon.pdf (4629.00 KB),Immediate measures to T/Dyke along the L/B of river Burhidehing from Joypur to Naharkatiya at Dehingkinar Bengali gaon (Uttammati gaon ) for 2018-19.,Department of Water Resources||Chief Engineer - DoWR,2019_DoWR_11336_1,DIB/SDRF/2018-19/UTTAMMATI/1,Immediate measures to T/Dyke along the L/B of river Burhidehing from Joypur to Naharkatiya at Dehingkinar Bengali gaon (Uttammati gaon ) for 2018-19.,Finance,Updated CS may be prepared,Joy Sekhar Chakraborty,08-Mar-2019 05:58 PM,finance_17997.pdf,BOQ Comparative Chart,1,53534,BIJAY KUMAR SWAMI RAJEEB KUMAR GOGOI-JV,31-Jan-2019 07:07 PM,Rejected-AOC,Not qualified for AOC,21-Sep-2019 02:45 PM,"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"Dy. Director, Design and Planning, Dibrugarh, AEE, Office of the Addl. Chief Engineer, UAZ, WRD, Dibrugarh, Accounts Officer, Dibrugarh WRD, DBR",Joy Sekhar Chakraborty,08-Mar-2019 05:49 PM,08-Mar-2019 05:50 PM,techsummary_17997.pdf (754.57 KB),Technical,Financial Bid of the successful bidders may be opened.,Joy Sekhar Chakraborty,08-Mar-2019 05:48 PM,technical_17997.pdf,AOC,1.0,DD - Demand Draft,"Addl. Chief Engineer, UAZ, W.R. Deptt., Dibrugarh","O/o the Additional Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh - 05",1.0,Fee,.pdf,Cost of Tender and EMD,Department of Water Resources||Chief Engineer - DoWR,DIB/SDRF/2018-19/UTTAMMATI/1,2019_DoWR_11336_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,"3,10,140",Yes,percentage,2.0%,"The Executive Engineer, Dibrugarh W.R. Division",Dibrugarh,23-Jan-2019 06:00 PM,04-Feb-2019 02:00 PM,23-Jan-2019 06:05 PM,02-Feb-2019 02:00 PM,NA ,NA ,28-Jan-2019 10:00 AM,02-Feb-2019 02:00 PM,08-Mar-2019 05:50 PM,"5,000","The Executive Engineer, Dibrugarh W.R. Division",Dibrugarh,No,Immediate measures to T/Dyke along the L/B of river Burhidehing from Joypur to Naharkatiya at Dehingkinar Bengali gaon (Uttammati gaon ) for 2018-19.,Immediate measures to T/Dyke along the L/B of river Burhidehing from Joypur to Naharkatiya at Dehingkinar Bengali gaon (Uttammati gaon ) for 2018-19.,Please refer Tender documents. ,NA ,"1,55,06,990",Civil Works,NA ,Tender,180.0,60.0,Dibrugarh,786005.0,NA ,NA ,NA ,Dibrugarh,No ,No,AOC
2.0,53655.0,SARAT MOHAN NAREN-JV,INR,3490835.0,,,,,,,,,,,,,,,,,,,,,,,,2,53747,BOLIN DOWERAH,01-Feb-2019 11:32 AM,Accepted-AOC,Proper,21-Sep-2019 02:45 PM,,,,,,,,,,,,,AOC,2.0,BC - Bankers Cheque,,,2.0,PreQual/Technical,.pdf,Technical Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,53693.0,"RANJAN DUTTA, AHSANUL MAZID JV",INR,3487591.0,,,,,,,,,,,,,,,,,,,,,,,,3,53494,Manjur Hussain Ansari,30-Jan-2019 08:07 PM,Rejected-AOC,Not qualified for AOC,21-Sep-2019 02:45 PM,,,,,,,,,,,,,AOC,3.0,BG - Bank Guarantee Irrevocable,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,53747.0,BOLIN DOWERAH,INR,3487367.0,,,,,,,,,,,,,,,,,,,,,,,,4,53726,M/S KAVIYA ENTERPRISE,01-Feb-2019 09:21 AM,Rejected-AOC,Not qualified for AOC,21-Sep-2019 02:45 PM,,,,,,,,,,,,,AOC,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,53663,NAVAJYOTI BURAGOHAIN,01-Feb-2019 08:30 PM,Rejected-AOC,Not qualified for AOC,21-Sep-2019 02:45 PM,,,,,,,,,,,,,AOC,5.0,DCR - Deposit at call receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,53877,Navish Tulshyan,02-Feb-2019 01:29 PM,Rejected-AOC,Not qualified for AOC,21-Sep-2019 02:45 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,53693,"RANJAN DUTTA, AHSANUL MAZID JV",31-Jan-2019 11:38 PM,Accepted-AOC,Proper,21-Sep-2019 02:45 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,53655,SARAT MOHAN NAREN-JV,31-Jan-2019 09:22 PM,Accepted-AOC,Proper,21-Sep-2019 02:45 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,53449,SARJUG SAH,01-Feb-2019 10:01 AM,Accepted-AOC,Proper,21-Sep-2019 02:45 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,53709,SOMESWAR DAS,01-Feb-2019 03:41 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,08-Mar-2019 05:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
