Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,financial bid summary,Dalip singh Patial,08-Oct-2018 03:35 PM,finance_32730.pdf,BOQ Comparative Chart,1.0,95002.0,SUNIL KAPOOR,INR,"2,187,403",Technical,technical bid summary,Dalip singh Patial,06-Oct-2018 12:47 PM,technical_32730.pdf,1.0,95195.0,DHARMENDER SINGH,19-Sep-2018 06:59 PM,Rejected-AOC,rejected being L3,23-Oct-2019 04:10 PM,Er Dalip singh Patial EE,Internal,Smt Karuna Sharma Supdt Sh Amar Singh Draughtsman Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,08-Oct-2018 03:40 PM,finsummary_32730.pdf (526.71 KB),17-Oct-2019,"INR 2,187,403",365.0,Dalip singh Patial,23-Oct-2019 04:10 PM,AOC.pdf (591.00 KB),work awarded to L1 contractor Sh Sunil Kapoor,PWD,2018_PWD_23397_1,PW/MED/TA /NIT/e-notice/18-19-3980-85 dt 25.08.18,Construction of Cluster University Building Govt Degree College at Bassa Distt Mandi HP SH Providing Electrical Installation therein,Er Sanjay Kumar SE,Internal,Er B S Gora EE Er D S Patial EE Er Pradeep Sharma EO Sh Jeet Ram Supdt,Dalip singh Patial,06-Oct-2018 12:52 PM,06-Oct-2018 03:00 PM,techsummary_32730.pdf (1157.40 KB),AOC,PWD,PW/MED/TA /NIT/e-notice/18-19-3980-85 dt 25.08.18,2018_PWD_23397_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"44,750",No,fixed,,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,",500.0,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,No,Construction of Cluster University Building Govt Degree College at Bassa Distt Mandi HP SH Providing Electrical Installation therein,Construction of Cluster University Building Govt Degree College at Bassa Distt Mandi HP SH Providing Electrical Installation therein,Please refer to bid doc ,NA ,"24,82,304",Electrical Works,NA ,Tender,120.0,365.0,Bassa,175029.0,NA ,NA ,NA ,Electrical Division HPPWD Mandi H.P,No ,No,Executive Engineer Electrical Division HPPWD Mand,Executive Engineer Electrical Division HPPWD Mandi,10-Sep-2018 10:00 AM,20-Sep-2018 11:30 AM,10-Sep-2018 10:00 AM,20-Sep-2018 10:00 AM,NA ,NA ,10-Sep-2018 10:00 AM,20-Sep-2018 10:00 AM,06-Oct-2018 03:00 PM,AOC
,,,,,,,,,,,,,,,,2.0,95132.0,Ratwn Light House,19-Sep-2018 09:25 PM,Rejected-AOC,rejected being L2,23-Oct-2019 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,95002.0,SUNIL KAPOOR,18-Sep-2018 07:37 PM,Accepted-AOC,work awarded being L1,23-Oct-2019 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION in appropriate Class A or B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,95032.0,TARUN GUPTA,19-Sep-2018 07:20 PM,Rejected-AOC,rejected being L4,23-Oct-2019 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid Electrical license REFER GENERAL RULES NO 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PERMANENT ACCOUNT NUMBER (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
