EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"35,000",No,fixed,,"Secretary, Board of Secondary Education Assam",Guwahati,"Secretary, Board of Secondary Education Assam",Bamunimaidam Guwahati,1.0,DD - Demand Draft,"3,000","Secretary, Board of Secondary Education Assam",Guwahati,No,SECONDARY EDUCATION DEPARTMENT ASSAM||Board of Secondary Education Assam,SEBA/EST/ENSF/5/15/,2019_SE_12826_1,Yes,Open Tender,Works,Services,2.0,No,No,Offline,No,No,No,24-May-2019 06:30 PM,20-Jun-2019 12:00 PM,24-May-2019 06:45 PM,14-Jun-2019 02:00 PM,NA ,NA ,25-May-2019 09:00 AM,14-Jun-2019 02:00 PM,12-Jul-2019 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,Technical Document,Providing Security Personnel as Service,Providing Security Personnel as Service,Please refer Tender documents. ,NA ,"10,00,000",Miscellaneous Services,NA ,Tender,60.0,365.0,Bamunimaidam Guwahati,781021.0,NA ,NA ,NA ,Bamunimaidam Guwahati,No ,No,AOC,1.0,60163.0,Metro family service,INR,169560.0,Finance,Financial Bid Opening Summary,Abhijit Saloi,07-Sep-2019 05:22 PM,finance_20150.pdf,BOQ Comparative Chart,SURANJANA SENAPATI,Internal,BINOY KRISHNA MISRA ABHIJIT SALOI SOBHAN KACHARI SIBENDRA KR CHOUDHURY,Abhijit Saloi,07-Sep-2019 05:30 PM,finsummary_20150.pdf (647.40 KB),SECONDARY EDUCATION DEPARTMENT ASSAM||Board of Secondary Education Assam,2019_SE_12826_1,SEBA/EST/ENSF/5/15/,Providing Security Personnel as Service,1,60367,Anadnab Security Services,14-Jun-2019 10:36 AM,Rejected-AOC,Committee Deceision,11-Sep-2019 11:38 AM,Technical,Bid opening summary,Abhijit Saloi,11-Jul-2019 04:37 PM,technical_20150.pdf,SURANJANA SENAPATI SECRETARY,Internal,ABHIJIT SALOI BINOY K MISRA SOBHAN KACHARI SIBENDRA KR CHOUDHURY,Abhijit Saloi,11-Jul-2019 04:43 PM,12-Jul-2019 12:00 PM,techsummary_20150.pdf (477.02 KB),11-Sep-2019,INR 124451.0,90.0,Abhijit Saloi,11-Sep-2019 11:38 AM,AOC.pdf (739.00 KB),Award of Contract,AOC
,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Fee Document,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,60325,BODOLAND SECURITY SERVICES,12-Jun-2019 06:05 PM,Rejected-AOC,Committee Deceision,11-Sep-2019 11:38 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,60357,Dolphin Security and Advertising,13-Jun-2019 07:24 PM,Rejected-AOC,Committee Deceision,11-Sep-2019 11:38 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,60345,Group5,14-Jun-2019 01:51 PM,Rejected-AOC,Committee Deceision,11-Sep-2019 11:38 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,60363,HRD Commercial & Industrial Security Force Pvt Ltd,14-Jun-2019 07:31 AM,Rejected-AOC,Committee Deceision,11-Sep-2019 11:38 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,60233,Legends Security and Placement Service,08-Jun-2019 06:17 PM,Rejected-AOC,Committee Deceision,11-Sep-2019 11:38 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,60163,Metro family service,11-Jun-2019 07:02 PM,Accepted-AOC,based on technical and financial evaluation,11-Sep-2019 11:38 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,60344,M/S SARAIGHAT SECURITY SERVICES,13-Jun-2019 01:24 PM,Rejected-AOC,Committee Deceision,11-Sep-2019 11:38 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,60289,NE INDUSTRIES AND TEA GARDENS SECURITY SERVICES SOCIETY (REGD),11-Jun-2019 05:33 PM,Rejected-AOC,Committee Deceision,11-Sep-2019 11:38 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,60323,Protection Security Service,13-Jun-2019 11:55 AM,Rejected-AOC,Committee Deceision,11-Sep-2019 11:38 AM,,,,,,,,,,,,,,,,,,,,AOC
