S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
1.0,125231.0,SHARMA ELECTRICAL CO.,INR,"990,000",Finance,Financial bid summary,Dalip singh Patial,29-Aug-2019 04:19 PM,finance_43496.pdf,BOQ Comparative Chart,Technical,Technical bid summary,Dalip singh Patial,29-Aug-2019 01:14 PM,technical_43496.pdf,1.0,125545.0,Digvijay Sharma,23-Jul-2019 02:47 PM,Rejected-Technical,Bid non responsive and unqualified,29-Aug-2019 01:24 PM,Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Smt Karuna Sharma Supdt Sh Yadvinder Kumar Sr Asstt,Dalip singh Patial,29-Aug-2019 04:36 PM,finsummary_43496.pdf (441.88 KB),20-Sep-2019,"INR 990,000",120.0,Dalip singh Patial,05-Oct-2019 04:11 PM,AOC.pdf (604.00 KB),work awarded to M/s Sharma Electrical Company being L1 firm,PWD,2019_PWD_30166_1,PW/MED/TA/NIT/ e-notice/19-20-2006-12 dt 01.07.19,"Providing and installation of 125 KVA DG Set in HPPWD B and R Division No. I, Division No. II, sub Division III and Sub Division IV at Jail Road, Mandi HP",Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Smt Karuna Sharma Supdt Sh Yadvinder Kumar Sr Asstt,Dalip singh Patial,29-Aug-2019 01:24 PM,29-Aug-2019 01:30 PM,techsummary_43496.pdf (394.93 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,",15-Jul-2019 10:00 AM,24-Jul-2019 11:30 AM,15-Jul-2019 10:00 AM,24-Jul-2019 10:00 AM,NA ,NA ,15-Jul-2019 10:00 AM,24-Jul-2019 10:00 AM,29-Aug-2019 01:30 PM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"Providing and installation of 125 KVA DG Set in HPPWD B and R Division No. I, Division No. II, sub Division III and Sub Division IV at Jail Road, Mandi HP","Providing and installation of 125 KVA DG Set in HPPWD B and R Division No. I, Division No. II, sub Division III and Sub Division IV at Jail Road, Mandi HP",Please refer to NIT and bid document ,NA ,"9,90,000",Electrical Works,NA ,Tender,120.0,120.0,Mandi,175001.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,1.0,DD - Demand Draft,PWD,PW/MED/TA/NIT/ e-notice/19-20-2006-12 dt 01.07.19,2019_PWD_30166_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,"19,800",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",AOC
,,,,,,,,,,,,,,,,2.0,125234.0,Kalra Hardware and Electric Store,19-Jul-2019 03:32 PM,Rejected-Finance,Rejected being L2 firm,29-Aug-2019 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,125678.0,KUMAR ELECTRONICS CO.,23-Jul-2019 02:29 PM,Rejected-Technical,Bid non responsive and unqualified,29-Aug-2019 01:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Approved OEM (DG Set) or Electrical Contractor and auth. agency of approved OEM,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,125231.0,SHARMA ELECTRICAL CO.,23-Jul-2019 04:22 PM,Accepted-AOC,work awarded being L1,05-Oct-2019 04:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Average financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
