Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Department of Water Resources||Chief Engineer - DoWR,JOR/SDRF/2018-19/CHARAIPANI/1,2019_DoWR_11446_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,"5,000","The Executive Engineer, Jorhat W.R. Division",Jorhat,No,1.0,Fee,.pdf,Cost of Tender and EMD,"Addl. Chief Engineer, UAZ, W.R. Deptt., Dibrugarh","O/o the Additional Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh - 05","2,55,981",Yes,percentage,2.0%,"The Executive Engineer, Jorhat W.R. Division",Jorhat,1.0,DD - Demand Draft,28-Jan-2019 09:00 AM,08-Feb-2019 02:00 PM,28-Jan-2019 09:00 AM,07-Feb-2019 02:00 PM,NA ,NA ,02-Feb-2019 10:00 AM,07-Feb-2019 02:00 PM,07-Mar-2019 05:25 PM,Immediate measures to recoup the breach like damages occurred to the both bank dyke of Charaipani river under SDRF for the year 2018-19.,Immediate measures to recoup the breach like damages occurred to the both bank dyke of Charaipani river under SDRF for the year 2018-19.,Please refer Tender documents. ,NA ,"1,27,99,055",Civil Works,NA ,Tender,180.0,60.0,Jorhat,785001.0,NA ,NA ,NA ,Dibrugarh,No ,No,AOC,1,54481,BITUPON DUTTA,06-Feb-2019 09:35 PM,Accepted-AOC,Proper,23-Sep-2019 12:07 PM,"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"Dy. Director, Design and Planning, Dibrugarh, AEE, Office of the Addl. Chief Engineer, UAZ, WRD, Dibrugarh, Accounts Officer, Dibrugarh WRD, DBR",Joy Sekhar Chakraborty,07-Mar-2019 05:37 PM,finsummary_18146.pdf (754.57 KB),Technical,Financial Bid of the successful bidders may be opened.,Joy Sekhar Chakraborty,07-Mar-2019 05:21 PM,technical_18146.pdf,Finance,Updated CS may be prepared,Joy Sekhar Chakraborty,07-Mar-2019 05:34 PM,finance_18146.pdf,BOQ Comparative Chart,1.0,54481.0,BITUPON DUTTA,INR,2303639.98,23-Sep-2019,INR 12799054.96,60.0,Joy Sekhar Chakraborty,23-Sep-2019 12:07 PM,charaipani.pdf (1905.00 KB),Immediate measures to recoup the breach like damages occurred to the both bank dyke of Charaipani river under SDRF for the year 2018-19,Department of Water Resources||Chief Engineer - DoWR,2019_DoWR_11446_1,JOR/SDRF/2018-19/CHARAIPANI/1,Immediate measures to recoup the breach like damages occurred to the both bank dyke of Charaipani river under SDRF for the year 2018-19.,"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"Dy. Director, Design and Planning, Dibrugarh, AEE, Office of the Addl. Chief Engineer, UAZ, WRD, Dibrugarh, Accounts Officer, Dibrugarh WRD, DBR",Joy Sekhar Chakraborty,07-Mar-2019 05:22 PM,07-Mar-2019 05:25 PM,techsummary_18146.pdf (754.57 KB),AOC
,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Technical Documents,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,54476,Deben Rajkhuwa,07-Feb-2019 07:24 AM,Rejected-AOC,Not qualified for AOC,23-Sep-2019 12:07 PM,,,,,,,,,,,,,,,,,,2.0,54495.0,SRI SUDIP KUMAR DAS,INR,2303534.98,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,54510,GOGAN KALITA,07-Feb-2019 02:18 AM,Accepted-AOC,Proper,23-Sep-2019 12:07 PM,,,,,,,,,,,,,,,,,,3.0,54502.0,Ranjit Borah,INR,2304179.2,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,54443,MANAB JYOTI KALITA,06-Feb-2019 05:37 PM,Rejected-AOC,Not qualified for AOC,23-Sep-2019 12:07 PM,,,,,,,,,,,,,,,,,,4.0,54510.0,GOGAN KALITA,INR,2303458.48,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,DCR - Deposit at call receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,54396,M/S B. L. AGARWALA,07-Feb-2019 11:56 AM,Rejected-AOC,Not qualified for AOC,23-Sep-2019 12:07 PM,,,,,,,,,,,,,,,,,,5.0,54520.0,Pijus Das,INR,2303696.88,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,54346,NILA SAIKIA,05-Feb-2019 08:48 PM,Rejected-AOC,Not qualified for AOC,23-Sep-2019 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,54494,PABITRA SAIKIA,07-Feb-2019 01:42 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,07-Mar-2019 05:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,54520,Pijus Das,07-Feb-2019 08:15 AM,Accepted-AOC,Proper,23-Sep-2019 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,54376,PRAJIB DUTTA,06-Feb-2019 06:13 PM,Rejected-AOC,Not qualified for AOC,23-Sep-2019 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,54502,Ranjit Borah,07-Feb-2019 01:03 AM,Accepted-AOC,Proper,23-Sep-2019 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
