Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage
03-Oct-2019,"INR 11,038,535",540.0,Pramod Kumar,03-Oct-2019 03:34 PM,6699-6706.PDF (3392.00 KB),XEN RL CHAUHAN,Internal,hdm sUPDT. gR-ii,Pramod Kumar,03-Oct-2019 03:29 PM,finsummary_40512.pdf (780.46 KB),XEN RL Chauhan,Internal,HDM Superintendent Gr-II,ROSHAN LAL CHAUHAN,18-Apr-2019 08:59 PM,20-Apr-2019 10:00 AM,techsummary_40512.pdf (781.92 KB),PWD,2019_PWD_28306_1,9019-23 dated 28.02.2019,C.O Govt. Sr. Sec. School building at Chagaon SH . Site development C.O building portion including W.S and S.I septic tank and Rain water Harvesting tank etc.,Technical,opening summary,ROSHAN LAL CHAUHAN,18-Apr-2019 05:13 PM,None,1.0,119626.0,M/S BHIM SINGH NEGI CONTRACTOR,23-Mar-2019 12:55 PM,Accepted-AOC,awarded,03-Oct-2019 03:34 PM,Finance,summary,Pramod Kumar,03-Oct-2019 02:56 PM,finance_40512.pdf,BOQ Comparative Chart,1.0,119626.0,M/S BHIM SINGH NEGI CONTRACTOR,INR,"18,864,109",AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,"5,000",EE Bhabanagar,Bhabanagar/Sungra,Yes,C.O Govt. Sr. Sec. School building at Chagaon SH . Site development C.O building portion including W.S and S.I septic tank and Rain water Harvesting tank etc.,C.O Govt. Sr. Sec. School building at Chagaon SH . Site development C.O building portion including W.S and S.I septic tank and Rain water Harvesting tank etc.,Please refer Tender documents. ,NA ,"1,10,38,535",Civil Works - Buildings,NA ,Tender,120.0,540.0,Chagaon,172115.0,NA ,NA ,NA ,Bhabanagar,No ,No,11-Mar-2019 10:00 AM,25-Mar-2019 11:00 AM,11-Mar-2019 10:30 AM,23-Mar-2019 05:00 PM,NA ,NA ,11-Mar-2019 10:30 AM,23-Mar-2019 05:00 PM,20-Apr-2019 10:00 AM,PWD,9019-23 dated 28.02.2019,2019_PWD_28306_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,Karchham Division HPPWD Bhabanagar,"1,43,000",Yes,fixed,,Bhabanagar,Bhabanagar/Sungra,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,119546.0,VINOD KUMAR,22-Mar-2019 03:59 PM,Rejected-AOC,L2,03-Oct-2019 03:34 PM,,,,,,,,,,,,AOC,,,.pdf,Earnest Money Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work Done Certificate of similar nature and Work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List of Machinery, Tool, Plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Financial reports for the last five years balance sheet profit and loss statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Any additional information bidder likes to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
