Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,TechnicalBidOpeningSummary,Bhupinder Singh,13-Aug-2019 06:03 PM,technical_43945.pdf,1.0,126633.0,Amrik Singh,04-Aug-2019 03:22 PM,Rejected-AOC,ok,23-Oct-2019 08:32 AM,1.0,126621.0,SUBHASH CHAND,INR,"17,479,523",Finance,Proceedingregardingopeningoffinancialbids,Bhupinder Singh,16-Aug-2019 01:43 PM,finance_43945.pdf,BOQ Comparative Chart,Er. B.S. Dehlal E.E.,Internal,"Er. Kuldeep Singh AE to EE R.D. Sharma AE Harish Chander Head Draughtsman , Tara Singh Senior Assistant Prem Chand Senior Assistant",Bhupinder Singh,16-Aug-2019 01:50 PM,finsummary_43945.pdf (717.56 KB),19-Oct-2019,"INR 13,494,765",455.0,Bhupinder Singh,23-Oct-2019 08:32 AM,Awardletter.PDF (2489.00 KB),Awardletter,PWD,2019_PWD_30528_1,Job 2 Improvement and widening of Ajouli circular,Job 2 Improvement and widening of Ajouli circular road Chatterpur Dhada circular road Punna Binewal circular road and Santokhgarh to Sanoli via Malookpur Majowal upto Punjab border for km. 0-0 to 10-970 Sub Head C.o Formation cutting 5.7 mtr. wide,Er. B.S. Dehlal E.E.,Internal,"Er. Kuldeep Singh AE to EE R.D. Sharma AE Harish Chander Head Draughtsman , Tara Singh Senior Assistant Prem Chand Senior Assistant",Bhupinder Singh,13-Aug-2019 06:13 PM,14-Aug-2019 12:00 PM,techsummary_43945.pdf (947.23 KB),AOC,29-Jul-2019 12:00 PM,05-Aug-2019 12:00 PM,29-Jul-2019 12:30 PM,05-Aug-2019 10:00 AM,NA ,NA ,29-Jul-2019 12:30 PM,05-Aug-2019 10:00 AM,14-Aug-2019 12:00 PM,Job 2 Improvement and widening of Ajouli circular road Chatterpur Dhada circular road Punna Binewal circular road and Santokhgarh to Sanoli via Malookpur Majowal upto Punjab border for km. 0-0 to 10-970 Sub Head C.o Formation cutting 5.7 mtr. wide,Job 2 Improvement and widening of Ajouli circular road Chatterpur Dhada circular road Punna Binewal circular road and Santokhgarh to Sanoli via Malookpur Majowal upto Punjab border for km. 0-0 to 10-970 Sub Head C.o Formation cutting 5.7 mtr. wide,Please refer to Bidding Documents ,NA ,"1,34,94,769",Civil Works - Roads,NA ,Tender,120.0,455.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,1.0,FDR - Fixed Deposit,"5,000","Executive Engineer, Una Division, HPPWD, Una",Una,No,"1,67,500",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",PWD,Job 2 Improvement and widening of Ajouli circular,2019_PWD_30528_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,2.0,126621.0,SUBHASH CHAND,04-Aug-2019 11:17 AM,Accepted-AOC,ok,23-Oct-2019 08:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return file,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/ C.A. Annual Report a/w balance sheet As Per General Rules 28.2a and 28.2b,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate on prescribed format given in Bidding Document without liquidated damage or co,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Machinery Tool Plant and list of laboratory equipments as per bid documents,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazetted and non Gazetted officer HPPWD employees related to him ( General Rule No,,,,,,,,,,,,,,,,,AOC
