,inmates in relief camps,District,Total,Revenue Circlewise,,,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,Date
0,,Biswanath,52,"(Halem | 52), (Naduar RC part | 0), (Gohpur | 0), (Biswanath | 0)",,,17,27,7,1,0,18-05-2022
1,,Cachar,11693,"(Sonai | 1013), (Lakhipur | 1575), (Udharbond | 27), (Silchar | 5935), (Katigorah | 3143)",,,4388,3928,3374,3,0,18-05-2022
2,,Dima-Hasao,906,(Haflong | 906),,,205,381,320,0,0,18-05-2022
3,,Hailakandi,464,(Algapur | 464),,,117,117,230,0,0,18-05-2022
4,,Hojai,31981,"(Lanka | 0), (Doboka | 0), (Hojai | 31981)",,,20046,9623,2295,15,2,18-05-2022
5,,Kamrup,40,"(Kayan | 0), (Rangia | 40)",,,17,12,10,1,0,18-05-2022
6,,Karimganj,152,"(Karimganj | 0), (Badarpur | 152)",,,72,57,14,9,0,18-05-2022
7,,Nagaon,2853,"(Nagaon | 1008), (Raha | 159), (Kampur | 1686)",,,1178,1036,616,21,2,18-05-2022
8,,Udalguri,163,"(Udalguri | 0), (Kalaigaon | 0), (Harisinga | 0), (Khairabari | 163)",,,55 63 45 0 0,,,,,18-05-2022
9,,Total,48304,,,,26095 15244 6911 50 4,,,,,18-05-2022
