,inmates in relief camps,District,Total,Revenue Circlewise,,,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,Date
0,,Bajali,475,(Sarupeta | 475),,,205,190,45,35,0,06-07-2022
1,,Cachar,121472,"(Silchar | 41197), (Katigorah | 65295), (Sonai | 13430), (Lakhipur | 1550), (Udharbond | 0)",,,42163,41580,37729,0,0,06-07-2022
2,,Chirang,153,(Bijni | 153),,,65,55,33,0,0,06-07-2022
3,,Dibrugarh,143,"(Moran | 0), (Chabua | 0), (Naharkatia | 0), (Dibrugarh East | 143), (Dibrugarh West | 0)",,,91,34,18,0,0,06-07-2022
4,,Dima-Hasao,1405,(Haflong | 1405),,,500,548,306,50,1,06-07-2022
5,,Hailakandi,895,"(Algapur | 895), (Lala | 0), (Katlicherra | 0), (Hailakandi | 0)",,,370,280,245,0,0,06-07-2022
6,,Kamrup,95,"(North Ghy | 57), (Kayan | 38)",,,32,42,21,0,0,06-07-2022
7,,Karimganj,2483,"(Nilambazar | 368), (RK Nagar | 523), (Badarpur | 512), (Karimganj | 1080)",,,1122,756,605,0,0,06-07-2022
8,,Morigaon,1398,"(Mikirbheta | 0), (Mayong | 0), (Morigaon | 930), (Bhuragaon | 468)",,,574,599,223,2,0,06-07-2022
9,,Nagaon,6545,"(Samaguri | 0), (Kampur | 2159), (Nagaon | 2796), (Raha | 1590)",,,2654,2136,1674,76,5,06-07-2022
10,,Tamulpur,102,"(Tamulpur | 0), (Goreswar | 102)",,,40,41,21,0,0,06-07-2022
11,,Total,135166,,,,47816,46261,40920,163,6,06-07-2022
