,inmates in relief camps,District,Total,Revenue Circlewise,,,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,Date
0,,Bajali,1280,(Sarupeta | 1280),,,455,515,255,55,0,05-07-2022
1,,Barpeta,95,"(Barpeta | 95), (Kalgachia | 0)",,,25,50,20,0,0,05-07-2022
2,,Cachar,123970,"(Udharbond | 0), (Sonai | 13766), (Lakhipur | 1550), (Silchar | 43359), (Katigorah | 65295)",,,43508,42379,38083,0,0,05-07-2022
3,,Chirang,513,"(Bengtal | 0), (Bijni | 513)",,,173,208,130,2,0,05-07-2022
4,,Dibrugarh,190,"(Moran | 0), (Chabua | 0), (Tingkhong | 0), (Naharkatia | 0), (Dibrugarh West | 0), (Dibrugarh East | 190)",,,104,68,18,0,0,05-07-2022
5,,Dima-Hasao,1407,(Haflong | 1407),,,500,548,308,50,1,05-07-2022
6,,Hailakandi,1075,"(Hailakandi | 0), (Lala | 0), (Katlicherra | 0), (Algapur | 1075)",,,380,365,330,0,0,05-07-2022
7,,Kamrup,138,"(Kayan | 38), (North Ghy | 100)",,,54,61,23,0,0,05-07-2022
8,,Karimganj,3307,"(Nilambazar | 368), (Badarpur | 654), (Patherkandi | 0), (Karimganj | 1567), (RK Nagar | 718)",,,1562,955,790,0,0,05-07-2022
9,,Morigaon,5518,"(Mikirbheta | 1620), (Morigaon | 573), (Mayong | 0), (Bhuragaon | 3325)",,,2026,1970,1493,29,0,05-07-2022
10,,Nagaon,10527,"(Samaguri | 0), (Nagaon | 3956), (Raha | 1591), (Kampur | 4980)",,,4187,3514,2719,101,6,05-07-2022
11,,Tamulpur,102,(Goreswar | 102),,,40,41,21,0,0,05-07-2022
12,,Total,148122,,,,53014,50674,44190,237,7,05-07-2022
