,inmates in relief camps,District,Total,Revenue Circlewise,,,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,Date
0,,Bajali,251,"(Bajali | 0), (Sarupeta | 251)",,,114,90,44,3,0,09-07-2022
1,,Cachar,46201,"(Silchar | 41197), (Sonai | 0), (Lakhipur | 433), (Katigorah | 4571)",,,17163,15662,13376,0,0,09-07-2022
2,,Chirang,153,(Bijni | 153),,,65,55,33,0,0,09-07-2022
3,,Dima-Hasao,1366,(Haflong | 1366),,,489,535,296,45,1,09-07-2022
4,,Hailakandi,353,"(Lala | 0), (Katlicherra | 0), (Hailakandi | 0), (Algapur | 353)",,,135,120,98,0,0,09-07-2022
5,,Kamrup,38,"(North Ghy | 0), (Kayan | 38)",,,19,15,4,0,0,09-07-2022
6,,Karimganj,1176,"(Nilambazar | 288), (Karimganj | 519), (Badarpur | 369)",,,503,359,314,0,0,09-07-2022
7,,Morigaon,573,"(Mikirbheta | 0), (Mayong | 0), (Morigaon | 573), (Bhuragaon | 0)",,,207,248,116,2,0,09-07-2022
8,,Tamulpur,56,(Goreswar | 56),,,18,25,13,0,0,09-07-2022
9,,Total,50167,,,,18713,17109,14294,50,1,09-07-2022
