,inmates in relief camps,District,Total,Revenue Circlewise,,,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,Date
0,,Bajali,1280,"(Bajali | 0), (Sarupeta | 1280)",,,455,515,255,55,0,02-07-2022
1,,Barpeta,3407,"(Barpeta | 3249), (Baghbar | 0), (Kalgachia | 0), (Chenga | 158), (Sarthebari | 0)",,,822,1190,1393,2,0,02-07-2022
2,,Biswanath,44,"(Gohpur | 0), (Halem | 44)",,,14,21,9,0,0,02-07-2022
3,,Cachar,242157,"(Udharbond | 0), (Silchar | 143368), (Sonai | 20450), (Lakhipur | 2075), (Katigorah | 76264)",,,107755,74206,60096,100,0,02-07-2022
4,,Chirang,648,(Bijni | 648),,,230,258,158,2,0,02-07-2022
5,,Dibrugarh,203,"(Chabua | 0), (Moran | 0), (Dibrugarh West | 0), (Naharkatia | 0), (Tengakhat | 0), (Tingkhong | 0), (Dibrugarh East | 203)",,,101,80,22,0,0,02-07-2022
6,,Dima-Hasao,1421,(Haflong | 1421),,,509,546,314,51,1,02-07-2022
7,,Hailakandi,2136,"(Katlicherra | 0), (Lala | 0), (Hailakandi | 0), (Algapur | 2136)",,,1135,674,320,7,0,02-07-2022
8,,Hojai,408,"(Lanka | 0), (Hojai | 408)",,,225,131,49,3,0,02-07-2022
9,,Kamrup,965,"(Chamaria | 0), (Hajo | 752), (North Ghy | 175), (Kayan | 38)",,,467,328,170,0,0,02-07-2022
10,,Karimganj,5842,"(Nilambazar | 368), (Badarpur | 824), (Patherkandi | 0), (Karimganj | 3770), (RK Nagar | 880)",,,2645,1617,1580,0,0,02-07-2022
11,,Morigaon,5107,"(Mikirbheta | 928), (Morigaon | 482), (Mayong | 0), (Laharighat | 0), (Bhuragaon | 3697)",,,1867,1808,1381,51,0,02-07-2022
12,,Nagaon,12922,"(Kaliabor | 0), (Samaguri | 0), (Rupahi | 0), (Nagaon | 6351), (Kampur | 4980), (Raha | 1591)",,,4828,4436,3515,132,11,02-07-2022
13,,Nalbari,26,(Paschim Nalbari | 26),,,12,9,5,0,0,02-07-2022
14,,Tamulpur,102,(Goreswar | 102),,,40,41,21,0,0,02-07-2022
15,,Tinsukia,358,"(Margherita | 0), (Tinsukia | 203), (Doomdooma | 155)",,,121,120,104,12,1,02-07-2022
16,,Udalguri,309,"(Khairabari | 0), (Harisinga | 0), (Kalaigaon | 0), (Udalguri | 309)",,,128,115,65,0,1,02-07-2022
17,,Total,277335,,,,121354,86095,69457,415,14,02-07-2022
