,inmates in relief camps,District,Total,Revenue Circlewise,,,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,Date
0,,Bajali,475,(Sarupeta | 475),,,205,190,45,35,0,07-07-2022
1,,Cachar,82971,"(Lakhipur | 1550), (Silchar | 41197), (Sonai | 8982), (Katigorah | 31242)",,,30269,26674,26028,0,0,07-07-2022
2,,Chirang,153,(Bijni | 153),,,65,55,33,0,0,07-07-2022
3,,Dibrugarh,30,"(Naharkatia | 0), (Moran | 0), (Dibrugarh West | 0), (Dibrugarh East | 30)",,,15,10,5,0,0,07-07-2022
4,,Dima-Hasao,1374,(Haflong | 1374),,,492,537,299,45,1,07-07-2022
5,,Hailakandi,671,"(Algapur | 671), (Lala | 0), (Katlicherra | 0), (Hailakandi | 0)",,,260,225,185,1,0,07-07-2022
6,,Kamrup,95,"(Kamalpur | 0), (Kayan | 38), (North Ghy | 57)",,,32,42,21,0,0,07-07-2022
7,,Karimganj,2344,"(RK Nagar | 523), (Karimganj | 941), (Nilambazar | 368), (Badarpur | 512)",,,1030,728,586,0,0,07-07-2022
8,,Morigaon,573,"(Mikirbheta | 0), (Mayong | 0), (Bhuragaon | 0), (Morigaon | 573)",,,207,248,116,2,0,07-07-2022
9,,Nagaon,2806,"(Nagaon | 0), (Kampur | 1216), (Raha | 1590)",,,1169,962,599,73,3,07-07-2022
10,,Tamulpur,102,(Goreswar | 102),,,40,41,21,0,0,07-07-2022
11,,Total,91594,,,,33784,29712,27938,156,4,07-07-2022
