Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"1,000","Director, Soil Conservation Deptt.",Guwahati,No,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Documents,"1,03,447",Yes,percentage,2.0%,"Director, Soil Conservation Deptt.",Guwahati,1.0,SBI Bank,12-Oct-2020 04:00 PM,22-Oct-2020 01:00 PM,12-Oct-2020 04:00 PM,21-Oct-2020 02:00 PM,NA ,NA ,14-Oct-2020 11:00 AM,21-Oct-2020 02:00 PM,04-Nov-2020 01:45 PM,"Director, Soil Conservation Deptt.","Directorate of Soil Conservation Deptt., Ghy-05, Assam",INTEGRATED WATER HARVESTING CUM DISTRIBUTION PROJECT AT NIBIRA UNDER RIDF XXV DURING 2019-20,INTEGRATED WATER HARVESTING CUM DISTRIBUTION PROJECT AT NIBIRA UNDER RIDF XXV DURING 2019-20,Please refer Tender documents. ,NA ,"51,72,325",Civil Works,NA ,Tender,999.0,1095.0,Guwahati,781005.0,NA ,NA ,NA ,"Directorate of Soil Conservation Deptt., Assam",No ,No,Soil Conservation Department||Director - SCD,E-TEN-1/2020-21/2450 DT.12-10-2020,2020_SCD_18915_4,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,AOC,05-Dec-2020,INR 5068878.5,1095.0,Chandan Jyoti Saikia,05-Dec-2020 04:44 PM,nibira.pdf (229.00 KB),Soil Conservation Department||Director - SCD,2020_SCD_18915_4,E-TEN-1/2020-21/2450 DT.12-10-2020,INTEGRATED WATER HARVESTING CUM DISTRIBUTION PROJECT AT NIBIRA UNDER RIDF XXV DURING 2019-20,1,96004,A.B. Construction,21-Oct-2020 11:25 AM,Rejected-AOC,Contract not Awarded,05-Dec-2020 04:44 PM,"Director, Soil Conservation Department, Assam",Internal,,Chandan Jyoti Saikia,05-Dec-2020 04:43 PM,finsummary_29274.pdf (229.47 KB),Finance,financial bid has been opened,Jiten Malakar,04-Nov-2020 02:00 PM,,BOQ Comparative Chart,1.0,96014.0,Manikanchan Traders,INR,5068878.5,"Director, Soil Conservation Deptt.,Assam",Internal,,Chandan Jyoti Saikia,04-Nov-2020 01:43 PM,04-Nov-2020 01:45 PM,techsummary_29274.pdf (421.88 KB),Technical,Tender has been opened,Jiten Malakar,22-Oct-2020 01:35 PM,,AOC
,,,,,,.pdf,Tender Document with seal and sign of the bidder in each page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2,95957,ABDUL HASIM,20-Oct-2020 01:29 AM,Rejected-AOC,Contract not Awarded,05-Dec-2020 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,2.0,Finance,.xls,BOQ/ Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,3,96033,Ikbal Hussain,20-Oct-2020 05:29 PM,Rejected-Technical,NOT ADMITTED,04-Nov-2020 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,4,96014,Manikanchan Traders,20-Oct-2020 04:54 PM,Accepted-AOC,Contract Awarded,05-Dec-2020 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,5,95951,MS VIBGYOR,21-Oct-2020 12:54 PM,Rejected-AOC,Contract not Awarded,05-Dec-2020 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,6,95976,POPULAR ENTERPRISE,20-Oct-2020 05:53 PM,Rejected-Technical,NOT ADMITTED,04-Nov-2020 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,7,95935,Rajesh Kr. Narzary,21-Oct-2020 12:28 PM,Rejected-AOC,Contract not Awarded,05-Dec-2020 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,8,96044,RANJAN DAS,20-Oct-2020 06:41 PM,Rejected-AOC,Contract not Awarded,05-Dec-2020 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,9,96038,Shiv construction Company,20-Oct-2020 06:10 PM,Rejected-Technical,NOT ADMITTED,04-Nov-2020 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,10,96021,STANDARD CREATION,21-Oct-2020 01:07 PM,Rejected-AOC,Contract not Awarded,05-Dec-2020 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
