Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Tender Stage
18-Dec-2020,"INR 3,247,583",90.0,Kishan Lal Chaudhary,18-Dec-2020 01:01 PM,aoc.pdf (1094.00 KB),AOC,Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinah DAO, Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,18-Dec-2020 12:59 PM,finsummary_61533.pdf (426.70 KB),Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM.",Kishan Lal Chaudhary,26-Oct-2020 12:03 PM,26-Oct-2020 02:00 PM,techsummary_61533.pdf (712.15 KB),PWD,2020_PWD_41591_4,Tender/2020-21- 5750-5800 dated 07.10.2020,Repair and maintenance on Paonta Puruwala Singhpura Bhagani Gojjar Dakpathar road. (MDR-94) km. 0/0 to 26/500 (SH-Repair of pot holes by providing wearing WBM G-III and 30mm. Thick bituminous concrete in km. 8/0 to 9/0 and 12/0 to 13/0).,Technical,Bid opening summary,Kishan Lal Chaudhary,26-Oct-2020 12:00 PM,technical_61533.pdf,1.0,183183.0,Chanana Cont. Works,20-Oct-2020 02:43 PM,Accepted-AOC,L1,18-Dec-2020 01:04 PM,Finance,Fin Bid Opening Summary,Kishan Lal Chaudhary,18-Dec-2020 12:54 PM,finance_61533.pdf,BOQ Comparative Chart,1.0,183183.0,Chanana Cont. Works,INR,"3,532,138",AOC,15-Oct-2020 05:00 PM,24-Oct-2020 11:30 AM,15-Oct-2020 05:00 PM,23-Oct-2020 05:00 PM,NA ,NA ,15-Oct-2020 05:00 PM,23-Oct-2020 05:00 PM,26-Oct-2020 02:00 PM,"1,500",EE Paonta Sahib,Paonta Sahib,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,1.0,Opening date,Date,,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour HP,Repair and maintenance on Paonta Puruwala Singhpura Bhagani Gojjar Dakpathar road. (MDR-94) km. 0/0 to 26/500 (SH-Repair of pot holes by providing wearing WBM G-III and 30mm. Thick bituminous concrete in km. 8/0 to 9/0 and 12/0 to 13/0).,Repair and maintenance on Paonta Puruwala Singhpura Bhagani Gojjar Dakpathar road. (MDR-94) km. 0/0 to 26/500 (SH-Repair of pot holes by providing wearing WBM G-III and 30mm. Thick bituminous concrete in km. 8/0 to 9/0 and 12/0 to 13/0).,Please refer tender document ,NA ,"32,37,765",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,"52,800",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,PWD,Tender/2020-21- 5750-5800 dated 07.10.2020,2020_PWD_41591_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,183615.0,Rashid Ali Civil Contractor,22-Oct-2020 10:48 PM,Rejected-Finance,L2,18-Dec-2020 01:03 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,2.0,EMD Change,Fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,182783.0,S.S. Associates,18-Oct-2020 12:09 PM,Rejected-Finance,L3,18-Dec-2020 01:03 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Scanned copy of 50 percent work done certificate for similar nature of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/C.A. annual report.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.6.19Ref.Cl- No.18 i.e.R.C,purchase bills,ownership/Affidavit hire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
