S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,160413.0,ARUNESH GUPTA,05-Jun-2020 03:22 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Jul-2020 10:48 AM,Er. N.M. Saini,Internal,Er Sunil Kanotra SED Er. Upender Vaidya SE SNR Er. Hina Sabharwal EED Er. Rajesh Mongra EE PDR Er. Gaurav Sharma AE D Sh. Ashwani Sharma FA,Rajesh Mongra,09-Jul-2020 10:56 AM,09-Jul-2020 11:05 AM,techsummary_55131.pdf (3586.54 KB),Technical,4 Nos bidder out of 7 Nos found elgible to open the financial bid,Rajesh Mongra,09-Jul-2020 10:47 AM,technical_55131.pdf,Finance,Four bidder BOQ and comparative chart downloaded successfully.,Rajesh Kumar Sharma,09-Jul-2020 03:37 PM,None,BOQ Comparative Chart,24-Dec-2020,"INR 72,303,987",150.0,Rajesh Mongra,24-Dec-2020 10:53 AM,AwardPali.pdf (9966.00 KB),Work awarded to lowest contractor,1.0,161037.0,M/s JAGDISH PRASAD AGARWAL,INR,"88,663,809","HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||Paddar,Irrigation and Public Health,HP",2020_HPIPH_37414_1,662-701 dated 22.05.2020,Providing Lift Irrigation Scheme from River Beas to Pali and Silag in Tehsil Padhar Distt Mandi HP,Er. N.M. Saini CE MZ,Internal,"Er. Sunil Kanhotra SE D, Er Upender Vaidya SE SNR, Er. Hina Sabharwall EE D, Er. Rajesh Mongra EE Er. D.C. Rawat AE , Sh. Ashwani Sharma F and A",Rajesh Mongra,24-Dec-2020 10:41 AM,finsummary_55131.pdf (3151.31 KB),AOC,1.0,ICICI BANK,EE JS Division Padhar,EE JS Division Padhar,"HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||Paddar,Irrigation and Public Health,HP",662-701 dated 22.05.2020,2020_HPIPH_37414_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"2,500",EE Padhar,Padhar,No,Providing Lift Irrigation Scheme from River Beas to Pali and Silag in Tehsil Padhar Distt Mandi HP,SH Supply and Installation of Centrifugal Pumping machinery at Ist stage 2nd stage and 3rd stage with allied accessories and providing laying jointing testing and carriage of MSERW pipe in Rising Main Flanged with butt welding and Co Thrust Bl,Please refer Tender documents. ,NA ,"7,23,03,987",Pumps/Motors,NA ,Tender,120.0,150.0,JS Division Padhar,175012.0,NA ,NA ,NA ,JS Division Padhar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Scan copy of cost of tender form if offline or proof of cost of tender form if online,22-May-2020 05:00 PM,06-Jun-2020 11:30 AM,22-May-2020 05:00 PM,05-Jun-2020 05:00 PM,NA ,NA ,22-May-2020 05:00 PM,05-Jun-2020 05:00 PM,09-Jul-2020 11:05 AM,"7,23,100",Yes,fixed,,Padhar,Padhar,AOC
2.0,160589.0,HARJEET SINGH,04-Jun-2020 01:23 PM,Rejected-Finance,Higher side rate quoted,24-Dec-2020 10:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of EMD if offline or proof of EMD if online or if use the exemption the submit affidevit,,,,,,,,,,,,,,,,AOC
3.0,161037.0,M/s JAGDISH PRASAD AGARWAL,05-Jun-2020 02:51 PM,Accepted-AOC,Lowest Rate awarded,24-Dec-2020 10:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of registration in appropriate class,,,,,,,,,,,,,,,,AOC
4.0,161163.0,Tek Singh Raghav,05-Jun-2020 03:20 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Jul-2020 10:48 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual finaicial turnorver as per NIT,,,,,,,,,,,,,,,,AOC
5.0,161158.0,Thakur Constructions,05-Jun-2020 04:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Jul-2020 10:48 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per pre qualification critria area as per NIT,,,,,,,,,,,,,,,,AOC
6.0,160547.0,The Spunpipe and Construction Co Baroda Pvt Ltd,05-Jun-2020 12:49 PM,Rejected-Finance,Higher side rate quoted,24-Dec-2020 10:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Scan copy of GST,PAN and EPF No.",,,,,,,,,,,,,,,,AOC
7.0,160685.0,Unipro Techno Infrastructure Pvt Ltd,04-Jun-2020 03:56 PM,Rejected-Finance,Higher side rate quoted,24-Dec-2020 10:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DSC authoration,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarind studies at T and C as per NIT,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Curve Chart,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC
