S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,ICICI BANK,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,"3,500",No,fixed,,EE RAJGARH,RAJGARH,PWD,PW-RGH-Tender/2020-21-3498 dt. 11.08.2020,2020_PWD_39802_13,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of Sarahan Mandi Khadana road km. 0/0 to 7/0 (SH C/O 900mm dia RCC Hume pipe culverts with wing wall with both sides at RD 3/255 AND 3/825). Under SCSP,Construction of Sarahan Mandi Khadana road km. 0/0 to 7/0 (SH C/O 900mm dia RCC Hume pipe culverts with wing wall with both sides at RD 3/255 AND 3/825). Under SCSP,Please refer Tender documents. ,NA ,"1,54,840",Civil Works,NA ,Tender,90.0,90.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,350.0,EE RAJGARH,RAJGARH,No,14-Aug-2020 09:00 AM,27-Aug-2020 11:00 AM,14-Aug-2020 09:00 AM,26-Aug-2020 05:00 PM,NA ,NA ,14-Aug-2020 09:00 AM,26-Aug-2020 05:00 PM,03-Sep-2020 10:30 AM,AOC,1.0,175155.0,H.N.Bhardwaj,INR,"208,501",14-Dec-2020,"INR 208,501",90.0,Narender verma,14-Dec-2020 04:48 PM,AOC.39802_13.pdf (739.00 KB),WORK AWARDED TO SH.H.N Bhardwaj,PWD,2020_PWD_39802_13,PW-RGH-Tender/2020-21-3498 dt. 11.08.2020,Construction of Sarahan Mandi Khadana road km. 0/0 to 7/0 (SH C/O 900mm dia RCC Hume pipe culverts with wing wall with both sides at RD 3/255 AND 3/825). Under SCSP,Er. Narender Kumar Verma EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt.",Rajneesh Bansal,10-Sep-2020 12:22 PM,finsummary_58770.pdf (2137.21 KB),Finance,SUMMARY,Rajneesh Bansal,07-Sep-2020 05:22 PM,finance_58770.pdf,BOQ Comparative Chart,1.0,174895.0,GANPATI SHUB ENTERPRISES,26-Aug-2020 04:22 PM,Rejected-Finance,L3,10-Sep-2020 12:23 PM,Technical,SUMMARY,Rajneesh Bansal,29-Aug-2020 04:23 PM,technical_58770.pdf,Er. Narender Kumar Verma EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt.",Rajneesh Bansal,02-Sep-2020 05:00 PM,03-Sep-2020 10:30 AM,techsummary_58770.pdf (1303.56 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,174080.0,Geeta Ram,21-Aug-2020 07:56 PM,Rejected-Finance,L2,10-Sep-2020 12:23 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,175155.0,H.N.Bhardwaj,26-Aug-2020 02:26 PM,Accepted-AOC,L1,14-Dec-2020 04:51 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
