Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,BOS,Chaman Singh,19-Oct-2020 03:35 PM,technical_60992.pdf,1.0,182389.0,ANKUSH VERMA,13-Oct-2020 08:51 PM,Rejected-Technical,Being non responsive,19-Oct-2020 03:42 PM,1.0,182641.0,Parma nand,INR,"2,266,908",Finance,FBOS,Chaman Singh,21-Oct-2020 12:11 PM,finance_60992.pdf,BOQ Comparative Chart,Er D.R. Chauhan Execuitve Engineer,Internal,Er. Hitesh Sharma AE Dehar Sh. Sushil Kumar DAO Gr-I Sh. LAlit Kumar Supdt Sh. Amar Singh HDM,Chaman Singh,02-Dec-2020 04:26 PM,finsummary_60992.pdf (3490.71 KB),02-Dec-2020,"INR 2,266,908",365.0,Chaman Singh,02-Dec-2020 04:30 PM,AOCPBMCJarolBehna.pdf (3491.00 KB),AOC issued after negotiation.,PWD,2020_PWD_41329_1,PW-SNR-CB-E-Tender/20- 10002-05 dt. 8.9.2020,Routine repair and maintenance of Jarol Behna road under PBMC for Period I and Period-II KM 0/0 to 16/765,Er D.R. Chauhan Execuitve Engineer,Internal,Er NR Chandel A.E Suket Sh. Sushil Kumar DAO Gr-I Sh. Amar Singh HDM Sh. Lalit Kumar Supdt. PMGSY,Chaman Singh,19-Oct-2020 03:40 PM,20-Oct-2020 10:30 AM,techsummary_60992.pdf (2219.30 KB),AOC,Executive Engineer,O/O Executive Engineer HPPWD Division Sunder Nagar,1.0,DD - Demand Draft,"50,000",No,fixed,,EE Sundernagar,Sundernagar,PWD,PW-SNR-CB-E-Tender/20- 10002-05 dt. 8.9.2020,2020_PWD_41329_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,05-Oct-2020 09:00 AM,16-Oct-2020 11:30 AM,05-Oct-2020 09:00 AM,15-Oct-2020 06:00 PM,05-Oct-2020 09:00 AM ,14-Oct-2020 09:00 AM ,05-Oct-2020 09:00 AM,15-Oct-2020 06:00 PM,20-Oct-2020 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,"1,000",EE Sundernagar,Sundernagar,No,Routine repair and maintenance of Jarol Behna road under PBMC for Period I and Period-II KM 0/0 to 16/765,Routine repair and maintenance of Jarol Behna road under PBMC for Period I and Period-II KM 0/0 to 16/765,AS per bid document ,NA ,"24,75,068",Civil Works,NA ,Tender,90.0,365.0,Sundernagar,175018.0,O/O Executive Engineer HPPWD Division Sunder Nagar ,O/O Executive Engineer HPPWD Division Sunder Nagar  ,08-Oct-2020 03:00 PM ,O/O Executive Engineer HPPWD Division Sunder Nagar,No ,No,AOC
,,,,,2.0,182581.0,Narender Kumar,15-Oct-2020 05:53 PM,Rejected-Technical,Being non responsive,19-Oct-2020 03:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,182641.0,Parma nand,15-Oct-2020 01:24 PM,Accepted-AOC,Being lowest,02-Dec-2020 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,182633.0,Tek Chand,15-Oct-2020 12:46 PM,Rejected-AOC,Not found lowest,02-Dec-2020 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,182692.0,VINEET KUMAR,15-Oct-2020 05:39 PM,Rejected-Technical,Being non responsive,19-Oct-2020 03:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity and work done / in hand as per ITB,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,6.0,182487.0,VIRENDER KUMAR,14-Oct-2020 06:54 PM,Rejected-Technical,Being non- responsive,19-Oct-2020 03:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant and key personal",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid.,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Information reg. litigation and arbitration history,,,,,,,,,,,,,,,,,,,,,,,AOC
