Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,successfully opened,Devinder Singh Thakur,29-Jul-2020 03:49 PM,finance_56046.pdf,BOQ Comparative Chart,1.0,163463.0,HARVEL AGUA INDIA PRIVATE LIMITED,INR,"3,061.08",Technical,opend successfully,Devinder Singh Thakur,10-Jul-2020 12:57 PM,technical_56046.pdf,1,164674,Aerotech Eng. Works Pvt Ltd,02-Jul-2020 09:58 PM,Rejected-Finance,did not agree on negotiated rated,17-Dec-2020 02:49 PM,17-Dec-2020,"INR 3,061.08",1050.0,Devinder Singh Thakur,17-Dec-2020 02:53 PM,AOC_empanelment.pdf (2589.00 KB),Per square meter quoted amount for construction of playhouses,Dr JP Sharma,Internal,"TR Bhusheri, Ram Lala Sandhu, Devender Thakur, Mala Sharma, DK Gupta, Ranjan Sharma, Rajpal Thanta, Manoj Sharma, Promila Negi",Devinder Singh Thakur,17-Dec-2020 02:45 PM,finsummary_56046.pdf (4796.83 KB),KC Azad,Internal,"TR Bushari, Ram Lal Sandhu, Devender Thakur, Mala Sharma, D K Gupta, Ranjan Sharma, Manoj nSharma, Promila Negi",Devinder Singh Thakur,10-Jul-2020 01:10 PM,10-Jul-2020 01:15 PM,techsummary_56046.pdf (395.29 KB),Directorate of Horticulture,2020_DOH_38029_1,Empanelment for Greenhouse Fabrication in HP,"Identification, Selection and Empanelment of Service Providers for Greenhouse Fabrication in Himachal Pradesh",AOC,Directorate of Horticulture,Empanelment for Greenhouse Fabrication in HP,2020_DOH_38029_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Offline,No,No,No,"50,000",Yes,fixed,,Director of Holticulture,Shimla,1.0,Amendment in qualification criteria,Technical Bid,,Director of Horticulture,"Directorate of Horticulture, Navbahar, Shimla -2",1.0,DD - Demand Draft,12-Jun-2020 06:00 PM,03-Jul-2020 02:00 PM,12-Jun-2020 06:00 PM,03-Jul-2020 01:00 PM,NA ,NA ,16-Jun-2020 06:00 PM,03-Jul-2020 01:00 PM,10-Jul-2020 01:15 PM,1.0,Fee/PreQual/Technical,.pdf,Pre-qualification documents(Tender Fee and EMD) as per Tender Document,"2,000",Director of Holticulture,Shimla,Yes,"Identification, Selection and Empanelment of Service Providers for Greenhouse Fabrication in Himachal Pradesh","Identification, Selection and Empanelment of Service Providers for Greenhouse Fabrication in Himachal Pradesh",Please refer Tender documents. ,NA ,,Miscellaneous Goods,NA ,Tender,90.0,1050.0,Throught HP,171002.0,NA ,NA ,NA ,Directorate of Horticulture,No ,No,AOC
,,,,,,2.0,164776.0,PIONEER AGRITECH SOLUTIONS PVT LTD,INR,"3,061.08",,,,,,2,165705,Anahita Broadway Services,02-Jul-2020 03:06 PM,Accepted-AOC,Per square meter quoted amount for construction of playhouses,17-Dec-2020 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,.pdf,Other Technical Documents as per Tender document,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3.0,165018.0,shivalik agroengineers,INR,"3,061.08",,,,,,3,165733,Anil Kumar Kaushal,03-Jul-2020 11:34 AM,Accepted-AOC,Per square meter quoted amount for construction of playhouses,17-Dec-2020 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annexure I and II as per Tender document,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4.0,165411.0,PUSHPENDER VERMA,INR,"3,061.08",,,,,,4,165463,AZAD INDUSTRIES,30-Jun-2020 03:52 PM,Accepted-AOC,Per square meter quoted amount for construction of playhouses,17-Dec-2020 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Bill of Quantity to be filled by bidder as specified in Tender Document,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5.0,165463.0,AZAD INDUSTRIES,INR,"3,061.08",,,,,,5,165655,Classic Agricon,02-Jul-2020 09:59 AM,Accepted-AOC,Per square meter quoted amount for construction of playhouses,17-Dec-2020 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6.0,165494.0,Him Green AGRO,INR,"3,061.08",,,,,,6,165762,Dev Bhoomi Green House Solutions,02-Jul-2020 09:19 PM,Accepted-AOC,Per square meter quoted amount for construction of playhouses,17-Dec-2020 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7.0,165513.0,Green Agrotech,INR,"3,061.08",,,,,,7,165721,dhauladharagritech,02-Jul-2020 06:15 PM,Accepted-AOC,Per square meter quoted amount for construction of playhouses,17-Dec-2020 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8.0,165575.0,IRRE FUTABLE WELDING CONSUMABLE,INR,"3,061.08",,,,,,8,165516,Earth Agro Structures Pvt Ltd,30-Jun-2020 08:06 PM,Rejected-Finance,did not agree on negotiated rated,17-Dec-2020 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9.0,165629.0,HI TECH WATER SOLUTION,INR,"3,061.08",,,,,,9,165513,Green Agrotech,01-Jul-2020 03:09 PM,Accepted-AOC,Per square meter quoted amount for construction of playhouses,17-Dec-2020 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10.0,165634.0,Green Tech Agri Sector Pvt. Ltd.,INR,"3,061.08",,,,,,10,165634,Green Tech Agri Sector Pvt. Ltd.,01-Jul-2020 08:21 PM,Accepted-AOC,Per square meter quoted amount for construction of playhouses,17-Dec-2020 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
