Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
21-Dec-2020,INR 2.7924E+7,90.0,Manisha Barua,21-Dec-2020 02:29 PM,AOC.pdf (727.00 KB),AOC,Irrigation Department||Chief Engineer(Major)-Irrigation Dept,2020_ID_19070_3,33 _PMKSY_HKKP_ 2020_21 Date 22.10.2020,Installation of Solar powered Tube Well Schemes under PMKSY-HKKP (Ph-II) Access to ground water for the year 2020-21 Package-III_ Lakhimpur,1.0,96874.0,M/s GEE KAY CONSTRUCTION,INR,25131600.0,"Chief Engineer (I),Irrigation,Assam",Internal,"Chief Irrigation, Assam (MI) , Senior F.A.O,Irrigation, Assam , Director Design(I) , Director Design(MI), S.E. Monitoring Cell (I)",Manisha Barua,23-Nov-2020 03:55 PM,23-Nov-2020 04:00 PM,techsummary_29573.pdf (1623.47 KB),Technical,Technical Evaluation is in process,Manisha Barua,04-Nov-2020 03:38 PM,,"Chief Engineer,Irrigation,Assam,Ghy-03",Internal,,Manisha Barua,21-Dec-2020 02:28 PM,finsummary_29573.pdf (727.26 KB),Finance,Financial evaluation is in process,Manisha Barua,23-Nov-2020 04:20 PM,,BOQ Comparative Chart,1,96402,Ashim Hazarika,29-Oct-2020 02:18 PM,Rejected-Technical,Not Admitted,23-Nov-2020 03:55 PM,AOC,"5,58,480",Yes,percentage,2.0%,"EE,Lakhimpur Division(I),North Lakhimpur",Lakhimpur,"Chief Engineer (MI),Irrigation,Assam","O/o Chief Engineer (I),Irrigation,Assam, Ghy-03",1.0,SBI Bank,Installation of Solar powered Tube Well Schemes under PMKSY-HKKP (Ph-II) Access to ground water for the year 2020-21 Package-III_ Lakhimpur,Installation of Solar powered Tube Well Schemes under PMKSY-HKKP (Ph-II) Access to ground water for the year 2020-21 Package-III_ Lakhimpur,Please refer Tender documents. ,NA ,"2,79,24,000",Civil Works,NA ,Tender,180.0,90.0,Lakhimpur,787001.0,NA ,NA ,NA ,"O/o Chief Engineer (I),Irrigation,Assam, Ghy-03",No ,No,1.0,Extension of bid submission,Date,,"6,000","EE,Lakhimpur Division(I),North Lakhimpur",Lakhimpur,No,22-Oct-2020 06:00 PM,04-Nov-2020 03:00 PM,22-Oct-2020 06:15 PM,04-Nov-2020 02:00 PM,NA ,NA ,23-Oct-2020 10:00 AM,04-Nov-2020 02:00 PM,23-Nov-2020 04:00 PM,Irrigation Department||Chief Engineer(Major)-Irrigation Dept,33 _PMKSY_HKKP_ 2020_21 Date 22.10.2020,2020_ID_19070_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,96495,Gajraj Enterprises,29-Oct-2020 03:42 PM,Rejected-Technical,Not Admitted,23-Nov-2020 03:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Documents,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,96513,Ganesh Neog,01-Nov-2020 02:39 PM,Rejected-Finance,Not Admitted,21-Dec-2020 02:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Bid,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,96874,M/s GEE KAY CONSTRUCTION,03-Nov-2020 07:11 PM,Accepted-AOC,Awarded,21-Dec-2020 02:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pre-Qualification,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,96432,M/S Kusumbar Construction,29-Oct-2020 06:59 PM,Rejected-Finance,Not Admitted,21-Dec-2020 02:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,96423,M/S Raj Kumar Jain,03-Nov-2020 06:59 PM,Rejected-Finance,Not Admitted,21-Dec-2020 02:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Drawings,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,96451,M/S STAR CONSTRUCTIONS,28-Oct-2020 11:34 PM,Rejected-Finance,Not Admitted,21-Dec-2020 02:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,96910,RAJIB DOLEY,04-Nov-2020 08:21 AM,Rejected-Technical,Not Admitted,23-Nov-2020 03:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,97136,SSK-PADMAWATI(JV),04-Nov-2020 11:44 AM,Rejected-Finance,Not Admitted,21-Dec-2020 02:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,97087,Versha Technotrade JV,03-Nov-2020 09:08 PM,Rejected-Finance,Not Admitted,21-Dec-2020 02:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
