Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Bid opening Summary,Rajeev Kumar,28-Dec-2020 05:58 PM,finance_60995.pdf,BOQ Comparative Chart,1.0,182533.0,BABITA DEVI GOVT CONTRACTOR,INR,"2,547,856",Technical,BOS,Rajeev Kumar,26-Oct-2020 05:12 PM,technical_60995.pdf,1.0,183095.0,Ajay Kumar,20-Oct-2020 08:37 AM,Rejected-AOC,l-8,29-Dec-2020 12:00 PM,29-Dec-2020,"INR 2,569,185.64",180.0,Rajeev Kumar,29-Dec-2020 11:56 AM,AOC.....pdf (992.00 KB),Restoration of rain damages due to laying of OFC on Chakki Banikhet Chamba Bharmour Road NH 154 A Km 106/0 to 172/0 ( SH C/o PCC R/wall at RD 116/692 to 116/706,Executive Engineer,Internal,"Assistant Engineer, HDM Super indent Senior Assistant",Rajeev Kumar,29-Dec-2020 11:47 AM,finsummary_60995.pdf (1230.55 KB),EE,Internal,Dealing Assistant DHD Senior Assistant Superintend AE,Rajeev Kumar,26-Oct-2020 06:12 PM,27-Oct-2020 11:40 AM,techsummary_60995.pdf (529.83 KB),PWD,2020_PWD_41331_1,No.-NHC- 2052-2151 dated 23.9.2020,Restoration of rain damages due to laying of OFC on Chakki Banikhet Chamba Bharmour Road NH 154 A Km 106/0 to 172/0 ( SH C/o PCC R/wall at RD 116/692 to 116/706,AOC,"44,900",No,fixed,,Executive Engineer NH Division HPPWD Chamba,Executive Engineer NH Division HPPWD Chamba,500.0,Executive Engineer NH Division HPPWD Chamba,Executive Engineer NH Division HPPWD Chamba,No,PWD,No.-NHC- 2052-2151 dated 23.9.2020,2020_PWD_41331_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,05-Oct-2020 11:00 AM,20-Oct-2020 11:30 AM,05-Oct-2020 11:00 AM,20-Oct-2020 11:00 AM,NA ,NA ,05-Oct-2020 11:00 AM,20-Oct-2020 11:00 AM,27-Oct-2020 11:40 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (indicated in schedule F),Executive Engineer NH Division HPPWD Chamba,Executive Engineer NH Division HPPWD Chamba,Restoration of rain damages due to laying of OFC on Chakki Banikhet Chamba Bharmour Road NH 154 A Km 106/0 to 172/0 ( SH C/o PCC R/wall at RD 116/692 to 116/706,Restoration of rain damages due to laying of OFC on Chakki Banikhet Chamba Bharmour Road NH 154 A Km 106/0 to 172/0 ( SH C/o PCC R/wall at RD 116/692 to 116/706,Please refer Tender documents. ,NA ,"24,90,721",Civil Works - Roads,NA ,Tender,90.0,180.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer NH Division HPPWD Chamba,No ,No,AOC
,,,,,,,,,,,,,,,,2.0,183154.0,Ankit Mahajan,20-Oct-2020 10:15 AM,Rejected-AOC,l-4,29-Dec-2020 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,.pdf,Earnest Money (indicated in schedule F),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,183111.0,Ashwani Kumar,19-Oct-2020 05:53 PM,Rejected-AOC,l-9,29-Dec-2020 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,182533.0,BABITA DEVI GOVT CONTRACTOR,14-Oct-2020 04:41 PM,Accepted-AOC,l-1,29-Dec-2020 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Number,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,182848.0,RAKESH KUMAR,20-Oct-2020 10:45 AM,Rejected-AOC,l-5,29-Dec-2020 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6.0,183051.0,Ranjeet Singh Govt Contractor,19-Oct-2020 07:15 PM,Rejected-AOC,l-3,29-Dec-2020 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan Number,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7.0,183165.0,Sandeep Kumar Rawat,20-Oct-2020 09:30 AM,Rejected-AOC,l-2,29-Dec-2020 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not having two works in hand at time of bid.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8.0,183129.0,Shamu Govt Contractor,19-Oct-2020 06:55 PM,Rejected-AOC,l-6,29-Dec-2020 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed by the contractor,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9.0,183054.0,Subhash Kumar,19-Oct-2020 02:43 PM,Rejected-AOC,l-7,29-Dec-2020 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of work in hand,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,AOC
