Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,SUMMARY,Narender verma,21-Nov-2020 04:33 PM,technical_62492.pdf,1.0,188284.0,H.N.Bhardwaj,19-Nov-2020 01:12 PM,Rejected-Finance,L5,08-Dec-2020 02:52 PM,Finance,SUMMARY,Narender verma,04-Dec-2020 03:28 PM,finance_62492.pdf,BOQ Comparative Chart,1.0,188144.0,Tapender Thakur,INR,"286,422",16-Dec-2020,"INR 286,422",60.0,Narender verma,16-Dec-2020 05:49 PM,AOC.42287_7.pdf (632.00 KB),WORK AWARDED TO SH. TAPENDER THAKUR,Er. Narender Kumar Verma,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Sh. Krishan Singh Supdt. G-II Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt.",Narender verma,08-Dec-2020 02:49 PM,finsummary_62492.pdf (1502.53 KB),Er. Narender Kumar Verma EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Sh. Krishan Singh Supdt. G-II Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt.",Narender verma,28-Nov-2020 02:59 PM,28-Nov-2020 04:00 PM,techsummary_62492.pdf (956.90 KB),PWD,2020_PWD_42287_7,No. RGH-Tender-2020-21-6985 dt. 03.11.2020,C/O Link road Malanu ki Ber Dharoti GP Mehlog Lal Tikker Pachhad km 0/0 to 5/0 (SH ROFD in km 0/0 to 2/500)under MMGPY,AOC,PWD,No. RGH-Tender-2020-21-6985 dt. 03.11.2020,2020_PWD_42287_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,09-Nov-2020 09:00 AM,20-Nov-2020 11:00 AM,09-Nov-2020 09:00 AM,19-Nov-2020 05:00 PM,NA ,NA ,09-Nov-2020 09:00 AM,19-Nov-2020 05:00 PM,28-Nov-2020 04:00 PM,350.0,Nil,Nil,No,"10,200",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER ON-LINE MODE,1.0,ICICI BANK,C/O Link road Malanu ki Ber Dharoti GP Mehlog Lal Tikker Pachhad km 0/0 to 5/0 (SH ROFD in km 0/0 to 2/500)under MMGPY,C/O Link road Malanu ki Ber Dharoti GP Mehlog Lal Tikker Pachhad km 0/0 to 5/0 (SH ROFD in km 0/0 to 2/500)under MMGPY,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,90.0,60.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,AOC
,,,,,2.0,187936.0,Jagmohan Singh,18-Nov-2020 12:12 PM,Rejected-Finance,L6,08-Dec-2020 02:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY ON-LINE MODE,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,188095.0,Pawan Kumar,18-Nov-2020 11:00 AM,Rejected-Finance,L3,08-Dec-2020 02:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,188289.0,SOURAV BHARDWAJ,19-Nov-2020 01:15 PM,Rejected-Finance,L7,08-Dec-2020 02:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,188336.0,sukhpal,19-Nov-2020 02:59 PM,Rejected-Finance,L4,08-Dec-2020 02:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,6.0,188144.0,Tapender Thakur,18-Nov-2020 04:49 PM,Accepted-AOC,L1,16-Dec-2020 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,7.0,188167.0,Vikram Thakur,19-Nov-2020 02:31 PM,Rejected-Finance,L2,08-Dec-2020 02:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,AOC
