Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,350.0,EE Rajgarh,Rajgarh,No,A/R AND M/O to Banethi Bagthan Rajgarh Chandol road Km 48/0 to 82/0 (SH C/O PCC U-shape drain in km. 81/665 to 81/850).,A/R AND M/O to Banethi Bagthan Rajgarh Chandol road Km 48/0 to 82/0 (SH C/O PCC U-shape drain in km. 81/665 to 81/850).,Please refer Tender documents. ,NA ,"1,99,199",Civil Works - Roads,NA ,Tender,90.0,60.0,Rajgarh Division HPPWD Rajgarh,173101.0,NA ,NA ,NA ,Rajgarh Division HPPWD Rajgarh,No ,No,1.0,DD - Demand Draft,23-May-2020 06:00 PM,06-Jun-2020 11:00 AM,23-May-2020 06:00 PM,05-Jun-2020 05:00 PM,NA ,NA ,23-May-2020 06:00 PM,05-Jun-2020 05:00 PM,20-Jun-2020 10:30 AM,PWD,PW-RGH/2020-21-849-58 dt. 15.05.20,2020_PWD_37439_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,Rajgarh Division HPPWD Rajgarh,"4,000",No,fixed,,EE RAJGARH,RAJGARH,AOC,1.0,161023.0,AJAY SINGH,04-Jun-2020 12:27 PM,Rejected-Finance,L2,15-Dec-2020 01:35 PM,Technical,SUMMARY,Kishan Lal Chaudhary,06-Jun-2020 02:59 PM,technical_55270.pdf,Finance,SUMMARY,Rajneesh Bansal,15-Dec-2020 12:21 PM,finance_55270.pdf,BOQ Comparative Chart,1.0,159951.0,kAPIL DEV,INR,"224,905",PWD,2020_PWD_37439_7,PW-RGH/2020-21-849-58 dt. 15.05.20,A/R AND M/O to Banethi Bagthan Rajgarh Chandol road Km 48/0 to 82/0 (SH C/O PCC U-shape drain in km. 81/665 to 81/850).,Er. Narender Kumar Verma EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Sh. Krishan Singh Supdt. G-II, Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt",Kishan Lal Chaudhary,19-Jun-2020 04:18 PM,20-Jun-2020 10:30 AM,techsummary_55270.pdf (820.77 KB),Er. Narender Kumar Verma,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Sh. Krishan Singh Supdt. G-II Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt.",Narender verma,15-Dec-2020 01:31 PM,finsummary_55270.pdf (2734.05 KB),15-Dec-2020,"INR 224,905",60.0,Narender verma,15-Dec-2020 01:47 PM,AOC.37439_7.pdf (597.00 KB),WORK AWARDED TO SH. KAPIL DEV,AOC
,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,161055.0,Hardev Singh,05-Jun-2020 11:18 AM,Rejected-Finance,L3,15-Dec-2020 01:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,159951.0,kAPIL DEV,30-May-2020 12:22 PM,Accepted-AOC,L1,15-Dec-2020 01:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,161013.0,Tapender Thakur,04-Jun-2020 12:44 PM,Rejected-Technical,Not Fulfill the qualifying criteria,19-Jun-2020 04:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
