Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Tender Stage
16-Dec-2020,"INR 1,045,919",61.0,Kishore Kumar Sharma,16-Dec-2020 03:29 PM,dawahan.pdf (310.00 KB),ER K K SHARMA,Internal,Bid opening Summary,Kishore Kumar Sharma,29-Oct-2020 12:10 PM,finsummary_61331.pdf (87.26 KB),ER K K SHARMA,Internal,,Pradeep Singh,28-Oct-2020 04:26 PM,28-Oct-2020 04:30 PM,techsummary_61331.pdf (143.74 KB),PWD,2020_PWD_41568_1,MDII-TENDER,C/O road from Dawahan School to Dawada Matyal via Badwahan Naga-Ra-Padhar Harizan Basti Dhawali Km. 0/0 to 5/0 under SCSP.,Technical,Summary,Pradeep Singh,28-Oct-2020 04:24 PM,technical_61331.pdf,1.0,183912.0,BIRI SINGH,26-Oct-2020 10:34 AM,Rejected-Finance,L2,29-Oct-2020 12:13 PM,1.0,183850.0,GIRDHARI LAL,INR,"1,045,919",Finance,Bid opening Summary,Kishore Kumar Sharma,29-Oct-2020 12:08 PM,finance_61331.pdf,BOQ Comparative Chart,AOC,PWD,MDII-TENDER,2020_PWD_41568_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,12-Oct-2020 05:00 PM,26-Oct-2020 11:30 AM,12-Oct-2020 05:00 PM,26-Oct-2020 11:00 AM,NA ,NA ,12-Oct-2020 05:00 PM,26-Oct-2020 11:00 AM,28-Oct-2020 04:30 PM,500.0,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,Yes,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),","30,700",Yes,fixed,,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,C/O road from Dawahan School to Dawada Matyal via Badwahan Naga-Ra-Padhar Harizan Basti Dhawali Km. 0/0 to 5/0 under SCSP.,F/C 5/7 mtr.wide in Km. 1/705 to 2/55,Please refer Tender documents. ,NA ,"19,46,455",Civil Works,NA ,Tender,120.0,31.0,EE MANDI DIVISION NO-II HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO-II HPPWD MANDI,No ,No,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,183850.0,GIRDHARI LAL,25-Oct-2020 06:39 PM,Accepted-AOC,L1,16-Dec-2020 03:32 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money(indicated in Schedule-F),",,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,183568.0,Narender Kumar,24-Oct-2020 11:32 AM,Rejected-Finance,L3,29-Oct-2020 12:13 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST(General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8 duly signed (General Rule No.26.7),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
