Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,350.0,Executive Engineer HPPWD Division Bangana,Bangana,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Indicated in Schedule-F),PWD,BGN/2020-21-10411-52 dated 26.10.2020Job2,2020_PWD_42194_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"15,000",Yes,fixed,,Executive Engineer HPPWD Division Bangana,Bangana,Periodical Maintenance on Nari Dadhial Badsala Dathwara road,P/L25mm Thick Bituminous Concrete including profile correction in km. 6/000 to 7/000,Please refer Tender documents. ,NA ,"7,41,896",Civil Works,NA ,Tender,120.0,60.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,06-Nov-2020 11:00 AM,21-Nov-2020 11:00 AM,06-Nov-2020 11:30 AM,20-Nov-2020 06:00 PM,NA ,NA ,06-Nov-2020 11:30 AM,20-Nov-2020 06:00 PM,24-Nov-2020 10:30 AM,AOC,Er.S.P.Dhiman EE,Internal,Supdt HDM AO,SHASHI PAL,23-Nov-2020 12:10 PM,24-Nov-2020 10:30 AM,techsummary_62339.pdf (570.12 KB),PWD,2020_PWD_42194_1,BGN/2020-21-10411-52 dated 26.10.2020Job2,Periodical Maintenance on Nari Dadhial Badsala Dathwara road,11-Dec-2020,"INR 676,170",60.0,SHASHI PAL,11-Dec-2020 05:19 PM,AOC.pdf (581.00 KB),Work awarded,Er.S.P.Dhiman EE,Internal,Supdt HDM AO,SHASHI PAL,26-Nov-2020 05:15 PM,finsummary_62339.pdf (627.06 KB),1.0,188461.0,ganesh,20-Nov-2020 10:46 AM,Accepted-AOC,Lowest,11-Dec-2020 05:22 PM,Technical,Tech bid opened,SHASHI PAL,23-Nov-2020 12:09 PM,technical_62339.pdf,Finance,Fin bid opened,SHASHI PAL,26-Nov-2020 05:04 PM,finance_62339.pdf,BOQ Comparative Chart,1.0,188461.0,ganesh,INR,"676,170",AOC
,,,,,,2.0,SS - Small Savings Instrument,,,.pdf,Earnest Money (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,188382.0,Raj Kumar,19-Nov-2020 05:20 PM,Rejected-AOC,Higher Side,11-Dec-2020 05:22 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,3.0,FDR - Fixed Deposit,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,188203.0,R.D. DUVEDI,19-Nov-2020 05:37 PM,Rejected-AOC,Higher side,11-Dec-2020 05:22 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,GST Registration and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,188454.0,Shiv Kumar Govt Contractor,20-Nov-2020 02:44 PM,Rejected-AOC,Higher side,11-Dec-2020 05:22 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Affidavit regarding no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Form No 8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
