Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
PWD,No.-NHC- 2052-2151 dated 23.9.2020,2020_PWD_41331_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,Executive Engineer NH Division HPPWD Chamba,Executive Engineer NH Division HPPWD Chamba,No,"12,715",No,fixed,,EE NH HPPWD CHAMBA,EE NH HPPWD CHAMBA,1.0,DD - Demand Draft,05-Oct-2020 11:00 AM,20-Oct-2020 11:30 AM,05-Oct-2020 11:00 AM,20-Oct-2020 11:00 AM,NA ,NA ,05-Oct-2020 11:00 AM,20-Oct-2020 11:00 AM,27-Oct-2020 11:00 AM,Restoration of rain damages on Chakki Banikhet Chamba Bharmour Road NH 154 A Km 106/0 to 172/0 (SH Construction of PCC Retaining wall at RD 164/610 to 164/635,Restoration of rain damages on Chakki Banikhet Chamba Bharmour Road NH 154 A Km 106/0 to 172/0 (SH Construction of PCC Retaining wall at RD 164/610 to 164/635,Please refer Tender documents. ,NA ,"6,35,590",Civil Works - Roads,NA ,Tender,90.0,180.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer NH Division HPPWD Chamba,No ,No,Executive Engineer NH Division HPPWD Chamba,Executive Engineer NH Division HPPWD Chamba,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (indicated in schedule F),AOC,Finance,Bid opening Summary,Rajeev Kumar,29-Dec-2020 03:26 PM,finance_61001.pdf,BOQ Comparative Chart,1.0,182485.0,karnail singh,INR,"532,285",1.0,182485.0,karnail singh,14-Oct-2020 01:44 PM,Accepted-AOC,l-1,29-Dec-2020 03:41 PM,Technical,BOS,Rajeev Kumar,26-Oct-2020 05:20 PM,technical_61001.pdf,Executive Engineer,Internal,Dealing Assistant DHD Senior Assistant Superintend AE,Rajeev Kumar,26-Oct-2020 06:03 PM,27-Oct-2020 11:00 AM,techsummary_61001.pdf (531.03 KB),PWD,2020_PWD_41331_7,No.-NHC- 2052-2151 dated 23.9.2020,Restoration of rain damages on Chakki Banikhet Chamba Bharmour Road NH 154 A Km 106/0 to 172/0 (SH Construction of PCC Retaining wall at RD 164/610 to 164/635,29-Dec-2020,"INR 532,285",90.0,Rajeev Kumar,29-Dec-2020 03:37 PM,AOC....pdf (654.00 KB),Restoration of rain damages on Chakki Banikhet Chamba Bharmour Road NH 154 A Km 106/0 to 172/0 (SH Construction of PCC Retaining wall at RD 164/610 to 164/635,Executive Engineer,Internal,"Assistant Engineer, HDM Super indent Senior Assistant",Rajeev Kumar,29-Dec-2020 03:31 PM,finsummary_61001.pdf (236.13 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (indicated in schedule F),AOC,,,,,,,,,,,,2.0,183136.0,Surinder Thakur,20-Oct-2020 10:13 AM,Rejected-AOC,l-2,29-Dec-2020 03:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23 and as per invitation of bid),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Number,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan Number,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not having two works in hand at time of bid.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed by the contractor,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of work in hand,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
