Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Installation of Solar powered Tube Well Schemes under PMKSY-HKKP (Ph-II) Access to ground water for the year 2020-21 Package-2,Installation of Solar powered Tube Well Schemes under PMKSY-HKKP (Ph-II) Access to ground water for the year 2020-21,Please refer Tender documents. ,NA ,"4,42,56,900",Civil Works,NA ,Rate Contract,180.0,90.0,Karimganj,788710.0,NA ,NA ,NA ,"O/o Chief Engineer (I),Irrigation,Assam, Ghy-03",No ,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,NIT,"8,85,138",Yes,percentage,2.0%,"EE,Karimganj Division (I),karimganj",karimganj,Irrigation Department||Chief Engineer(Minor Irrigation)-Irrigation Dept,NIT No 29(PMKSY-HKKP) 2020-21 Dt. 28.08.2020,2020_ID_18536_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Corrigendum on Bid Documents,Other,,28-Aug-2020 06:00 PM,23-Sep-2020 03:00 PM,28-Aug-2020 06:30 PM,23-Sep-2020 02:00 PM,NA ,NA ,29-Aug-2020 10:00 AM,23-Sep-2020 02:00 PM,27-Oct-2020 03:35 PM,"9,000","EE,Karimganj Division (I),karimganj",karimganj,No,"Chief Engineer (MI),Irrigation,Assam","O/o Chief Engineer (I),Irrigation,Assam, Ghy-03",AOC,Irrigation Department||Chief Engineer(Minor Irrigation)-Irrigation Dept,2020_ID_18536_2,NIT No 29(PMKSY-HKKP) 2020-21 Dt. 28.08.2020,Installation of Solar powered Tube Well Schemes under PMKSY-HKKP (Ph-II) Access to ground water for the year 2020-21 Package-2,1,89098,BRIGHT SOLAR LIMITED,23-Sep-2020 01:03 PM,Rejected-Technical,Not Admitted,27-Oct-2020 03:30 PM,Technical,Technical Evaluation is under process,Manisha Barua,23-Sep-2020 03:57 PM,,16-Dec-2020,INR 4.42569E+7,90.0,KRISHNAV JYOTI SARMA,16-Dec-2020 03:10 PM,AOC.pdf (639.00 KB),AOC,1.0,89077.0,T N T Projects Ltd,INR,43950984.0,"Chief Engineer,Irrigation,Assam,Ghy-03",Internal,,KRISHNAV JYOTI SARMA,16-Dec-2020 03:05 PM,finsummary_28594.pdf (639.30 KB),Finance,Financial evaluation is in process,Manisha Barua,27-Oct-2020 04:01 PM,,BOQ Comparative Chart,"Chief Engineer (I),Irrigation,Assam",Internal,"Chief Irrigation, Assam (MI) , Senior F.A.O,Irrigation, Assam , Director Design(I) , Director Design(MI)",KRISHNAV JYOTI SARMA,27-Oct-2020 03:30 PM,27-Oct-2020 03:35 PM,techsummary_28594.pdf (2575.19 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,88740,DEEPAK KUMAR SINHA,21-Sep-2020 08:41 AM,Rejected-Technical,Not Admitted,27-Oct-2020 03:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3,89163,K.B.S COMMERCIAL (P) LTD.,23-Sep-2020 01:50 PM,Rejected-Technical,Not Admitted,27-Oct-2020 03:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4,88767,MD Organic Yash Associates (JV),22-Sep-2020 12:53 PM,Rejected-Finance,Not Admitted,16-Dec-2020 03:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,5,88856,M/S Kusumbar Construction,23-Sep-2020 01:06 PM,Rejected-Technical,Not Admitted,27-Oct-2020 03:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Pre-Qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,6,89089,M/S Raj Kumar Jain,23-Sep-2020 11:19 AM,Rejected-Finance,Not Admitted,16-Dec-2020 03:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,7,89024,M/S SUNRISE ENTERPRISE,23-Sep-2020 12:48 PM,Rejected-Technical,Not Admitted,27-Oct-2020 03:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,8,88995,Suklang Enterprise JV,22-Sep-2020 03:18 PM,Rejected-Technical,Not Admitted,27-Oct-2020 03:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,9,88907,TAHIR AHMED KHAN,23-Sep-2020 01:58 PM,Rejected-Technical,Not Admitted,27-Oct-2020 03:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,10,89077,T N T Projects Ltd,23-Sep-2020 01:30 PM,Accepted-AOC,Awarded,16-Dec-2020 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
