S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage
1.0,161252.0,Pankaj,INR,"916,575",Finance,SUMMARY,Rajneesh Bansal,15-Dec-2020 12:27 PM,finance_55281.pdf,BOQ Comparative Chart,Technical,SUMMARY,Kishan Lal Chaudhary,06-Jun-2020 03:24 PM,technical_55281.pdf,1.0,161042.0,ANIL THAKUR CONTRACTOR,04-Jun-2020 12:45 PM,Rejected-Finance,L3,15-Dec-2020 12:54 PM,15-Dec-2020,"INR 916,575",90.0,Narender verma,15-Dec-2020 01:15 PM,AOC.37501_1.pdf (806.00 KB),WORK AWARDED TO SH. PANKAJ GOVT. CONTRACTOR,Er. Narender Kumar Verma,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Sh. Krishan Singh Supdt. G-II Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt.",Rajneesh Bansal,15-Dec-2020 12:51 PM,finsummary_55281.pdf (2734.19 KB),Er. Narender Kumar Verma EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Sh. Krishan Singh Supdt. G-II, Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,19-Jun-2020 04:41 PM,20-Jun-2020 10:30 AM,techsummary_55281.pdf (858.50 KB),PWD,2020_PWD_37501_1,PW-RGH/2020-21-849-58 dt. 15.05.20,A/R M/O Govt. Office building HP PWD Division Sub-Division Rajgarh(SH Providing and laying floor tiles Painting Distempering Wood work P/F sanitary installation in Division office toilets).,AOC,23-May-2020 06:00 PM,06-Jun-2020 11:00 AM,23-May-2020 06:00 PM,05-Jun-2020 05:00 PM,NA ,NA ,23-May-2020 06:00 PM,05-Jun-2020 05:00 PM,20-Jun-2020 10:30 AM,PWD,PW-RGH/2020-21-849-58 dt. 15.05.20,2020_PWD_37501_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE RAJGARH,RAJGARH,No,A/R M/O Govt. Office building HP PWD Division Sub-Division Rajgarh(SH Providing and laying floor tiles Painting Distempering Wood work P/F sanitary installation in Division office toilets).,A/R M/O Govt. Office building HP PWD Division Sub-Division Rajgarh(SH Providing and laying floor tiles Painting Distempering Wood work P/F sanitary installation in Division office toilets).,Please refer Tender documents. ,NA ,"7,06,843",Civil Works - Buildings,NA ,Tender,90.0,90.0,RAJGARH DIVISION HPPWD RAJAGRH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJAGRH,No ,No,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJAGRH,"14,500",Yes,fixed,,EE RAJGARH,RAJAGRH,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,AOC
,,,,,,,,,,,,,,,,2.0,160904.0,Geeta Ram,03-Jun-2020 07:41 PM,Rejected-Finance,L4,15-Dec-2020 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,AOC
,,,,,,,,,,,,,,,,3.0,161252.0,Pankaj,05-Jun-2020 03:38 PM,Accepted-AOC,L1,15-Dec-2020 01:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,AOC
,,,,,,,,,,,,,,,,4.0,161096.0,Vijender,04-Jun-2020 05:03 PM,Rejected-Finance,L2,15-Dec-2020 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,AOC
