S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Indicated in Schedule-F),Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,350.0,Executive Engineer HPPWD Division Bangana,Bangana,No,Periodical Maintenance on Una Pirnigah Bihru road to Village Changer,P/L25mm Thick Bituminous Concrete including profile correction in km. 2/000 to 2/930,Please refer Tender documents. ,NA ,"6,86,255",Civil Works,NA ,Tender,120.0,60.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,"14,000",Yes,fixed,,Executive Engineer HPPWD Division Bangana,Bangana,PWD,BGN/2020-21-10411-52 dated 26.10.2020Job3,2020_PWD_42196_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,06-Nov-2020 11:00 AM,21-Nov-2020 11:00 AM,06-Nov-2020 11:30 AM,20-Nov-2020 06:00 PM,NA ,NA ,06-Nov-2020 11:30 AM,20-Nov-2020 06:00 PM,24-Nov-2020 10:30 AM,AOC,PWD,2020_PWD_42196_1,BGN/2020-21-10411-52 dated 26.10.2020Job3,Periodical Maintenance on Una Pirnigah Bihru road to Village Changer,Er.S.P.Dhiman EE,Internal,Supdt. HDM AO,SHASHI PAL,23-Nov-2020 12:15 PM,24-Nov-2020 10:30 AM,techsummary_62341.pdf (547.20 KB),Er.S.P.Dhiman EE,Internal,Supdt HDM AO,SHASHI PAL,26-Nov-2020 05:10 PM,finsummary_62341.pdf (595.69 KB),11-Dec-2020,"INR 644,309",60.0,SHASHI PAL,11-Dec-2020 05:00 PM,AOC.pdf (604.00 KB),Work Awarded,1.0,188196.0,ganesh,19-Nov-2020 10:33 AM,Accepted-AOC,Lowest,11-Dec-2020 05:03 PM,Technical,Tech bid opened,SHASHI PAL,23-Nov-2020 12:12 PM,technical_62341.pdf,1.0,188196.0,ganesh,INR,"644,309",Finance,Fin bid opened,SHASHI PAL,26-Nov-2020 05:05 PM,finance_62341.pdf,BOQ Comparative Chart,AOC
2.0,SS - Small Savings Instrument,,,.pdf,Earnest Money (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,188380.0,Raj Kumar,19-Nov-2020 05:09 PM,Rejected-AOC,Higher side,11-Dec-2020 05:03 PM,,,,,,,,,,,,,,,,,AOC
3.0,FDR - Fixed Deposit,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,188198.0,R.D. DUVEDI,19-Nov-2020 05:38 PM,Rejected-AOC,Higher side,11-Dec-2020 05:03 PM,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,GST Registration and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Work in hand certificate on prescribed format given in bidding document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Affidavit regarding no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
