Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
28-Sep-2020 05:00 PM,09-Oct-2020 11:30 AM,28-Sep-2020 05:00 PM,09-Oct-2020 11:00 AM,28-Sep-2020 05:00 PM ,09-Oct-2020 11:00 AM ,28-Sep-2020 05:00 PM,09-Oct-2020 11:00 AM,28-Oct-2020 11:20 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form proof,1.0,ICICI BANK,Executive Engineer,Jal Shakti Division Bilaspur,800.0,EE Jal Shakti Division Bilaspur,Jal Shakti Division Bilaspur,Yes,"Providing LWSS to CV Garour-II, Moti, Suin etc. GP Soldha, Suin Surhar, Sai Kharsi and Rani Kotla in Tehsil Sadar District Bilaspur (Under JJM 2nd phase) (SH Construction of Rapid sand filter bed 0.30 MLD, C/o main storage tank 67250 litr capacity/","Providing LWSS to CV Garour-II, Moti, Suin etc. GP Soldha, Suin Surhar, Sai Kharsi and Rani Kotla in Tehsil Sadar District Bilaspur (Under JJM 2nd phase) (SH Construction of Rapid sand filter bed 0.30 MLD, C/o main storage tank 67250 litr capacity/",Please refer tender documents ,NA ,"61,80,442",Civil Works,NA ,Tender,120.0,180.0,Under JSV Sub Division Jukhala,174001.0,NA ,NA ,NA ,Jal Shakti Division Bilaspur,No ,No,"HP Irrigation and Public Health||Bilaspur Circle,Irrigation and Public Health,HP||Bilaspur,Irrigation and Public Health,HP",BLP-BLP00-736,2020_HPIPH_41167_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Both(Online/Offline),No,No,No,"94,310",Yes,fixed,,EE Jal Shakti Division Bilaspur,Jal Shakti Division Bilaspur,AOC,18-Dec-2020,"INR 6,180,442",180.0,ARVIND KUMAR VERMA,29-Dec-2020 11:47 AM,Awardletter.pdf (2938.00 KB),The work has been awarded to Sh. Sanjeev Malohtra Village Machhanwan PO Karoti Tehsil Ghumarwin District Bilaspur vide T/O letter No. 22837-44 dt. 18-12-2020 amounting to Rs. 7740988/-,Finance,BOQ of all bidders downloaded and BOQ comparative chart generated successfully,ARVIND KUMAR VERMA,28-Oct-2020 04:13 PM,finance_60735.pdf,BOQ Comparative Chart,Technical,Seven bidders have been participated in the e tender process documents of all bidders downloaded successfully.,ARVIND KUMAR VERMA,09-Oct-2020 11:58 AM,technical_60735.pdf,Er Arvind Kumar Verma Executive Engineer,Internal,Sh Kishori Lal Superintendent Gr-II Sh Moti Lal Shama DHD Sh Sanjay Kumar Shah DAO Gr-I Sh Ravinder Kishore Senior Assistant,ARVIND KUMAR VERMA,28-Oct-2020 11:14 AM,28-Oct-2020 11:20 AM,techsummary_60735.pdf (1488.37 KB),1.0,181648.0,Dogra Construction Company Pvt Ltd,08-Oct-2020 01:26 PM,Accepted-AOC,Accepted,29-Dec-2020 11:51 AM,Er Arvind Kumar Verma Executive Engineer,Internal,Sh Kishori Lal Superintendent Gr-II Sh Moti Lal Shama DHD Sh Sanjay Kumar Shah DAO Gr-I Sh Ravinder Kishore Senior Assistant,ARVIND KUMAR VERMA,28-Oct-2020 04:20 PM,finsummary_60735.pdf (455.29 KB),"HP Irrigation and Public Health||Bilaspur Circle,Irrigation and Public Health,HP||Bilaspur,Irrigation and Public Health,HP",2020_HPIPH_41167_1,BLP-BLP00-736,"Providing LWSS to CV Garour-II, Moti, Suin etc. GP Soldha, Suin Surhar, Sai Kharsi and Rani Kotla in Tehsil Sadar District Bilaspur (Under JJM 2nd phase) (SH Construction of Rapid sand filter bed 0.30 MLD, C/o main storage tank 67250 litr capacity/",1.0,181441.0,Samjeev Malhotra,INR,"7,740,988",AOC
,,,,,,,,,,,.pdf,Earnest money proof scan copy of EMD of Certificate of exemption of earnest money with affidavit,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,181762.0,Keshwa Nand Sharma,09-Oct-2020 10:30 AM,Rejected-Technical,Rejected,28-Oct-2020 11:16 AM,,,,,,,,,,,2.0,181565.0,Mohit Kaushal,INR,0,AOC
,,,,,,,,,,,.pdf,Copy of Certificate of registration with Jal Shakti Vibhag or any other state/central Govt. departme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,181565.0,Mohit Kaushal,08-Oct-2020 05:44 PM,Accepted-AOC,Accepted,29-Dec-2020 11:51 AM,,,,,,,,,,,3.0,181648.0,Dogra Construction Company Pvt Ltd,INR,0,AOC
,,,,,,,,,,,.pdf,Copy of Certificate of EPF registration. If not registered then the successful bidder should get reg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,181747.0,MS Kamal Dev Sharma,09-Oct-2020 06:26 AM,Accepted-AOC,Accepted,29-Dec-2020 11:51 AM,,,,,,,,,,,4.0,181739.0,RAMAN KUMAR,INR,0,AOC
,,,,,,,,,,,.pdf,"PAN (Permanent Account No.), GST registration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,181760.0,M/s.Pawan Kumar Sharma,09-Oct-2020 09:39 AM,Accepted-AOC,Accepted,29-Dec-2020 11:51 AM,,,,,,,,,,,5.0,181747.0,MS Kamal Dev Sharma,INR,0,AOC
,,,,,,,,,,,.pdf,The authorization letter regarding digital signature certificate (DSC) of the person authorized by t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,181739.0,RAMAN KUMAR,09-Oct-2020 09:55 AM,Accepted-AOC,Accepted,29-Dec-2020 11:51 AM,,,,,,,,,,,6.0,181760.0,M/s.Pawan Kumar Sharma,INR,0,AOC
,,,,,,,,,,,.pdf,A scanned copy of undertaking (as per Chapter IV of Form 12) that I have carefully studied all the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,181441.0,Samjeev Malhotra,07-Oct-2020 02:48 PM,Accepted-AOC,Accepted,29-Dec-2020 11:51 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,"Work done, Experience Certificates as per Pre-qualification criteria.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,a) Unit sizes and flow diagram of WTPs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
