Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,SUMMARY,Narender verma,21-Nov-2020 04:32 PM,technical_62491.pdf,1.0,188282.0,H.N.Bhardwaj,19-Nov-2020 01:31 PM,Rejected-Finance,L3,08-Dec-2020 03:05 PM,1.0,188302.0,Keshav Kumar,INR,"600,954",Finance,SUMMARY,Narender verma,04-Dec-2020 03:22 PM,finance_62491.pdf,BOQ Comparative Chart,16-Dec-2020,"INR 600,954",60.0,Narender verma,16-Dec-2020 05:14 PM,AOC.42287_6.pdf (629.00 KB),work awarded to sh. Keshav Kumar Govt. Contractor,Er. Narender Kumar Verma,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Sh. Krishan Singh Supdt. G-II Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt.",Narender verma,08-Dec-2020 03:01 PM,finsummary_62491.pdf (1502.53 KB),Er. Narender Kumar Verma EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Smt. Asha Kamal HDM, Sh. Balbir Singh Sr. Asstt. Sh. Ghan Shyam Jr. Asstt.",Narender verma,28-Nov-2020 02:56 PM,28-Nov-2020 04:00 PM,techsummary_62491.pdf (769.94 KB),PWD,2020_PWD_42287_6,No. RGH-Tender-2020-21-6985 dt. 03.11.2020,C/O Link road Bambyar Badyar to Galanaghat km 0/0 to 3/160 (SH ROFD in km 0/0 to 3/160)under MMGPY,AOC,C/O Link road Bambyar Badyar to Galanaghat km 0/0 to 3/160 (SH ROFD in km 0/0 to 3/160)under MMGPY,C/O Link road Bambyar Badyar to Galanaghat km 0/0 to 3/160 (SH ROFD in km 0/0 to 3/160)under MMGPY,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,90.0,60.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,PWD,No. RGH-Tender-2020-21-6985 dt. 03.11.2020,2020_PWD_42287_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER ON-LINE MODE,09-Nov-2020 09:00 AM,20-Nov-2020 11:00 AM,09-Nov-2020 09:00 AM,19-Nov-2020 05:00 PM,NA ,NA ,09-Nov-2020 09:00 AM,19-Nov-2020 05:00 PM,28-Nov-2020 04:00 PM,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,350.0,Nil,Nil,No,"17,000",No,fixed,,Nil,Nil,AOC
,,,,,2.0,187933.0,Jagmohan Singh,18-Nov-2020 12:03 PM,Rejected-Finance,L4,08-Dec-2020 03:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,EARNEST MONEY ON-LINE MODE,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,188302.0,Keshav Kumar,19-Nov-2020 01:37 PM,Accepted-AOC,L1,16-Dec-2020 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,188287.0,SOURAV BHARDWAJ,19-Nov-2020 01:05 PM,Rejected-Finance,L5,08-Dec-2020 03:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,188338.0,sukhpal,19-Nov-2020 03:10 PM,Rejected-Finance,L2,08-Dec-2020 03:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,AOC
