Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Bhoranj,Construction of 77.00 mtr. Span RCC Box Girder Bridge over Chainth Khad on Bassi Badhani Chamboh road at R.D. 5/050Under Nabard RIDF XXV,Construction of 77.00 mtr. Span RCC Box Girder Bridge over Chainth Khad on Bassi Badhani Chamboh road at R.D. 5/050Under Nabard RIDF XXV,Please refer Tender documents. ,NA ,"2,24,73,060",Civil Works - Bridges,NA ,Tender,120.0,548.0,Bhoranj,176045.0,NA ,NA ,NA ,"Executive Engineer, Bhoranj Division, HP.PWD., Bho",No ,No,PWD,Construction of 77.00 mtr. Span RCC Box Girder Bri,2020_PWD_41532_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"5,000",EE Bhoranj,Bhoranj,Yes,1.0,Tender fee,Fee,,"2,57,300",Yes,fixed,,EE Bhoranj,Bhoranj,09-Oct-2020 05:20 PM,19-Oct-2020 11:30 AM,09-Oct-2020 05:25 PM,19-Oct-2020 10:30 AM,NA ,NA ,09-Oct-2020 05:25 PM,19-Oct-2020 10:30 AM,27-Oct-2020 11:30 AM,1.0,DD - Demand Draft,"Executive Engineer, Bhoranj Division, HP.PWD., Bho","Executive Engineer Bhoranj Division, HP.PWD., Bhoranj",AOC,"E.E. HP.PWD., Bhoranj Division",Internal,Supdt.DAO HDM A.E. Samirpur,Amar Singh Bhatia,23-Oct-2020 04:49 PM,27-Oct-2020 11:30 AM,techsummary_61286.pdf (391.37 KB),PWD,2020_PWD_41532_1,Construction of 77.00 mtr. Span RCC Box Girder Bri,Construction of 77.00 mtr. Span RCC Box Girder Bridge over Chainth Khad on Bassi Badhani Chamboh road at R.D. 5/050Under Nabard RIDF XXV,09-Dec-2020,"INR 20,161,760",548.0,Virender Singh Guleria,09-Dec-2020 04:49 PM,LAChainthKhad.PDF (774.00 KB),Award letter attacched,E.E. HPPWD Bhoranj Division,Internal,Supdt DAO HDM A.E. Samirpur S. Divn,Amar Singh Bhatia,28-Oct-2020 10:41 AM,finsummary_61286.pdf (285.06 KB),1.0,182921.0,Anil Thakur,18-Oct-2020 11:37 AM,Rejected-AOC,L2,09-Dec-2020 04:52 PM,Technical,Summary attached,Amar Singh Bhatia,23-Oct-2020 04:45 PM,technical_61286.pdf,Finance,Summary attached,Amar Singh Bhatia,28-Oct-2020 10:36 AM,finance_61286.pdf,BOQ Comparative Chart,1.0,182616.0,K K Mahajan Constructions,INR,"20,161,761",AOC
,,.pdf,"Earnest Money-Indicated in Schedule F (FDR duly pledged in favour of Executive Engineer, HPPWD., Bh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,182616.0,K K Mahajan Constructions,17-Oct-2020 04:21 PM,Accepted-AOC,L1,09-Dec-2020 04:52 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractor Registration- Gen. Rules Sr. No 23 and 26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,182828.0,MSC Roads and Bridges Private Limited,17-Oct-2020 10:30 AM,Rejected-AOC,L4,09-Dec-2020 04:52 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST Registration -Refer Gen. Rules Sr. No 21 and 26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,182912.0,S.S.Chauhans Construction Private Limted,18-Oct-2020 02:40 PM,Rejected-AOC,L3,09-Dec-2020 04:52 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Labour License,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"Proof of, Mandatory Machinery Tool and Plant as per Gen Rules 25 and Schedule F Sr. No.6.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Bridge Work Done Certificate on prescribed format given in Bidding Document without liquidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
