Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,Sum,Suresh Kumar Walia,03-Dec-2020 10:50 AM,technical_62833.pdf,1.0,189235.0,Alpna Sharma,25-Nov-2020 02:27 PM,Rejected-Finance,Lowest 3,28-Dec-2020 10:51 AM,1.0,189152.0,Ujjawal Singh,INR,"1,845,570",Finance,SUM,Suresh Kumar Walia,28-Dec-2020 10:43 AM,finance_62833.pdf,BOQ Comparative Chart,Dr Suresh Kumar Walia,Internal,Er Ankit AE Ajit Kumar Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,28-Dec-2020 10:47 AM,finsummary_62833.pdf (196.33 KB),28-Dec-2020,"INR 1,845,570",90.0,Suresh Kumar Walia,28-Dec-2020 10:50 AM,Award.pdf (219.00 KB),Award,PWD,2020_PWD_42324_3,PWD Civil Work -9156-85-Tanda,Construction of Rajiana Jhag via Churan road Km 0/000 to 5/025 in Distt Kangra (HP),Dr Suresh Kumar Walia,Internal,Er Ankit AE Ajit Kumar Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,03-Dec-2020 10:51 AM,04-Dec-2020 04:00 PM,techsummary_62833.pdf (710.09 KB),AOC,500.0,Executive Engineer HP PWD Tanda,Kangra,No,1.0,DD - Demand Draft,PWD,PWD Civil Work -9156-85-Tanda,2020_PWD_42324_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,EE HP PWD Division Tanda at Nagrota Bagwan,"32,600",No,fixed,,Executive Engineer HP PWD Tanda,Tanda at Nagrota Bagwan,11-Nov-2020 12:45 PM,26-Nov-2020 11:30 AM,11-Nov-2020 12:45 PM,25-Nov-2020 05:00 PM,NA ,NA ,11-Nov-2020 12:45 PM,25-Nov-2020 05:00 PM,04-Dec-2020 04:00 PM,1.0,Fee/PreQual/Technical,.pdf,Earnest Money in shape of FDR as per SBD,Construction of Rajiana Jhag via Churan road Km 0/000 to 5/025 in Distt Kangra (HP),Providing and laying metalling and tarring and cement concrete pavement in various reaches between Km 3/600 to 5/025 and construction of causeway at RD 4/070 to 4/085) Under SCSP,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,120.0,90.0,Tanda,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,AOC
,,,,,2.0,189259.0,Kapil Sharma,25-Nov-2020 03:21 PM,Rejected-Finance,Lowest 4,28-Dec-2020 10:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,189144.0,Navneet Thakur,25-Nov-2020 01:55 PM,Rejected-Finance,Lowest 5,28-Dec-2020 10:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,189152.0,Ujjawal Singh,24-Nov-2020 10:44 PM,Accepted-AOC,Lowest 1,28-Dec-2020 10:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,189209.0,VIPAN KUMAR GOVT. CONTRACTOR,25-Nov-2020 01:57 PM,Rejected-Finance,Lowest 2,28-Dec-2020 10:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and retired gazetted officer,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
