S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
1.0,190110.0,S.S. Associates,INR,"1,382,233",Finance,fin bid opening summary,Kishan Lal Chaudhary,11-Dec-2020 01:43 PM,finance_63329.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Kishan Lal Chaudhary,07-Dec-2020 03:58 PM,technical_63329.pdf,1.0,190217.0,Ishi Infra,03-Dec-2020 12:41 PM,Rejected-Finance,L4,11-Dec-2020 01:53 PM,Er. K. L. Chaudhary,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,11-Dec-2020 01:50 PM,finsummary_63329.pdf (443.98 KB),18-Dec-2020,"INR 1,445,258",90.0,Kishan Lal Chaudhary,18-Dec-2020 12:35 PM,aoc.pdf (911.00 KB),AOC,PWD,2020_PWD_42102_6,Tender/2020-21 -6541-90 dated 26.10.2020,Periodical renewal on link road Kishanura to Bainkkuan under Annual Maintenance Plan for the year 2020-21 (SH-Providing and laying 30mm. thick bituminous concrete in km. 1/0 to 1/400).,Er. K. L. Chaudhary,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,07-Dec-2020 04:00 PM,07-Dec-2020 04:05 PM,techsummary_63329.pdf (740.36 KB),AOC,Periodical renewal on link road Kishanura to Bainkkuan under Annual Maintenance Plan for the year 2020-21 (SH-Providing and laying 30mm. thick bituminous concrete in km. 1/0 to 1/400).,Periodical renewal on link road Kishanura to Bainkkuan under Annual Maintenance Plan for the year 2020-21 (SH-Providing and laying 30mm. thick bituminous concrete in km. 1/0 to 1/400).,please refer tender document ,NA ,,Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,500.0,Nil,Nil,No,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),"28,900",No,fixed,,Nil,Nil,24-Nov-2020 04:30 PM,04-Dec-2020 11:30 AM,24-Nov-2020 05:00 PM,03-Dec-2020 05:00 PM,NA ,NA ,24-Nov-2020 05:00 PM,03-Dec-2020 05:00 PM,07-Dec-2020 04:05 PM,1.0,ICICI BANK,PWD,Tender/2020-21 -6541-90 dated 26.10.2020,2020_PWD_42102_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,AOC
,,,,,,,,,,,,,,,,2.0,190114.0,Manoj Chawla,03-Dec-2020 02:13 PM,Rejected-Finance,L2,11-Dec-2020 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,AOC
,,,,,,,,,,,,,,,,3.0,189931.0,Rashid Ali Civil Contractor,03-Dec-2020 09:51 AM,Rejected-Finance,L3,11-Dec-2020 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,AOC
,,,,,,,,,,,,,,,,4.0,190110.0,S.S. Associates,03-Dec-2020 11:03 AM,Accepted-AOC,L1,18-Dec-2020 12:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.6.19Ref.Cl- No.18 i.e.R.C,purchase bills,ownership/Affidavit hire",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him gen. Rule sr.no.16),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
