S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
1.0,178207.0,Hunar Singh,INR,"705,993","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2020_HPIPH_40558_3,SMR00-NHN-722-6298-6358 dt 09-09-2020,Improvement and Augmentation of various GWSS in GP Kataha Sheetla in Tehsil Dadahu Distt. Sirmour HP,Dr. Mandeep Gupta EE,Internal,DM HDM EE,Mandeep Gupta,16-Dec-2020 12:14 PM,finsummary_59834.pdf (731.61 KB),Dr Mandeep Gupta EE,Internal,Supdt TA HDM DAO EE,Mandeep Gupta,29-Sep-2020 05:09 PM,29-Sep-2020 05:10 PM,techsummary_59834.pdf (176.04 KB),1.0,177836.0,Chaman Lal Contractor,15-Sep-2020 07:16 PM,Rejected-Finance,Reject,16-Dec-2020 12:18 PM,16-Dec-2020,"INR 1,065,679",90.0,Mandeep Gupta,16-Dec-2020 12:25 PM,AOC.pdf (732.00 KB),AOC,Finance,Financial Bid Opening Summary,Mandeep Gupta,01-Oct-2020 03:26 PM,finance_59834.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Mandeep Gupta,29-Sep-2020 05:06 PM,technical_59834.pdf,AOC,400.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",SMR00-NHN-722-6298-6358 dt 09-09-2020,2020_HPIPH_40558_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,10-Sep-2020 06:00 PM,18-Sep-2020 11:30 AM,10-Sep-2020 06:00 PM,18-Sep-2020 11:00 AM,NA ,NA ,10-Sep-2020 06:00 PM,18-Sep-2020 11:00 AM,29-Sep-2020 05:10 PM,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,Improvement and Augmentation of various GWSS in GP Kataha Sheetla in Tehsil Dadahu Distt. Sirmour HP,"C/O storage tank, intake, Laying and jointing GMS pipe of various dia in Part 3rd,4th and 5th and Laying and jointing GMS pipe Har ghar Nal Se Jal) Job No. 2 under JJM",Please refer Tender documents. ,NA ,"10,65,679",Civil Works,pipe line ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,1.0,ICICI BANK,"21,314",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,177843.0,Deepak Kumar Contractor,15-Sep-2020 07:28 PM,Rejected-Finance,Reject,16-Dec-2020 12:18 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,178207.0,Hunar Singh,18-Sep-2020 08:59 AM,Accepted-AOC,AOC,16-Dec-2020 12:28 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Enlistment/Registration in HP Jal Shakti Vibhag in valid class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,178203.0,PREM SINGH,18-Sep-2020 08:56 AM,Rejected-Finance,Reject,16-Dec-2020 12:18 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5.0,178160.0,satishwer sharma,17-Sep-2020 05:15 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Sep-2020 05:07 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6.0,177944.0,Tapender Singh,17-Sep-2020 09:24 PM,Rejected-Finance,Reject,16-Dec-2020 12:18 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
