Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,2020_UDDHP_42493_1,1MC-NLG(6)2020-21-13,Providing CC interlocking pavements in road and channels in drain from old MC office to IPH office side in ward no. 2 Nalagarh .,1.0,189937.0,Ajay Thakur,INR,"868,697",Ritika Jindal,Internal,"EO, AE, JE",Lalit Katoch,16-Dec-2020 04:43 PM,finsummary_62978.pdf (331.49 KB),Finance,accepted,Lalit Katoch,15-Dec-2020 11:44 AM,finance_62978.pdf,BOQ Comparative Chart,Technical,Bid opening Summary,Lalit Katoch,03-Dec-2020 07:12 PM,technical_62978.pdf,16-Dec-2020,"INR 759,278",60.0,Lalit Katoch,16-Dec-2020 04:59 PM,awardletteriphoffice.pdf (817.00 KB),awarded after negotation,Executive Officer,Internal,"Executive Officer, Assistant Engineer, Junior Engineer",Lalit Katoch,14-Dec-2020 03:05 PM,14-Dec-2020 03:15 PM,techsummary_62978.pdf (201.72 KB),1.0,189937.0,Ajay Thakur,30-Nov-2020 11:17 PM,Accepted-AOC,work awarded,16-Dec-2020 05:02 PM,AOC,500.0,Executive Officer,Nalagarh,No,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,1MC-NLG(6)2020-21-13,2020_UDDHP_42493_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Officer,MC Nalagarh,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,16-Nov-2020 05:00 PM,01-Dec-2020 03:00 PM,16-Nov-2020 05:00 PM,01-Dec-2020 10:30 AM,NA ,NA ,16-Nov-2020 05:00 PM,01-Dec-2020 10:30 AM,14-Dec-2020 03:15 PM,Providing CC interlocking pavements in road and channels in drain from old MC office to IPH office side in ward no. 2 Nalagarh .,Providing CC interlocking pavements in road and channels in drain from old MC office to IPH office side in ward no. 2 Nalagarh .,Please refer Tender documents. ,NA ,"7,59,278",Civil Works,NA ,Tender,90.0,60.0,MC Nalagarh,174101.0,NA ,NA ,NA ,Nalagarh,No ,No,"15,200",No,fixed,,Executive Officer,Nalagarh,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,189872.0,Ravinder Kumar,30-Nov-2020 08:39 PM,Rejected-Finance,BEING L2,16-Dec-2020 04:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
