Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Er. Narender Kumar Verma,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Sh. Krishan Singh Supdt. G-II Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt.",Narender verma,15-Dec-2020 01:39 PM,finsummary_55275.pdf (2734.05 KB),15-Dec-2020,"INR 902,218",90.0,Narender verma,15-Dec-2020 01:50 PM,AOC.37439_8.pdf (774.00 KB),WORK AWARDED TO VIJENDER SINGH,PWD,2020_PWD_37439_8,PW-RGH/2020-21-849-58 dt. 15.05.20,"A/R AND M/O Govt. Office building HP PWD Division at Rajgarh(Sh Providing Prepainted GI sheet, wood work in celling, roof, Doors Windows etc.).",Er. Narender Kumar Verma EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Sh. Krishan Singh Supdt. G-II, Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,19-Jun-2020 04:23 PM,20-Jun-2020 10:30 AM,techsummary_55275.pdf (923.90 KB),Finance,SUMMARY,Rajneesh Bansal,15-Dec-2020 12:14 PM,finance_55275.pdf,BOQ Comparative Chart,1.0,161088.0,Vijender,INR,"902,218",Technical,SUMMARY,Kishan Lal Chaudhary,06-Jun-2020 03:09 PM,technical_55275.pdf,1.0,161040.0,ANIL THAKUR CONTRACTOR,04-Jun-2020 12:40 PM,Rejected-Finance,L2,15-Dec-2020 01:43 PM,AOC,"14,500",No,fixed,,EE RAJGARH,RAJGARH,Executive Engineer,Rajgarh Division HPPWD Rajgarh,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,"A/R AND M/O Govt. Office building HP PWD Division at Rajgarh(Sh Providing Prepainted GI sheet, wood work in celling, roof, Doors Windows etc.).","A/R AND M/O Govt. Office building HP PWD Division at Rajgarh(Sh Providing Prepainted GI sheet, wood work in celling, roof, Doors Windows etc.).",Please refer Tender documents. ,NA ,"7,09,814",Civil Works - Roads,NA ,Tender,90.0,90.0,Rajgarh Division HPPWD Rajgarh,173101.0,NA ,NA ,NA ,Rajgarh Division HPPWD Rajgarh,No ,No,23-May-2020 06:00 PM,06-Jun-2020 11:00 AM,23-May-2020 06:00 PM,05-Jun-2020 05:00 PM,NA ,NA ,23-May-2020 06:00 PM,05-Jun-2020 05:00 PM,20-Jun-2020 10:30 AM,1.0,DD - Demand Draft,350.0,EE Rajgarh,Rajgarh,No,PWD,PW-RGH/2020-21-849-58 dt. 15.05.20,2020_PWD_37439_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,161277.0,DHARMENDER CHOUDHRY,05-Jun-2020 04:56 PM,Rejected-Technical,Original DD and Bid security not deposited,19-Jun-2020 04:23 PM,AOC,,,,,,,,,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,160908.0,Geeta Ram,03-Jun-2020 07:52 PM,Rejected-Finance,L4,15-Dec-2020 01:43 PM,AOC,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,161137.0,RAVINDER KUMAR,04-Jun-2020 07:47 PM,Rejected-Finance,L3,15-Dec-2020 01:43 PM,AOC,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,161088.0,Vijender,04-Jun-2020 04:54 PM,Accepted-AOC,L1,15-Dec-2020 01:53 PM,AOC,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
