Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Tender Stage
Technical,SUMMARY,Kishan Lal Chaudhary,06-Jun-2020 01:24 PM,technical_55197.pdf,1.0,160702.0,Sachin Chauhan,03-Jun-2020 12:32 PM,Accepted-AOC,L1,15-Dec-2020 01:49 PM,Finance,SUMMARY,Kishan Lal Chaudhary,26-Jun-2020 01:30 PM,finance_55197.pdf,BOQ Comparative Chart,1.0,160702.0,Sachin Chauhan,INR,"1,143,743",15-Dec-2020,"INR 1,143,743",30.0,Narender verma,15-Dec-2020 01:45 PM,AOC.37439_2.pdf (692.00 KB),WORK AWARDED TO SH. SACHIN CHAUHAN,Er. Narender Kumar Verma,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Sh. Krishan Singh Supdt. G-II Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt.",Rajneesh Bansal,15-Dec-2020 12:44 PM,finsummary_55197.pdf (2734.19 KB),Er. Narender Kumar EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Sh. Krishan Singh Supdt. G-II, Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,19-Jun-2020 03:42 PM,20-Jun-2020 10:30 AM,techsummary_55197.pdf (1085.79 KB),PWD,2020_PWD_37439_2,PW-RGH/2020-21-849-58 dt. 15.05.20,Restoration of rain damages on Solan Meenus road km 24/345 to 61/0 (SH P/L Patch work in km. 29/0 to 40/0).,AOC,Restoration of rain damages on Solan Meenus road km 24/345 to 61/0 (SH P/L Patch work in km. 29/0 to 40/0).,Restoration of rain damages on Solan Meenus road km 24/345 to 61/0 (SH P/L Patch work in km. 29/0 to 40/0).,Please refer Tender documents. ,NA ,"6,91,532",Civil Works - Roads,NA ,Tender,90.0,30.0,Rajgarh Division HPPWD Rajgarh,173101.0,NA ,NA ,NA ,Rajgarh Division HPPWD Rajgarh,No ,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,"14,000",No,fixed,,EE RAJGARH,RAJGARH,350.0,EE Rajgarh,Rajgarh,No,PWD,PW-RGH/2020-21-849-58 dt. 15.05.20,2020_PWD_37439_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,23-May-2020 04:00 PM,06-Jun-2020 11:00 AM,23-May-2020 04:00 PM,05-Jun-2020 05:00 PM,NA ,NA ,23-May-2020 04:00 PM,05-Jun-2020 05:00 PM,20-Jun-2020 10:30 AM,Executive Engineer,Rajgarh Division HPPWD Rajgarh,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
