S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,183143.0,Arvind Thakur,INR,"503,265.2",Finance,Bid opening Summary,Rajeev Kumar,29-Dec-2020 12:22 PM,finance_60997.pdf,BOQ Comparative Chart,Technical,BOS,Rajeev Kumar,26-Oct-2020 05:04 PM,technical_60997.pdf,1.0,183145.0,Abhishek Thakur,19-Oct-2020 10:04 PM,Rejected-AOC,l-3,29-Dec-2020 12:33 PM,Executive Engineer,Internal,"Assistant Engineer, HDM Super indent Senior Assistant",Rajeev Kumar,29-Dec-2020 12:26 PM,finsummary_60997.pdf (221.46 KB),29-Dec-2020,"INR 503,265.2",180.0,Rajeev Kumar,29-Dec-2020 12:29 PM,AOC31963.pdf (443.00 KB),Restoration of rain damages on Chakki Banikhet Chamba Bharmour Road NH 154 A Km 39/0 to 106/0 (SH Construction of PCC Retaining wall at RD 51/861 to 51/868,PWD,2020_PWD_41331_3,No.-NHC- 2052-2151 dated 23.9.2020,Restoration of rain damages on Chakki Banikhet Chamba Bharmour Road NH 154 A Km 39/0 to 106/0 (SH Construction of PCC Retaining wall at RD 51/861 to 51/868,EE,Internal,Dealing Assistant DHD Senior Assistant Superintend AE,Rajeev Kumar,26-Oct-2020 06:16 PM,27-Oct-2020 11:30 AM,techsummary_60997.pdf (665.37 KB),AOC,1.0,DD - Demand Draft,Restoration of rain damages on Chakki Banikhet Chamba Bharmour Road NH 154 A Km 39/0 to 106/0 (SH Construction of PCC Retaining wall at RD 51/861 to 51/868,Restoration of rain damages on Chakki Banikhet Chamba Bharmour Road NH 154 A Km 39/0 to 106/0 (SH Construction of PCC Retaining wall at RD 51/861 to 51/868,Please refer Tender documents. ,NA ,"6,69,672",Civil Works - Roads,NA ,Tender,90.0,180.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer NH Division HPPWD Chamba,No ,No,350.0,EE NH HPPWD CHAMBA,EE NH HPPWD CHAMBA,No,"13,400",No,fixed,,EE NH HPPWD CHAMBA,EE NH HPPWD CHAMBA,PWD,No.-NHC- 2052-2151 dated 23.9.2020,2020_PWD_41331_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer NH Division HPPWD Chamba,Executive Engineer NH Division HPPWD Chamba,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (indicated in schedule F),05-Oct-2020 11:00 AM,20-Oct-2020 11:30 AM,05-Oct-2020 11:00 AM,20-Oct-2020 11:00 AM,NA ,NA ,05-Oct-2020 11:00 AM,20-Oct-2020 11:00 AM,27-Oct-2020 11:30 AM,AOC
,,,,,,,,,,,,,,,,2.0,183110.0,Aman Jamwal Govt Contractor,19-Oct-2020 08:38 PM,Rejected-AOC,l-2,29-Dec-2020 12:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (indicated in schedule F),,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,183143.0,Arvind Thakur,19-Oct-2020 08:21 PM,Accepted-AOC,l-1,29-Dec-2020 12:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23 and as per invitation of bid),,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Number,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan Number,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not having two works in hand at time of bid.,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed by the contractor,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of work in hand,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,AOC
