S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,161214.0,Akshay Verma,INR,"306,015",Finance,SUMMARY,Kishan Lal Chaudhary,06-Jul-2020 12:30 PM,finance_55282.pdf,BOQ Comparative Chart,Technical,SUMMARY,Kishan Lal Chaudhary,06-Jun-2020 03:33 PM,technical_55282.pdf,1.0,161214.0,Akshay Verma,05-Jun-2020 01:39 PM,Accepted-AOC,L1,14-Dec-2020 05:20 PM,Er. Narender Kumar Verma,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Sh. Krishan Singh Supdt. G-II Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt.",Narender verma,14-Dec-2020 05:14 PM,finsummary_55282.pdf (2734.05 KB),14-Dec-2020,"INR 306,015",30.0,Narender verma,14-Dec-2020 05:17 PM,AOC.37501_2.pdf (605.00 KB),WORK AWARDED TO SH. AKSHAY VERMA,PWD,2020_PWD_37501_2,PW-RGH/2020-21-849-58 dt. 15.05.20,C/O Yashwant Nagar Katudi Badrika Asharam via Plasha C/O Yashwant Nagar Katudi Badrika Asharam via Plashala Nauni road Km. 0/0 to 6/095 (SH C/O Wire crate at RD 1/815 to 1/817).,Er. Narender Kumar Verma EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Sh. Krishan Singh Supdt. G-II, Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,19-Jun-2020 04:44 PM,20-Jun-2020 10:30 AM,techsummary_55282.pdf (855.44 KB),AOC,PWD,PW-RGH/2020-21-849-58 dt. 15.05.20,2020_PWD_37501_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJAGRH,1.0,DD - Demand Draft,"4,500",Yes,fixed,,EE RAJGARH,RAJAGRH,C/O Yashwant Nagar Katudi Badrika Asharam via Plasha C/O Yashwant Nagar Katudi Badrika Asharam via Plashala Nauni road Km. 0/0 to 6/095 (SH C/O Wire crate at RD 1/815 to 1/817).,C/O Yashwant Nagar Katudi Badrika Asharam via Plasha C/O Yashwant Nagar Katudi Badrika Asharam via Plashala Nauni road Km. 0/0 to 6/095 (SH C/O Wire crate at RD 1/815 to 1/817).,Please refer Tender documents. ,NA ,"2,24,697",Civil Works - Roads,NA ,Tender,90.0,30.0,RAJGARH DIVISION HPPWD RAJAGRH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJAGRH,No ,No,350.0,EE RAJGARH,RAJGARH,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,25-May-2020 09:00 AM,06-Jun-2020 11:00 AM,25-May-2020 09:00 AM,05-Jun-2020 05:00 PM,NA ,NA ,25-May-2020 09:00 AM,05-Jun-2020 05:00 PM,20-Jun-2020 10:30 AM,AOC
,,,,,,,,,,,,,,,,2.0,161284.0,Bhaskar Dutt,05-Jun-2020 04:54 PM,Rejected-Technical,Not Fulfill the qualifying criteria,19-Jun-2020 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,161102.0,BHUPENDER SINGH THAKUR,04-Jun-2020 05:49 PM,Rejected-Finance,L3,14-Dec-2020 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,161098.0,VISHAVRAJ KANWAR,04-Jun-2020 05:13 PM,Rejected-Finance,L2,14-Dec-2020 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,AOC
