Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Executive Engineer,Jal Shakti Division Fatehpur,"29,660",Yes,fixed,,"Executive Engineer, Jal Shakti Division Fatehpur",SBI Fatehpur,400.0,"Executive Engineer, Jal Shakti Division Fatehpur",SBI Fatehpur,No,1.0,ICICI BANK,"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Fatehpur-Irrigation and Public Health-HP",EE/JSD/FTR/EA/T/2020-4187-4237,2020_HPIPH_39640_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,07-Aug-2020 05:00 PM,17-Aug-2020 11:30 AM,07-Aug-2020 05:00 PM,17-Aug-2020 11:00 AM,NA ,NA ,07-Aug-2020 05:00 PM,17-Aug-2020 11:00 AM,28-Aug-2020 01:45 PM,1.0,corrigendum,Other,,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of Demand Draft cost of receipt of the amount deposited on a/c of cost of tender docume,"Providing functional house hold tap connection in village Tatwali, Rajpalwan, Dhoulpur etc. through proposed LWSS Tatwali Dhoulpur in Tehsil Fatehpur District Kangra HP (Jal Jeeven Mission)","Sub Head Supply and Erection of submersible /centrifugal pumping machinery 2 sets 10 HP with allied accessories, centrifugal pumping machinery with its allied accessories, laying jointing testing of Rising main 100 mm dia of GI pipe (Medium Class)",As per notice inviting tender ,NA ,"14,82,734",Civil Works,NA ,Tender,90.0,120.0,Tehsil Fatehpur,176053.0,NA ,NA ,NA ,"Executive Engineer JAl Shakti Division, Fatehpur",No ,No,AOC,18-Dec-2020,"INR 1,104,830",180.0,Sushil Chand Katoch,18-Dec-2020 12:16 PM,aoc.pdf (589.00 KB),AOC,Technical,proceeding,Sushil Chand Katoch,28-Aug-2020 01:26 PM,technical_58539.pdf,Finance,summary,Sushil Chand Katoch,28-Aug-2020 02:47 PM,finance_58539.pdf,BOQ Comparative Chart,1.0,173240.0,A.K. Traders,14-Aug-2020 03:38 PM,Rejected-Finance,Rejected,18-Dec-2020 12:19 PM,Er. S.S Kaushal,Internal,Supdt. WS CHD EE (F) EE (D),Sushil Chand Katoch,28-Aug-2020 01:30 PM,28-Aug-2020 01:45 PM,techsummary_58539.pdf (954.77 KB),Er. S.S. Koushal,Internal,EE (D) EE (F) CHD Supdt WS,Sushil Chand Katoch,18-Dec-2020 12:15 PM,finsummary_58539.pdf (663.37 KB),1.0,173410.0,dinesh kumar lath,INR,"1,104,830","HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Fatehpur-Irrigation and Public Health-HP",2020_HPIPH_39640_1,EE/JSD/FTR/EA/T/2020-4187-4237,"Providing functional house hold tap connection in village Tatwali, Rajpalwan, Dhoulpur etc. through proposed LWSS Tatwali Dhoulpur in Tehsil Fatehpur District Kangra HP (Jal Jeeven Mission)",AOC
,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of FDR/Exemption letter cost of receipt of the amount deposited of cost of earnest money in fav,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,173410.0,dinesh kumar lath,16-Aug-2020 05:05 PM,Accepted-AOC,Lowset1,18-Dec-2020 12:20 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration in IPH Deptt. in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,172652.0,Sanjay Gaur,17-Aug-2020 10:39 AM,Rejected-Finance,Rejected,18-Dec-2020 12:19 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Income tax (Assessment Year 2019-20),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4.0,173421.0,SANJAY SAINI,16-Aug-2020 01:52 PM,Rejected-Finance,Rejected,18-Dec-2020 12:19 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No and EPF Number,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5.0,173495.0,Sarabjit Singh Katoch,17-Aug-2020 09:12 AM,Rejected-Finance,Rejected,18-Dec-2020 12:19 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST No. registration and latest clearance certificate thereof.,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of authorization dealership/Sub dealership certificate of pumping machinery,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Curve/selection chart,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other terms and condition as per Notice Inviting tender,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Schedule of Quantity,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
