Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
Finance,FBOS,Chaman Singh,19-Nov-2020 04:24 PM,finance_62019.pdf,BOQ Comparative Chart,1.0,185968.0,Pankaj Govt. Contractor,INR,"2,586,496",Technical,BOS,Chaman Singh,17-Nov-2020 01:01 PM,technical_62019.pdf,1.0,185968.0,Pankaj Govt. Contractor,10-Nov-2020 07:18 PM,Accepted-AOC,Being lowest,02-Dec-2020 04:42 PM,Er D.R. Chauhan Execuitve Engineer,Internal,Er. Chaman Singh AE Nihri Sh. Sushil Kumar DAO Gr-I Sh. Lalit Kumar Supdt Sh. Amar Singh HDM,Chaman Singh,02-Dec-2020 04:35 PM,finsummary_62019.pdf (4195.34 KB),02-Dec-2020,"INR 2,586,496",365.0,Chaman Singh,02-Dec-2020 04:39 PM,AOCPBMCNihri.pdf (4195.00 KB),AOC issued after negotiation.,PWD,2020_PWD_42024_1,PW-SNR-CB-E-Tender/20- 12566-77 dt.19.10.2020,Routine repair and maintenance of Shimla Mandi road via Tattapani KM 135/0 to 146/0 and Pandar Tattapani road KM 0/0 to 9/0 under PBMC for Period -I and Period-II.,Er D.R. Chauhan Execuitve Engineer,Internal,Er Chaman Singh A.E Nihri Sh. Sushil Kumar DAO Gr-I Sh. Amar Singh HDM Sh. Lalit Kumar Supdt.,Chaman Singh,17-Nov-2020 01:07 PM,17-Nov-2020 03:00 PM,techsummary_62019.pdf (5709.08 KB),AOC,Routine repair and maintenance of Shimla Mandi road via Tattapani KM 135/0 to 146/0 and Pandar Tattapani road KM 0/0 to 9/0 under PBMC for Period -I and Period-II.,Routine repair and maintenance of Shimla Mandi road via Tattapani KM 135/0 to 146/0 and Pandar Tattapani road KM 0/0 to 9/0 under PBMC for Period -I and Period-II,AS per bid document ,NA ,"26,55,467",Civil Works,NA ,Tender,90.0,365.0,In Sunder Nagar Division HPPWD,175018.0,O/O Executive Engineer HPPWD Division Sunder Nagar ,O/O Executive Engineer HPPWD Division Sunder Nagar  ,05-Nov-2020 03:00 PM ,In HPPWD Division Sunder Nagar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender,PWD,PW-SNR-CB-E-Tender/20- 12566-77 dt.19.10.2020,2020_PWD_42024_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,29-Oct-2020 02:00 PM,12-Nov-2020 11:00 AM,29-Oct-2020 02:00 PM,11-Nov-2020 06:00 PM,NA ,NA ,29-Oct-2020 02:00 PM,11-Nov-2020 06:00 PM,17-Nov-2020 03:00 PM,"1,500",EE Sundernagar,Sundernagar,No,"55,000",No,fixed,,EE Sundernagar,Sundernagar,Executive Engineer,HPPWD Division Sundernagar,AOC
,,,,,,,,,,,,,,,,2.0,185810.0,Puran Mal Mahajan,11-Nov-2020 12:38 PM,Rejected-Technical,Being non responsive,17-Nov-2020 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,185974.0,umesh Kumar,10-Nov-2020 07:58 PM,Rejected-AOC,Not found lowest,02-Dec-2020 04:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity and work done / in hand as per ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant and key personal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Information reg. litigation and arbitration history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
