Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
17-Dec-2020,"INR 3,130,455",90.0,Sudhir Kumar Gupta,17-Dec-2020 03:18 PM,AOC39766_1.pdf (105.00 KB),AOC,ErSudhirGupta,Internal,ShAmarSinghVermaHDMShManojkumarsupdtShRajKumarSrAssistant,Sudhir Kumar Gupta,17-Dec-2020 03:17 PM,finsummary_58689.pdf (1885.09 KB),ErPardeepKumarBhardwaj,Internal,ShAmarSinghVermaHDMShManojkumarsupdtShSanjeevchauhansrAssistant,Pradeep Kumar Bhardwaj,29-Aug-2020 04:00 PM,31-Aug-2020 11:00 AM,techsummary_58689.pdf (5012.60 KB),PWD,2020_PWD_39766_1,SD-I-CTR-2020-21- 7409 dt 03-08-2020,Construction of Bhont to Kakar Bahgora road km 0/00 to 3/300 (SH Retaining wall wire crate Breast wall Hume pipe Culvert C D work and Soling etc,Finance,Bid opening summary,Pradeep Kumar Bhardwaj,31-Aug-2020 03:53 PM,finance_58689.pdf,BOQ Comparative Chart,1.0,175186.0,Bhupinder Narwal,INR,"3,700,882",Technical,Bid opening summary,Pradeep Kumar Bhardwaj,27-Aug-2020 02:29 PM,technical_58689.pdf,1.0,174999.0,BHARAT SINGH CHAUHAN,25-Aug-2020 03:17 PM,Rejected-Finance,2nd Lowest,17-Dec-2020 03:21 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F),1.0,DD - Demand Draft,Construction of Bhont to Kakar Bahgora road km 0/00 to 3/300 (SH Retaining wall wire crate Breast wall Hume pipe Culvert C D work and Soling etc,Construction of Bhont to Kakar Bahgora road km 0/00 to 3/300 (SH Retaining wall wire crate Breast wall Hume pipe Culvert C D work and Soling etc,As Per SBD ,NA ,"31,30,455",Civil Works,NA ,Tender,120.0,90.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-I HPPWD Shimla-3,No ,No,PWD,SD-I-CTR-2020-21- 7409 dt 03-08-2020,2020_PWD_39766_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"54,500",No,fixed,,Executive Engineer Division No-I HPPWD Shimla-3,Executive Engineer Division No-I HPPWD Shimla-3,"1,500",Executive Engineer Division No-I HPPWD Shimla-3,Executive Engineer Division No-I HPPWD Shimla-3,No,14-Aug-2020 06:00 PM,27-Aug-2020 11:00 AM,14-Aug-2020 06:00 PM,26-Aug-2020 04:00 PM,NA ,NA ,14-Aug-2020 06:00 PM,26-Aug-2020 04:00 PM,31-Aug-2020 11:00 AM,Executive Engineer Division No-I HPPWD Shimla-3,Executive Engineer Division No-I HPPWD Shimla-3,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,175186.0,Bhupinder Narwal,26-Aug-2020 02:41 PM,Accepted-AOC,Awarded,17-Dec-2020 03:22 PM,AOC,,,.pdf,Earnest Money Deposit (As per schedule F),2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,175019.0,Devi Prakash Sharma,25-Aug-2020 04:27 PM,Rejected-Finance,4th Lowest,17-Dec-2020 03:21 PM,AOC,,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,175199.0,Manishsharma,26-Aug-2020 03:29 PM,Rejected-Finance,3rd Lowest,17-Dec-2020 03:21 PM,AOC,,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,175161.0,NAND LAL CHAUHAN,26-Aug-2020 02:51 PM,Rejected-Finance,6th Lowest,17-Dec-2020 03:21 PM,AOC,,,.pdf,Work done certificate (As per Performa given in General rule No.19 counter signed by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,175143.0,Rajender Thakur,26-Aug-2020 12:47 PM,Rejected-Finance,5th Lowest,17-Dec-2020 03:21 PM,AOC,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19 countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,175174.0,Suresh Kumar,26-Aug-2020 02:06 PM,Rejected-Technical,No,29-Aug-2020 04:01 PM,AOC,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 8 (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
