Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,1.0,ICICI BANK,500.0,EE Rohru,Rohru,No,PWD,PW/RD/GA/4809-4908DT20-07-20,2020_PWD_39939_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EE HPPWD Rohru,EE B AND R DIVN HPPWD Rohru,C/O Pokhar to H.B. Odidhar road km 0/0 to 0/0 to 0/670,(SH-F/C 5/7mtr road at RD 0/180 to 0/670),Please refer Tender documents. ,NA ,"8,92,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Rohru,171207.0,NA ,NA ,NA ,EE HPPWD Rohru,No ,No,19-Aug-2020 01:00 PM,26-Aug-2020 11:00 AM,19-Aug-2020 01:00 PM,25-Aug-2020 06:00 PM,NA ,NA ,19-Aug-2020 01:00 PM,25-Aug-2020 06:00 PM,05-Sep-2020 03:30 PM,"18,000",No,fixed,,EE Rohru,Rohru,AOC,1.0,174950.0,DEV RAJ,25-Aug-2020 11:03 AM,Accepted-AOC,1st Lowest,11-Dec-2020 03:30 PM,Technical,Bid Opening Summary,Arvind Sharma,05-Sep-2020 03:16 PM,technical_58974.pdf,1.0,174943.0,Sushil Chauhan,INR,0,Finance,Bid Opening Summary,Pawan Kumar Garg,10-Nov-2020 12:29 PM,finance_58974.pdf,BOQ Comparative Chart,PWD,2020_PWD_39939_4,PW/RD/GA/4809-4908DT20-07-20,C/O Pokhar to H.B. Odidhar road km 0/0 to 0/0 to 0/670,PAWAN KUMAR,Internal,MANOJ KUMAR,Arvind Sharma,05-Sep-2020 03:23 PM,05-Sep-2020 03:30 PM,techsummary_58974.pdf (104.89 KB),PAWAN KUMAR,Internal,manoj kumar,Pawan Kumar Garg,10-Nov-2020 12:34 PM,finsummary_58974.pdf (151.13 KB),11-Dec-2020,"INR 1,474,608",60.0,Pawan Kumar Garg,11-Dec-2020 03:27 PM,AL-Pokher.pdf (160.00 KB),SH-F/C 5/7mtr wide road at RD 0/180 to 0/670,AOC
,,.pdf,EARNEST MONEY,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,174943.0,Sushil Chauhan,25-Aug-2020 10:42 AM,Accepted-AOC,2nd Lowest,11-Dec-2020 03:30 PM,,,,,,2.0,174950.0,DEV RAJ,INR,"1,474,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,CONTRACTOR REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,PAN NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,EPF NUMBER GST NUMBER AND SALES TAX NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,CA/Turnover of Last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,the required documents if not found the bidder shall not be Considered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
