Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Category,Sub Category,Sub Category Description,Format/File,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Technical Part,"Supply, Installation, Testing, Commissioning and Maintenance of Real Time Data Acquisition System (RTDAS) of Assam under National Hydrology Project","Supply, Installation, Testing, Commissioning and Maintenance of Real Time Data Acquisition System (RTDAS) of Assam under National Hydrology Project",Please refer Tender documents. ,NA ,,Laboratory and scientific equipment,NA ,Tender,120.0,270.0,"Assam, India",781029.0,"Guwahati, Assam, India ","Conference Room Assam Water Research and Management Institute, Basistha, Guwahati-781029, Assam, India ",12-Mar-2020 11:30 AM ,"Guwahati, Assam, India",No ,No,Water Resources Department- World Bank Tenders||Assam Water Research and Management Institute||National Hydrology Project - SPMU,NHP-2019-2020-AS-988358,2020_AWRMI_16836_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Not Applicable,No,No,No,1,General Certificate ,PAN ,Permanent Account Number ,,Additional Chief Engineer,"Additional Chief Engineer Assam Water Research and Management Institute (AWRMI) Water Resources Department, Government of Assam cum Nodal Office, National Hydrology Project-Assam AWRMI",0.0,No,fixed,,Nil,Nil,1.0,Amendment 5,Date,,28-Feb-2020 04:00 PM,02-Jun-2020 04:00 PM,28-Feb-2020 04:00 PM,02-Jun-2020 03:00 PM,29-Feb-2020 10:00 AM ,12-Mar-2020 11:00 AM ,18-Mar-2020 04:00 PM,02-Jun-2020 03:00 PM,08-Sep-2020 11:00 AM,0.0,Nil,Nil,No,AOC,"Rudreswar Sarma, ACE, AWRMI, WRD cum Nodal Officer, NHP Assam",Internal,"Kaushik Deka, EE, SRD, Khanindra Barman, AEE, TC-I,AWRMI, Aliul Akhtar, AEE, SRD, Pir Mahammed Ali, AO, HRD, WRD Assam",KHANINDRA BARMAN,22-Dec-2020 01:31 PM,finsummary_25609.pdf (473.66 KB),Finance,Financial Bid Opening Summary,KHANINDRA BARMAN,08-Sep-2020 04:32 PM,finance_25609.pdf,BOQ Comparative Chart,"1. Mr. Rudreswar Sarma, Additional Chief Engineer, AWRMI, WRD",Internal,"Mr. Kaushik Deka, EE, SRD, WRD, Mr. Khanindra Barman, AEE, (TC-I), AWRMI, WRD, Mr. Aliul Akhtar, AEE, SRD, WRD, Mr. Pir Mahammed Ali, Accounts Officer, HRD, WRD",KHANINDRA BARMAN,03-Sep-2020 04:47 PM,08-Sep-2020 11:00 AM,techsummary_25609.pdf (385.98 KB),22-Dec-2020,INR 88380046.04,1825.0,Puja Deka,22-Dec-2020 02:32 PM,AOCRTDAS.pdf (413.00 KB),"The actual contract date is 06-11-2020. But due to uploading constraint, the contract date is provided as 22-12-2020",1.0,80889.0,National Collateral Management Services Limited,INR,88380046.04,Water Resources Department- World Bank Tenders||Assam Water Research and Management Institute||National Hydrology Project - SPMU,2020_AWRMI_16836_1,NHP-2019-2020-AS-988358,"Supply, Installation, Testing, Commissioning and Maintenance of Real Time Data Acquisition System (RTDAS) of Assam under National Hydrology Project",1.0,80910.0,Aaxis Nano Technologies Pvt. Ltd.,25-May-2020 02:22 PM,Rejected-Technical,Technically non-responsive,03-Sep-2020 04:47 PM,Technical,Attendace Sheet,KHANINDRA BARMAN,02-Jun-2020 05:11 PM,technical_25609.pdf,AOC
2.0,Finance,.pdf,Letter of Bid - Financial Part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,General Certificate ,Goods and Service Tax ,Goods and Service Tax Registration Certificate ,,,,,,,,,,2.0,Amendment 4,Other,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,80893.0,Astra Microwave Products Ltd,25-May-2020 10:26 AM,Rejected-Finance,Rank 2 bidder,22-Dec-2020 01:31 PM,,,,,,AOC
,,.xls,Price Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,General Certificate ,Trade License ,Latest Trade License Copy ,,,,,,,,,,3.0,Amendment 1,Technical Bid,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,79328.0,BIPS SYSTEMS LTD,24-May-2020 07:50 PM,Rejected-Technical,Technically non-responsive,03-Sep-2020 04:47 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,General Certificate ,Company Details ,"Partnership Deed, Co-Operative Society By Law,MOA,Company Registration Certificates,JV Consortium,Year of Incorporation Certificates ",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,80889.0,National Collateral Management Services Limited,27-May-2020 07:11 PM,Accepted-AOC,Awarded Value is without GST. Lowest Bidder,22-Dec-2020 02:32 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,General Certificate ,Other Certificates ,As Mentioned In The Tender Document ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,80666.0,Obel Systems Private Limited,02-Jun-2020 02:47 PM,Rejected-Finance,Rank 3 bidder,22-Dec-2020 01:31 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,P/L and Balance Sheet ,Year 1 ,Y1 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,80781.0,Seba Hydrometrie GmbH,23-May-2020 10:18 PM,Rejected-Finance,Rank 4 bidder,22-Dec-2020 01:31 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,P/L and Balance Sheet ,Year 2 ,Y2 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,80943.0,SUNJRAY INFO-SYSTEMS PRIVATE LIMITED,25-May-2020 03:13 PM,Rejected-Technical,Technically non-responsive,03-Sep-2020 04:47 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,P/L and Balance Sheet ,Year 3 ,Y3 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,P/L and Balance Sheet ,Year 4 ,Y4 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,P/L and Balance Sheet ,Year 5 ,Y5 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
