S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form,12-Nov-2020 05:00 PM,28-Nov-2020 11:00 AM,12-Nov-2020 05:00 PM,28-Nov-2020 10:30 AM,NA ,NA ,12-Nov-2020 05:00 PM,28-Nov-2020 10:30 AM,01-Dec-2020 04:50 PM,"30,000",No,fixed,,Executive Engineer NH Division HPPWD Solan,Executive Engineer NH Division HPPWD Solan,O/R to NH 22 (new NH 5) on Kalka Shimla Wangtoo Road km 131/00 to 145/100 and 0/0 to 13/00,Hiring of Excavator cum loader for removal of snow/slips and supplying and stacking of crushed sand at site for smooth flow of traffic in snow bound area km 131/00 to 145/100 and km 0/0 to 13/00 on Shimla Bye Pass,As per tender documents ,NA ,,Civil Works - Roads,NA ,Tender,120.0,120.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,1.0,DD - Demand Draft,500.0,Executive Engineer NH Division HPPWD Solan,Executive Engineer NH Division HPPWD Solan,No,PWD,4611-40,2020_PWD_42431_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer NH Division HPPWD Solan,Executive Engineer NH Division HPPWD Solan,1.0,188103.0,Manish Mohan Sharma,INR,"1,353,540",Finance,Financial Bid opened on 02/12/2020,Kulbir Singh Thakur,03-Dec-2020 03:34 PM,finance_62901.pdf,BOQ Comparative Chart,1.0,188103.0,Manish Mohan Sharma,27-Nov-2020 06:51 PM,Accepted-AOC,being L1,17-Feb-2024,Technical,bid opening summary,Kulbir Singh Thakur,01-Dec-2020 04:36 PM,technical_62901.pdf,Er Kulbir Singh Thakur EE,Internal,Miss Akriti Aggrawal AO Sh Ghanshyam Mehta HDM Sh Rajender Singh Supdtt Gr II Smt Samriti Verma TA,Kulbir Singh Thakur,01-Dec-2020 04:41 PM,01-Dec-2020 04:50 PM,techsummary_62901.pdf (707.24 KB),PWD,2020_PWD_42431_1,4611-40,O/R to NH 22 (new NH 5) on Kalka Shimla Wangtoo Road km 131/00 to 145/100 and 0/0 to 13/00,17-Dec-2020,"INR 1,353,540",120.0,Kulbir Singh Thakur,17-Feb-2024 01:05 PM,Awardletter.pdf (298.00 KB),AOC,Er Kulbir Singh Thakur EE,Internal,Ms Akriti Aggarwal AO Sh Ghanshyam Mehta HDM Sh Rajinder Singh Supdt Smt Samriti Verma TA,Kulbir Singh Thakur,03-Dec-2020 03:44 PM,finsummary_62901.pdf (650.93 KB)
2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,.pdf,Earnest money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,189651.0,Mukesh Kumar,27-Nov-2020 04:34 PM,Rejected-Technical,non responsive,01-Dec-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,189480.0,ROSHAN LAL VERMA,27-Nov-2020 01:46 PM,Rejected-Finance,Being L2,03-Dec-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,Sales Tax / GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,.pdf,"work done, work in hand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,.pdf,Contractor should own atleast one JCB and if second JCB is hired then should submit proper evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,Form No.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,.pdf,Affidavit of correctness of all the documents are true be submitted by the contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,.pdf,Contractor should submit the proof of EPF as mentioned in SBD clause 25A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
