S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
1.0,95648.0,G K PLASTICS PRIVATE LIMITED,INR,0.0,1,96296,ANNAPURNA CONDUITS,26-Oct-2020 01:44 PM,Rejected-Technical,Technically Non Responsive,09-Nov-2020 06:15 PM,M K Das,Internal,,Milan Kalita,09-Nov-2020 06:15 PM,techsummary_29190.pdf (591.08 KB),19-Dec-2020,INR 1.0,365.0,Milan Kalita,19-Dec-2020 02:18 PM,aoc_finance_UPVC_casing.pdf (829.00 KB),Empanelled on 10.11.2020 and uploaded on 19.12.2020,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,2020_PHED_18866_2,PHE_27_JJM_20_21_T_12987_13052,Pkg 02 Empanelment of manufacturers for supply of ISI marked UPVC Casing and Ribbed Screen pipes under JJM Assam,Finance,Technical Opening Summary,Milan Kalita,09-Nov-2020 06:10 PM,finance_29190.pdf,M.K.Das,Internal,,Milan Kalita,19-Dec-2020 02:15 PM,finsummary_29190.pdf (829.33 KB),AOC,1.0,SBI Bank,"2,000",CE PHE Water Assam,Guwahati,No,0.0,No,fixed,,Nil,Nil,Pkg 02 Empanelment of manufacturers for supply of ISI marked UPVC Casing and Ribbed Screen pipes under JJM Assam,Pkg 02 Empanelment of manufacturers for supply of ISI marked UPVC Casing pipes and UPVC Ribbed Screen pipes of various sizes to be utilized against different PWSS under JJM Assam,Please refer Tender documents. ,NA ,0.0,Supply of Materials,NA ,Empanelment,90.0,365.0,Guwahati,781036.0,NA ,NA ,NA ,O O CE PHE Water Assam,No ,No,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_27_JJM_20_21_T_12987_13052,2020_PHED_18866_2,Yes,Open Tender,Empanelment,Goods,1.0,No,No,Online,No,No,No,05-Oct-2020 06:55 PM,28-Oct-2020 03:00 PM,05-Oct-2020 06:55 PM,27-Oct-2020 04:00 PM,NA ,NA ,06-Oct-2020 10:00 AM,27-Oct-2020 04:00 PM,CE PHE Water Assam,"Hengrabari, Guwahati-36",1.0,Fee/PreQual/Technical/Finance,.pdf,Technical Qualification Documents alongwith all filled up forms as per Bild Document,AOC
2.0,95985.0,PRABHU POLY PIPES LIMITED,INR,0.0,2,96347,Ashirvad pipes private limited,27-Oct-2020 11:17 AM,Rejected-Technical,Technically Non Responsive,09-Nov-2020 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,95989.0,Brahmaputra Udyog Pvt Ltd,INR,0.0,3,95989,Brahmaputra Udyog Pvt Ltd,24-Oct-2020 03:45 PM,Accepted-AOC,Empanelled,19-Dec-2020 02:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,96048.0,OMSREE PRODUCTS,INR,0.0,4,96199,CHARU TECHNOLOGY PVT. LTD.,23-Oct-2020 09:06 PM,Accepted-AOC,Empanelled,19-Dec-2020 02:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,96139.0,Skipper Limited,INR,0.0,5,96364,Crestia Polytech Pvt. Ltd.,27-Oct-2020 03:44 PM,Accepted-AOC,Empanelled,19-Dec-2020 02:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6.0,96199.0,CHARU TECHNOLOGY PVT. LTD.,INR,0.0,6,95668,Duke Pipes Private Limited,17-Oct-2020 03:27 PM,Rejected-Technical,Technically Non Responsive,09-Nov-2020 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7.0,96216.0,MEGHAA MOULDINGS,INR,0.0,7,96144,falcon Tubes,21-Oct-2020 04:37 PM,Rejected-Technical,Technically Non Responsive,09-Nov-2020 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8.0,96277.0,MAHALAKSHMI UDYOG PVT. LTD.,INR,0.0,8,95604,Garg Poly Industries,26-Oct-2020 12:25 PM,Rejected-Technical,Technically Non Responsive,09-Nov-2020 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9.0,96364.0,Crestia Polytech Pvt. Ltd.,INR,0.0,9,95648,G K PLASTICS PRIVATE LIMITED,21-Oct-2020 11:52 AM,Accepted-AOC,Empanelled,19-Dec-2020 02:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
10.0,96387.0,M/S KUBER PLASTICS PVT. LTD.,INR,0.0,10,96277,MAHALAKSHMI UDYOG PVT. LTD.,24-Oct-2020 10:03 PM,Accepted-AOC,Empanelled,19-Dec-2020 02:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
