Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Er. R.S. Chandel,Internal,"Sh. Inder Singh Sr. Asstt., Smt. Nirmala Devi Supdt. Gr.II , Sh. Saran Singh Sr. Asstt, Sh. Ram Gopal Gupta HDM",Dalip Singh Tomar,16-Dec-2020 12:27 PM,finsummary_15625.pdf (293.30 KB),16-Dec-2020,"INR 8,836,592",365.0,Dalip Singh Tomar,16-Dec-2020 12:46 PM,aoc.pdf (883.00 KB),AOC,PWD,2016_PWD_12113_1,PWP/CB/Tender/16-17-1332-1431 dt. 26-5-16,Construction of Tehsil office building at Paonta Sahib Distt Sirmour H.P.,Er. Rajinder Singh Chandel EE,Internal,Sh. Devinder Kumar Thakur Smt. Neelam Gupta Supdt. Gr II Sh. Y.K. Gupta DAO,Rajinder Singh Chandel,28-Jun-2016 12:23 PM,28-Jun-2016 12:30 PM,techsummary_15625.pdf (987.26 KB),Finance,Fin Bid Opening Summary,Dalip Singh Tomar,16-Dec-2020 12:21 PM,finance_15625.pdf,BOQ Comparative Chart,1.0,41381.0,LAL SINGH CHAUHAN,INR,"9,978,859",Technical,Bid Opening Summary,Rajinder Singh Chandel,23-Jun-2016 12:21 PM,technical_15625.pdf,1.0,41381.0,LAL SINGH CHAUHAN,22-Jun-2016 02:49 PM,Accepted-AOC,L1,16-Dec-2020 12:49 PM,AOC,"2,000",EE PWD Paonta Sahib,Paonta Sahib,No,1.0,DD - Demand Draft,PWD,PWP/CB/Tender/16-17-1332-1431 dt. 26-5-16,2016_PWD_12113_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Construction of Tehsil office building at Paonta Sahib Distt Sirmour H.P.,SH Construction of building portion water supply and sanitary installation septic tank and rain water harvesting tank.,Please refer tender documents ,NA ,"88,36,592",Civil Works - Buildings,NA ,Tender,120.0,365.0,Paonta Sahib,173025.0,NA ,NA ,NA ,EE PWD Paonta Sahib,No ,No,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of tender cost i.e. Bank Draft/Banker Cheque,"1,20,900",No,fixed,,EE PWD Paonta Sahib,Paonta Sahib,EE PWD Paonta Sahib,Executive Engineer Paonta Division HPPWD Paonta Sahib,09-Jun-2016 05:00 PM,23-Jun-2016 11:30 AM,09-Jun-2016 05:30 PM,23-Jun-2016 09:00 AM,NA ,NA ,09-Jun-2016 06:00 PM,23-Jun-2016 09:00 AM,28-Jun-2016 12:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,41401.0,Lal Singh Chauhan Contractor,23-Jun-2016 08:50 AM,Rejected-Finance,L2,16-Dec-2020 12:30 PM,AOC,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of earnest money i.e. FDR,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Contractors Registration,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of sale tax/Tin no. and Pan No.,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of 40 present work done certificate for similar nature of work.,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/C.A. annual report.,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Listofmachinerytoolplant alongwithproofofowner ship i.e.R.C.andpurchasebills S.No 6.19Ref.clauseno18,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of service tax No.,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of SBD Form 8,,,,,,,,,,,,,,,,,,AOC
