Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
05-Oct-2020 06:00 PM,28-Oct-2020 02:00 PM,05-Oct-2020 06:05 PM,27-Oct-2020 02:00 PM,NA ,NA ,13-Oct-2020 10:00 AM,27-Oct-2020 02:00 PM,04-Nov-2020 02:25 PM,"3,000","The Executive Engineer, Goalpara W. R. Division",Goalpara,No,Diversion of river Deosila to its original course from Bimanpara area to its D/S connecting with the river Dukhiya at Chaplai area.,Diversion of river Deosila to its original course from Bimanpara area to its D/S connecting with the river Dukhiya at Chaplai area.,Please refer Tender documents. ,NA ,"1,54,66,332",Civil Works,NA ,Tender,180.0,90.0,GOALPARA,783101.0,NA ,NA ,NA ,GUWAHATI,No ,No,"3,09,327",Yes,percentage,2.0%,"The Executive Engineer, Goalpara W. R. Division",Goalpara,1.0,SBI Bank,Department of Water Resources||Chief Engineer - DoWR,GOALPARA/2019-20/RIDF/III,2020_DoWR_18864_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"Chief Engineer,W.R.Deptt",O/O Chief Engineer Water Resources Department Chandmari,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENTS,AOC,1,96357,Ahmed Ali,27-Oct-2020 12:40 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Nov-2020 02:15 PM,Director Design,Internal,"G.C. Sarma, R. Deka, M. Deka, S. Dey",Jayanta Kumar Barman,18-Feb-2021 06:02 PM,finsummary_29187.pdf (233.73 KB),Technical,Financial bid of the successful bidder may be opened,Jayanta Kumar Barman,04-Nov-2020 02:15 PM,technical_29187.pdf,Department of Water Resources||Chief Engineer - DoWR,2020_DoWR_18864_1,GOALPARA/2019-20/RIDF/III,Diversion of river Deosila to its original course from Bimanpara area to its D/S connecting with the river Dukhiya at Chaplai area.,Finance,Updated CS may be prepared,Jayanta Kumar Barman,11-Feb-2021 10:24 AM,,BOQ Comparative Chart,1.0,96316.0,BIRENPEGU,INR,9822679.65,18-Feb-2021,INR 9822679.65,90.0,Jayanta Kumar Barman,23-Feb-2021 06:21 PM,DEOSILA_WO.PDF (340.00 KB),Diversion of river Deosila to its original course from Bimanpara area to its D/S connecting with the river Dukhiya at Chaplai area.,R. SARMA,Internal,"G.C. Sarma, R. Deka, M. Deka, S. Dey",Jayanta Kumar Barman,04-Nov-2020 02:21 PM,04-Nov-2020 02:25 PM,techsummary_29187.pdf (233.73 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,2,96316,BIRENPEGU,27-Oct-2020 07:51 AM,Accepted-AOC,PROPER,23-Feb-2021 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,95973,Dhruba Talukdar,27-Oct-2020 11:28 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Nov-2020 02:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,96179,LEON AND ASSOCIATES,22-Oct-2020 12:57 PM,Rejected-AOC,Not Qualified for AOC,23-Feb-2021 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,96289,Nuruddin Ahmed,26-Oct-2020 03:19 PM,Rejected-AOC,Not Qualified for AOC,23-Feb-2021 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,96185,Purandar Rabha,27-Oct-2020 12:28 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Nov-2020 02:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,96319,RAHIN BASUMATARY,26-Oct-2020 09:22 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Nov-2020 02:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,96314,SAJIDUR RAHMAN-M/S KHEMSA TRADERS & DEVELOPERS JV,26-Oct-2020 09:15 PM,Rejected-AOC,Not Qualified for AOC,23-Feb-2021 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,95606,SKF (JV),16-Oct-2020 05:10 PM,Rejected-AOC,Not Qualified for AOC,23-Feb-2021 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,96383,SURAJIT ROY,27-Oct-2020 01:05 PM,Rejected-AOC,Not Qualified for AOC,23-Feb-2021 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,95351,Yugant Infrastructure Private Limited,26-Oct-2020 09:02 PM,Rejected-AOC,Not Qualified for AOC,23-Feb-2021 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
